trying PPS source "/dev/pps0"
found PPS source "/dev/pps0"
ok, found 1 source(s), now start fetching data...
source 0 - assert 1763346380.000004608, sequence: 2341 - clear  0.000000000, sequence: 0
source 0 - assert 1763346381.000007205, sequence: 2342 - clear  0.000000000, sequence: 0
source 0 - assert 1763346382.000008292, sequence: 2343 - clear  0.000000000, sequence: 0
source 0 - assert 1763346383.000007235, sequence: 2344 - clear  0.000000000, sequence: 0
source 0 - assert 1763346384.000011097, sequence: 2345 - clear  0.000000000, sequence: 0
source 0 - assert 1763346385.000009823, sequence: 2346 - clear  0.000000000, sequence: 0
source 0 - assert 1763346386.000007657, sequence: 2347 - clear  0.000000000, sequence: 0
source 0 - assert 1763346387.000008054, sequence: 2348 - clear  0.000000000, sequence: 0
source 0 - assert 1763346388.000006972, sequence: 2349 - clear  0.000000000, sequence: 0
source 0 - assert 1763346389.000007840, sequence: 2350 - clear  0.000000000, sequence: 0
source 0 - assert 1763346390.000010728, sequence: 2351 - clear  0.000000000, sequence: 0
source 0 - assert 1763346391.000007818, sequence: 2352 - clear  0.000000000, sequence: 0
source 0 - assert 1763346392.000006254, sequence: 2353 - clear  0.000000000, sequence: 0
source 0 - assert 1763346393.000010679, sequence: 2354 - clear  0.000000000, sequence: 0
source 0 - assert 1763346394.000005764, sequence: 2355 - clear  0.000000000, sequence: 0
source 0 - assert 1763346395.000007719, sequence: 2356 - clear  0.000000000, sequence: 0
source 0 - assert 1763346396.000007762, sequence: 2357 - clear  0.000000000, sequence: 0
source 0 - assert 1763346397.000005889, sequence: 2358 - clear  0.000000000, sequence: 0
source 0 - assert 1763346398.000009597, sequence: 2359 - clear  0.000000000, sequence: 0
source 0 - assert 1763346399.000006028, sequence: 2360 - clear  0.000000000, sequence: 0
source 0 - assert 1763346400.000006446, sequence: 2361 - clear  0.000000000, sequence: 0
source 0 - assert 1763346401.000012794, sequence: 2362 - clear  0.000000000, sequence: 0
source 0 - assert 1763346402.000006295, sequence: 2363 - clear  0.000000000, sequence: 0
source 0 - assert 1763346403.000008435, sequence: 2364 - clear  0.000000000, sequence: 0
source 0 - assert 1763346404.000007002, sequence: 2365 - clear  0.000000000, sequence: 0
source 0 - assert 1763346405.000010689, sequence: 2366 - clear  0.000000000, sequence: 0
source 0 - assert 1763346406.000008525, sequence: 2367 - clear  0.000000000, sequence: 0
source 0 - assert 1763346407.000006031, sequence: 2368 - clear  0.000000000, sequence: 0
source 0 - assert 1763346408.000006570, sequence: 2369 - clear  0.000000000, sequence: 0
source 0 - assert 1763346409.000007220, sequence: 2370 - clear  0.000000000, sequence: 0
