ptp4l[541259.878]: selected /dev/ptp0 as PTP clock
ptp4l[541259.885]: port 1 (eth0): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[541259.887]: port 0 (/var/run/ptp4l): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[541259.890]: port 0 (/var/run/ptp4lro): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[541259.937]: timeguard: registered, proxy_id=0xcfaf929b9607c444

ptp4l[541259.938]: TG_CMD_SET_TIME InvokeCommand result: 0x0

ptp4l[541266.899]: selected local clock 000000.fffe.049f06 as best master
ptp4l[541266.900]: TEE: InvokeCommand returned 0x0

ptp4l[541266.902]: TEE: InvokeCommand returned 0x0

ptp4l[541266.902]: TEE: DECIDE OK -> decided_state=4 (ps_out=4)

ptp4l[541267.274]: port 1 (eth0): new foreign master 641c10.fffe.f12579-1
ptp4l[541271.286]: selected best master clock 641c10.fffe.f12579
ptp4l[541271.287]: TEE: InvokeCommand returned 0x0

ptp4l[541271.289]: TEE: InvokeCommand returned 0x0

ptp4l[541271.289]: TEE: DECIDE OK -> decided_state=9 (ps_out=9)

ptp4l[541271.292]: port 1 (eth0): LISTENING to UNCALIBRATED on RS_SLAVE
ptp4l[541273.277]: master offset       -817 s0 freq  -80831 path delay       941
ptp4l[541274.280]: master offset       -855 s2 freq  -80869 path delay       941
ptp4l[541274.282]: port 1 (eth0): UNCALIBRATED to SLAVE on MASTER_CLOCK_SELECTED
ptp4l[541275.281]: master offset       -831 s2 freq  -81700 path delay       941
ptp4l[541276.280]: master offset         40 s2 freq  -81078 path delay       937
ptp4l[541277.280]: master offset        302 s2 freq  -80804 path delay       911
ptp4l[541278.281]: master offset        252 s2 freq  -80764 path delay       934
ptp4l[541279.280]: master offset        166 s2 freq  -80774 path delay       935
ptp4l[541280.281]: master offset         80 s2 freq  -80810 path delay       937
ptp4l[541281.281]: master offset         39 s2 freq  -80827 path delay       937
ptp4l[541282.279]: master offset          4 s2 freq  -80851 path delay       936
ptp4l[541283.279]: master offset        -36 s2 freq  -80890 path delay       941
ptp4l[541284.282]: master offset        -26 s2 freq  -80890 path delay       941
ptp4l[541285.281]: master offset         -8 s2 freq  -80880 path delay       941
ptp4l[541286.281]: master offset          0 s2 freq  -80875 path delay       941
ptp4l[541287.282]: master offset         15 s2 freq  -80860 path delay       941
ptp4l[541288.282]: master offset         19 s2 freq  -80851 path delay       941
ptp4l[541289.280]: master offset        -26 s2 freq  -80890 path delay       943
ptp4l[541290.283]: master offset        -13 s2 freq  -80885 path delay       943
