trying PPS source "/dev/pps0"
found PPS source "/dev/pps0"
ok, found 1 source(s), now start fetching data...
source 0 - assert 1763344152.000011231, sequence: 85061 - clear  0.000000000, sequence: 0
source 0 - assert 1763344153.000011734, sequence: 85062 - clear  0.000000000, sequence: 0
source 0 - assert 1763344154.000009974, sequence: 85063 - clear  0.000000000, sequence: 0
source 0 - assert 1763344155.000010448, sequence: 85064 - clear  0.000000000, sequence: 0
source 0 - assert 1763344156.000010597, sequence: 85065 - clear  0.000000000, sequence: 0
source 0 - assert 1763344157.000010492, sequence: 85066 - clear  0.000000000, sequence: 0
source 0 - assert 1763344158.000009974, sequence: 85067 - clear  0.000000000, sequence: 0
source 0 - assert 1763344159.000011466, sequence: 85068 - clear  0.000000000, sequence: 0
source 0 - assert 1763344160.000009722, sequence: 85069 - clear  0.000000000, sequence: 0
source 0 - assert 1763344161.000006554, sequence: 85070 - clear  0.000000000, sequence: 0
source 0 - assert 1763344162.000012802, sequence: 85071 - clear  0.000000000, sequence: 0
source 0 - assert 1763344163.000008025, sequence: 85072 - clear  0.000000000, sequence: 0
source 0 - assert 1763344164.000010429, sequence: 85073 - clear  0.000000000, sequence: 0
source 0 - assert 1763344165.000010807, sequence: 85074 - clear  0.000000000, sequence: 0
source 0 - assert 1763344166.000010772, sequence: 85075 - clear  0.000000000, sequence: 0
source 0 - assert 1763344167.000011211, sequence: 85076 - clear  0.000000000, sequence: 0
source 0 - assert 1763344168.000010492, sequence: 85077 - clear  0.000000000, sequence: 0
source 0 - assert 1763344169.000010801, sequence: 85078 - clear  0.000000000, sequence: 0
source 0 - assert 1763344170.000010065, sequence: 85079 - clear  0.000000000, sequence: 0
source 0 - assert 1763344171.000024915, sequence: 85080 - clear  0.000000000, sequence: 0
source 0 - assert 1763344172.000010553, sequence: 85081 - clear  0.000000000, sequence: 0
source 0 - assert 1763344173.000010136, sequence: 85082 - clear  0.000000000, sequence: 0
source 0 - assert 1763344174.000009934, sequence: 85083 - clear  0.000000000, sequence: 0
source 0 - assert 1763344175.000010426, sequence: 85084 - clear  0.000000000, sequence: 0
source 0 - assert 1763344176.000010385, sequence: 85085 - clear  0.000000000, sequence: 0
source 0 - assert 1763344177.000011664, sequence: 85086 - clear  0.000000000, sequence: 0
source 0 - assert 1763344178.000006538, sequence: 85087 - clear  0.000000000, sequence: 0
source 0 - assert 1763344179.000010073, sequence: 85088 - clear  0.000000000, sequence: 0
source 0 - assert 1763344180.000011303, sequence: 85089 - clear  0.000000000, sequence: 0
source 0 - assert 1763344181.000010506, sequence: 85090 - clear  0.000000000, sequence: 0
source 0 - assert 1763344182.000010734, sequence: 85091 - clear  0.000000000, sequence: 0
source 0 - assert 1763344183.000010606, sequence: 85092 - clear  0.000000000, sequence: 0
source 0 - assert 1763344184.000010922, sequence: 85093 - clear  0.000000000, sequence: 0
source 0 - assert 1763344185.000009861, sequence: 85094 - clear  0.000000000, sequence: 0
source 0 - assert 1763344186.000009992, sequence: 85095 - clear  0.000000000, sequence: 0
source 0 - assert 1763344187.000006227, sequence: 85096 - clear  0.000000000, sequence: 0
source 0 - assert 1763344188.000009265, sequence: 85097 - clear  0.000000000, sequence: 0
source 0 - assert 1763344189.000010457, sequence: 85098 - clear  0.000000000, sequence: 0
source 0 - assert 1763344190.000011880, sequence: 85099 - clear  0.000000000, sequence: 0
source 0 - assert 1763344191.000009726, sequence: 85100 - clear  0.000000000, sequence: 0
source 0 - assert 1763344192.000009253, sequence: 85101 - clear  0.000000000, sequence: 0
source 0 - assert 1763344193.000010579, sequence: 85102 - clear  0.000000000, sequence: 0
source 0 - assert 1763344194.000011913, sequence: 85103 - clear  0.000000000, sequence: 0
source 0 - assert 1763344195.000011805, sequence: 85104 - clear  0.000000000, sequence: 0
source 0 - assert 1763344196.000012383, sequence: 85105 - clear  0.000000000, sequence: 0
source 0 - assert 1763344197.000011328, sequence: 85106 - clear  0.000000000, sequence: 0
source 0 - assert 1763344198.000010179, sequence: 85107 - clear  0.000000000, sequence: 0
source 0 - assert 1763344199.000011711, sequence: 85108 - clear  0.000000000, sequence: 0
source 0 - assert 1763344200.000010957, sequence: 85109 - clear  0.000000000, sequence: 0
source 0 - assert 1763344201.000011503, sequence: 85110 - clear  0.000000000, sequence: 0
source 0 - assert 1763344202.000010077, sequence: 85111 - clear  0.000000000, sequence: 0
source 0 - assert 1763344203.000010596, sequence: 85112 - clear  0.000000000, sequence: 0
source 0 - assert 1763344204.000010243, sequence: 85113 - clear  0.000000000, sequence: 0
source 0 - assert 1763344205.000011179, sequence: 85114 - clear  0.000000000, sequence: 0
source 0 - assert 1763344206.000010755, sequence: 85115 - clear  0.000000000, sequence: 0
source 0 - assert 1763344207.000009691, sequence: 85116 - clear  0.000000000, sequence: 0
