trying PPS source "/dev/pps0"
found PPS source "/dev/pps0"
ok, found 1 source(s), now start fetching data...
source 0 - assert 1763346380.000009541, sequence: 87289 - clear  0.000000000, sequence: 0
source 0 - assert 1763346381.000010001, sequence: 87290 - clear  0.000000000, sequence: 0
source 0 - assert 1763346382.000009704, sequence: 87291 - clear  0.000000000, sequence: 0
source 0 - assert 1763346383.000009421, sequence: 87292 - clear  0.000000000, sequence: 0
source 0 - assert 1763346384.000009164, sequence: 87293 - clear  0.000000000, sequence: 0
source 0 - assert 1763346385.000009850, sequence: 87294 - clear  0.000000000, sequence: 0
source 0 - assert 1763346386.000009871, sequence: 87295 - clear  0.000000000, sequence: 0
source 0 - assert 1763346387.000009936, sequence: 87296 - clear  0.000000000, sequence: 0
source 0 - assert 1763346387.999990170, sequence: 87297 - clear  0.000000000, sequence: 0
source 0 - assert 1763346388.999964032, sequence: 87298 - clear  0.000000000, sequence: 0
source 0 - assert 1763346389.999957463, sequence: 87299 - clear  0.000000000, sequence: 0
source 0 - assert 1763346390.999960341, sequence: 87300 - clear  0.000000000, sequence: 0
source 0 - assert 1763346391.999962951, sequence: 87301 - clear  0.000000000, sequence: 0
source 0 - assert 1763346392.999967642, sequence: 87302 - clear  0.000000000, sequence: 0
source 0 - assert 1763346393.999969214, sequence: 87303 - clear  0.000000000, sequence: 0
source 0 - assert 1763346394.999969579, sequence: 87304 - clear  0.000000000, sequence: 0
source 0 - assert 1763346395.999969330, sequence: 87305 - clear  0.000000000, sequence: 0
source 0 - assert 1763346396.999966768, sequence: 87306 - clear  0.000000000, sequence: 0
source 0 - assert 1763346397.999970433, sequence: 87307 - clear  0.000000000, sequence: 0
source 0 - assert 1763346398.999970321, sequence: 87308 - clear  0.000000000, sequence: 0
source 0 - assert 1763346399.999969598, sequence: 87309 - clear  0.000000000, sequence: 0
source 0 - assert 1763346400.999969902, sequence: 87310 - clear  0.000000000, sequence: 0
