trying PPS source "/dev/pps0"
found PPS source "/dev/pps0"
ok, found 1 source(s), now start fetching data...
source 0 - assert 1763353370.000011300, sequence: 9331 - clear  0.000000000, sequence: 0
source 0 - assert 1763353371.000005458, sequence: 9332 - clear  0.000000000, sequence: 0
source 0 - assert 1763353372.000003870, sequence: 9333 - clear  0.000000000, sequence: 0
source 0 - assert 1763353373.000002585, sequence: 9334 - clear  0.000000000, sequence: 0
source 0 - assert 1763353374.000001527, sequence: 9335 - clear  0.000000000, sequence: 0
source 0 - assert 1763353375.000003016, sequence: 9336 - clear  0.000000000, sequence: 0
source 0 - assert 1763353376.000005962, sequence: 9337 - clear  0.000000000, sequence: 0
source 0 - assert 1763353377.000005902, sequence: 9338 - clear  0.000000000, sequence: 0
source 0 - assert 1763353378.000003109, sequence: 9339 - clear  0.000000000, sequence: 0
source 0 - assert 1763353379.000007033, sequence: 9340 - clear  0.000000000, sequence: 0
source 0 - assert 1763353380.000005779, sequence: 9341 - clear  0.000000000, sequence: 0
source 0 - assert 1763353381.000008841, sequence: 9342 - clear  0.000000000, sequence: 0
source 0 - assert 1763353382.000005894, sequence: 9343 - clear  0.000000000, sequence: 0
source 0 - assert 1763353383.000005513, sequence: 9344 - clear  0.000000000, sequence: 0
source 0 - assert 1763353384.000008389, sequence: 9345 - clear  0.000000000, sequence: 0
source 0 - assert 1763353385.000006053, sequence: 9346 - clear  0.000000000, sequence: 0
source 0 - assert 1763353386.000008790, sequence: 9347 - clear  0.000000000, sequence: 0
source 0 - assert 1763353387.000007178, sequence: 9348 - clear  0.000000000, sequence: 0
source 0 - assert 1763353388.000004268, sequence: 9349 - clear  0.000000000, sequence: 0
source 0 - assert 1763353389.000009758, sequence: 9350 - clear  0.000000000, sequence: 0
source 0 - assert 1763353390.000005177, sequence: 9351 - clear  0.000000000, sequence: 0
source 0 - assert 1763353391.000006335, sequence: 9352 - clear  0.000000000, sequence: 0
source 0 - assert 1763353392.000008971, sequence: 9353 - clear  0.000000000, sequence: 0
source 0 - assert 1763353393.000006438, sequence: 9354 - clear  0.000000000, sequence: 0
source 0 - assert 1763353394.000005634, sequence: 9355 - clear  0.000000000, sequence: 0
source 0 - assert 1763353395.000004103, sequence: 9356 - clear  0.000000000, sequence: 0
source 0 - assert 1763353396.000009024, sequence: 9357 - clear  0.000000000, sequence: 0
source 0 - assert 1763353397.000004814, sequence: 9358 - clear  0.000000000, sequence: 0
source 0 - assert 1763353398.000007077, sequence: 9359 - clear  0.000000000, sequence: 0
source 0 - assert 1763353399.000004812, sequence: 9360 - clear  0.000000000, sequence: 0
source 0 - assert 1763353400.000005436, sequence: 9361 - clear  0.000000000, sequence: 0
source 0 - assert 1763353401.000012318, sequence: 9362 - clear  0.000000000, sequence: 0
source 0 - assert 1763353402.000003966, sequence: 9363 - clear  0.000000000, sequence: 0
