trying PPS source "/dev/pps0"
found PPS source "/dev/pps0"
ok, found 1 source(s), now start fetching data...
source 0 - assert 1763354108.000008914, sequence: 10069 - clear  0.000000000, sequence: 0
source 0 - assert 1763354109.000007560, sequence: 10070 - clear  0.000000000, sequence: 0
source 0 - assert 1763354110.000002469, sequence: 10071 - clear  0.000000000, sequence: 0
source 0 - assert 1763354111.000005068, sequence: 10072 - clear  0.000000000, sequence: 0
source 0 - assert 1763354112.000005851, sequence: 10073 - clear  0.000000000, sequence: 0
source 0 - assert 1763354113.000006283, sequence: 10074 - clear  0.000000000, sequence: 0
source 0 - assert 1763354114.000008273, sequence: 10075 - clear  0.000000000, sequence: 0
source 0 - assert 1763354115.000011116, sequence: 10076 - clear  0.000000000, sequence: 0
source 0 - assert 1763354116.000011642, sequence: 10077 - clear  0.000000000, sequence: 0
source 0 - assert 1763354117.000003526, sequence: 10078 - clear  0.000000000, sequence: 0
source 0 - assert 1763354118.000008156, sequence: 10079 - clear  0.000000000, sequence: 0
source 0 - assert 1763354119.000006616, sequence: 10080 - clear  0.000000000, sequence: 0
source 0 - assert 1763354120.000004524, sequence: 10081 - clear  0.000000000, sequence: 0
source 0 - assert 1763354121.000006713, sequence: 10082 - clear  0.000000000, sequence: 0
source 0 - assert 1763354122.000002413, sequence: 10083 - clear  0.000000000, sequence: 0
source 0 - assert 1763354123.000005385, sequence: 10084 - clear  0.000000000, sequence: 0
source 0 - assert 1763354124.000010724, sequence: 10085 - clear  0.000000000, sequence: 0
source 0 - assert 1763354125.000005474, sequence: 10086 - clear  0.000000000, sequence: 0
source 0 - assert 1763354126.000009551, sequence: 10087 - clear  0.000000000, sequence: 0
source 0 - assert 1763354127.000006353, sequence: 10088 - clear  0.000000000, sequence: 0
source 0 - assert 1763354128.000009891, sequence: 10089 - clear  0.000000000, sequence: 0
source 0 - assert 1763354129.000007099, sequence: 10090 - clear  0.000000000, sequence: 0
