trying PPS source "/dev/pps0"
found PPS source "/dev/pps0"
ok, found 1 source(s), now start fetching data...
source 0 - assert 1763358485.000009526, sequence: 14446 - clear  0.000000000, sequence: 0
source 0 - assert 1763358486.000005320, sequence: 14447 - clear  0.000000000, sequence: 0
source 0 - assert 1763358487.000003019, sequence: 14448 - clear  0.000000000, sequence: 0
source 0 - assert 1763358488.000002265, sequence: 14449 - clear  0.000000000, sequence: 0
source 0 - assert 1763358489.000004373, sequence: 14450 - clear  0.000000000, sequence: 0
source 0 - assert 1763358490.000010232, sequence: 14451 - clear  0.000000000, sequence: 0
source 0 - assert 1763358491.000010913, sequence: 14452 - clear  0.000000000, sequence: 0
source 0 - assert 1763358492.000003739, sequence: 14453 - clear  0.000000000, sequence: 0
source 0 - assert 1763358493.000004437, sequence: 14454 - clear  0.000000000, sequence: 0
source 0 - assert 1763358494.000007638, sequence: 14455 - clear  0.000000000, sequence: 0
source 0 - assert 1763358495.000007569, sequence: 14456 - clear  0.000000000, sequence: 0
source 0 - assert 1763358496.000011722, sequence: 14457 - clear  0.000000000, sequence: 0
source 0 - assert 1763358497.000006213, sequence: 14458 - clear  0.000000000, sequence: 0
source 0 - assert 1763358498.000007224, sequence: 14459 - clear  0.000000000, sequence: 0
source 0 - assert 1763358499.000011621, sequence: 14460 - clear  0.000000000, sequence: 0
source 0 - assert 1763358500.000008957, sequence: 14461 - clear  0.000000000, sequence: 0
source 0 - assert 1763358501.000011828, sequence: 14462 - clear  0.000000000, sequence: 0
source 0 - assert 1763358502.000007980, sequence: 14463 - clear  0.000000000, sequence: 0
source 0 - assert 1763358503.000007447, sequence: 14464 - clear  0.000000000, sequence: 0
source 0 - assert 1763358504.000009063, sequence: 14465 - clear  0.000000000, sequence: 0
source 0 - assert 1763358505.000006484, sequence: 14466 - clear  0.000000000, sequence: 0
source 0 - assert 1763358506.000009151, sequence: 14467 - clear  0.000000000, sequence: 0
source 0 - assert 1763358507.000007685, sequence: 14468 - clear  0.000000000, sequence: 0
source 0 - assert 1763358508.000006136, sequence: 14469 - clear  0.000000000, sequence: 0
source 0 - assert 1763358509.000004473, sequence: 14470 - clear  0.000000000, sequence: 0
source 0 - assert 1763358510.000006062, sequence: 14471 - clear  0.000000000, sequence: 0
source 0 - assert 1763358511.000010848, sequence: 14472 - clear  0.000000000, sequence: 0
source 0 - assert 1763358512.000004640, sequence: 14473 - clear  0.000000000, sequence: 0
source 0 - assert 1763358513.000007011, sequence: 14474 - clear  0.000000000, sequence: 0
source 0 - assert 1763358514.000006106, sequence: 14475 - clear  0.000000000, sequence: 0
source 0 - assert 1763358515.000005807, sequence: 14476 - clear  0.000000000, sequence: 0
source 0 - assert 1763358516.000009511, sequence: 14477 - clear  0.000000000, sequence: 0
source 0 - assert 1763358517.000005811, sequence: 14478 - clear  0.000000000, sequence: 0
source 0 - assert 1763358518.000007685, sequence: 14479 - clear  0.000000000, sequence: 0
source 0 - assert 1763358519.000011594, sequence: 14480 - clear  0.000000000, sequence: 0
source 0 - assert 1763358520.000004898, sequence: 14481 - clear  0.000000000, sequence: 0
source 0 - assert 1763358521.000010035, sequence: 14482 - clear  0.000000000, sequence: 0
source 0 - assert 1763358522.000005874, sequence: 14483 - clear  0.000000000, sequence: 0
source 0 - assert 1763358523.000007296, sequence: 14484 - clear  0.000000000, sequence: 0
source 0 - assert 1763358524.000007731, sequence: 14485 - clear  0.000000000, sequence: 0
source 0 - assert 1763358525.000005980, sequence: 14486 - clear  0.000000000, sequence: 0
source 0 - assert 1763358526.000008135, sequence: 14487 - clear  0.000000000, sequence: 0
source 0 - assert 1763358527.000009674, sequence: 14488 - clear  0.000000000, sequence: 0
source 0 - assert 1763358528.000010870, sequence: 14489 - clear  0.000000000, sequence: 0
source 0 - assert 1763358529.000006469, sequence: 14490 - clear  0.000000000, sequence: 0
source 0 - assert 1763358530.000005385, sequence: 14491 - clear  0.000000000, sequence: 0
source 0 - assert 1763358531.000011677, sequence: 14492 - clear  0.000000000, sequence: 0
source 0 - assert 1763358532.000007516, sequence: 14493 - clear  0.000000000, sequence: 0
source 0 - assert 1763358533.000010296, sequence: 14494 - clear  0.000000000, sequence: 0
source 0 - assert 1763358534.000009223, sequence: 14495 - clear  0.000000000, sequence: 0
source 0 - assert 1763358535.000007390, sequence: 14496 - clear  0.000000000, sequence: 0
source 0 - assert 1763358536.000006401, sequence: 14497 - clear  0.000000000, sequence: 0
source 0 - assert 1763358537.000007986, sequence: 14498 - clear  0.000000000, sequence: 0
source 0 - assert 1763358538.000007068, sequence: 14499 - clear  0.000000000, sequence: 0
source 0 - assert 1763358539.000005611, sequence: 14500 - clear  0.000000000, sequence: 0
source 0 - assert 1763358540.000002431, sequence: 14501 - clear  0.000000000, sequence: 0
source 0 - assert 1763358541.000009135, sequence: 14502 - clear  0.000000000, sequence: 0
source 0 - assert 1763358542.000007431, sequence: 14503 - clear  0.000000000, sequence: 0
source 0 - assert 1763358543.000007260, sequence: 14504 - clear  0.000000000, sequence: 0
source 0 - assert 1763358544.000006564, sequence: 14505 - clear  0.000000000, sequence: 0
source 0 - assert 1763358545.000004651, sequence: 14506 - clear  0.000000000, sequence: 0
source 0 - assert 1763358546.000009453, sequence: 14507 - clear  0.000000000, sequence: 0
source 0 - assert 1763358547.000007271, sequence: 14508 - clear  0.000000000, sequence: 0
source 0 - assert 1763358548.000008417, sequence: 14509 - clear  0.000000000, sequence: 0
source 0 - assert 1763358549.000008684, sequence: 14510 - clear  0.000000000, sequence: 0
source 0 - assert 1763358550.000010936, sequence: 14511 - clear  0.000000000, sequence: 0
source 0 - assert 1763358551.000009983, sequence: 14512 - clear  0.000000000, sequence: 0
source 0 - assert 1763358552.000010531, sequence: 14513 - clear  0.000000000, sequence: 0
source 0 - assert 1763358553.000008905, sequence: 14514 - clear  0.000000000, sequence: 0
source 0 - assert 1763358554.000003473, sequence: 14515 - clear  0.000000000, sequence: 0
source 0 - assert 1763358555.000012520, sequence: 14516 - clear  0.000000000, sequence: 0
source 0 - assert 1763358556.000008637, sequence: 14517 - clear  0.000000000, sequence: 0
source 0 - assert 1763358557.000009175, sequence: 14518 - clear  0.000000000, sequence: 0
source 0 - assert 1763358558.000010519, sequence: 14519 - clear  0.000000000, sequence: 0
source 0 - assert 1763358559.000006515, sequence: 14520 - clear  0.000000000, sequence: 0
source 0 - assert 1763358560.000006696, sequence: 14521 - clear  0.000000000, sequence: 0
source 0 - assert 1763358561.000007940, sequence: 14522 - clear  0.000000000, sequence: 0
source 0 - assert 1763358562.000010272, sequence: 14523 - clear  0.000000000, sequence: 0
source 0 - assert 1763358563.000005981, sequence: 14524 - clear  0.000000000, sequence: 0
source 0 - assert 1763358564.000007662, sequence: 14525 - clear  0.000000000, sequence: 0
source 0 - assert 1763358565.000006816, sequence: 14526 - clear  0.000000000, sequence: 0
source 0 - assert 1763358566.000007931, sequence: 14527 - clear  0.000000000, sequence: 0
source 0 - assert 1763358567.000008691, sequence: 14528 - clear  0.000000000, sequence: 0
source 0 - assert 1763358568.000006616, sequence: 14529 - clear  0.000000000, sequence: 0
source 0 - assert 1763358569.000007641, sequence: 14530 - clear  0.000000000, sequence: 0
source 0 - assert 1763358570.000005018, sequence: 14531 - clear  0.000000000, sequence: 0
source 0 - assert 1763358571.000009562, sequence: 14532 - clear  0.000000000, sequence: 0
source 0 - assert 1763358572.000008653, sequence: 14533 - clear  0.000000000, sequence: 0
source 0 - assert 1763358573.000004974, sequence: 14534 - clear  0.000000000, sequence: 0
source 0 - assert 1763358574.000005472, sequence: 14535 - clear  0.000000000, sequence: 0
source 0 - assert 1763358575.000006754, sequence: 14536 - clear  0.000000000, sequence: 0
source 0 - assert 1763358576.000006424, sequence: 14537 - clear  0.000000000, sequence: 0
source 0 - assert 1763358577.000004731, sequence: 14538 - clear  0.000000000, sequence: 0
source 0 - assert 1763358578.000004854, sequence: 14539 - clear  0.000000000, sequence: 0
source 0 - assert 1763358579.000004051, sequence: 14540 - clear  0.000000000, sequence: 0
source 0 - assert 1763358580.000008004, sequence: 14541 - clear  0.000000000, sequence: 0
source 0 - assert 1763358581.000009529, sequence: 14542 - clear  0.000000000, sequence: 0
source 0 - assert 1763358582.000008870, sequence: 14543 - clear  0.000000000, sequence: 0
source 0 - assert 1763358583.000005857, sequence: 14544 - clear  0.000000000, sequence: 0
source 0 - assert 1763358584.000006895, sequence: 14545 - clear  0.000000000, sequence: 0
source 0 - assert 1763358585.000002502, sequence: 14546 - clear  0.000000000, sequence: 0
source 0 - assert 1763358586.000009996, sequence: 14547 - clear  0.000000000, sequence: 0
source 0 - assert 1763358587.000006384, sequence: 14548 - clear  0.000000000, sequence: 0
source 0 - assert 1763358588.000007974, sequence: 14549 - clear  0.000000000, sequence: 0
source 0 - assert 1763358589.000002973, sequence: 14550 - clear  0.000000000, sequence: 0
source 0 - assert 1763358590.000007220, sequence: 14551 - clear  0.000000000, sequence: 0
source 0 - assert 1763358591.000007774, sequence: 14552 - clear  0.000000000, sequence: 0
source 0 - assert 1763358592.000012661, sequence: 14553 - clear  0.000000000, sequence: 0
source 0 - assert 1763358593.000009706, sequence: 14554 - clear  0.000000000, sequence: 0
source 0 - assert 1763358594.000005432, sequence: 14555 - clear  0.000000000, sequence: 0
source 0 - assert 1763358595.000004949, sequence: 14556 - clear  0.000000000, sequence: 0
source 0 - assert 1763358596.000010037, sequence: 14557 - clear  0.000000000, sequence: 0
source 0 - assert 1763358597.000007979, sequence: 14558 - clear  0.000000000, sequence: 0
source 0 - assert 1763358598.000005906, sequence: 14559 - clear  0.000000000, sequence: 0
source 0 - assert 1763358599.000003165, sequence: 14560 - clear  0.000000000, sequence: 0
source 0 - assert 1763358600.000006525, sequence: 14561 - clear  0.000000000, sequence: 0
source 0 - assert 1763358601.000009094, sequence: 14562 - clear  0.000000000, sequence: 0
source 0 - assert 1763358602.000008400, sequence: 14563 - clear  0.000000000, sequence: 0
source 0 - assert 1763358603.000009505, sequence: 14564 - clear  0.000000000, sequence: 0
source 0 - assert 1763358604.000007983, sequence: 14565 - clear  0.000000000, sequence: 0
source 0 - assert 1763358605.000005458, sequence: 14566 - clear  0.000000000, sequence: 0
source 0 - assert 1763358606.000010355, sequence: 14567 - clear  0.000000000, sequence: 0
source 0 - assert 1763358607.000002726, sequence: 14568 - clear  0.000000000, sequence: 0
source 0 - assert 1763358608.000007489, sequence: 14569 - clear  0.000000000, sequence: 0
source 0 - assert 1763358609.000008626, sequence: 14570 - clear  0.000000000, sequence: 0
source 0 - assert 1763358610.000007090, sequence: 14571 - clear  0.000000000, sequence: 0
source 0 - assert 1763358611.000009297, sequence: 14572 - clear  0.000000000, sequence: 0
source 0 - assert 1763358612.000009926, sequence: 14573 - clear  0.000000000, sequence: 0
source 0 - assert 1763358613.000008237, sequence: 14574 - clear  0.000000000, sequence: 0
source 0 - assert 1763358614.000007989, sequence: 14575 - clear  0.000000000, sequence: 0
source 0 - assert 1763358615.000006563, sequence: 14576 - clear  0.000000000, sequence: 0
source 0 - assert 1763358616.000009266, sequence: 14577 - clear  0.000000000, sequence: 0
source 0 - assert 1763358617.000008314, sequence: 14578 - clear  0.000000000, sequence: 0
source 0 - assert 1763358618.000010445, sequence: 14579 - clear  0.000000000, sequence: 0
source 0 - assert 1763358619.000007997, sequence: 14580 - clear  0.000000000, sequence: 0
source 0 - assert 1763358620.000008690, sequence: 14581 - clear  0.000000000, sequence: 0
source 0 - assert 1763358621.000009217, sequence: 14582 - clear  0.000000000, sequence: 0
source 0 - assert 1763358622.000011854, sequence: 14583 - clear  0.000000000, sequence: 0
source 0 - assert 1763358623.000007360, sequence: 14584 - clear  0.000000000, sequence: 0
source 0 - assert 1763358624.000007533, sequence: 14585 - clear  0.000000000, sequence: 0
source 0 - assert 1763358625.000006733, sequence: 14586 - clear  0.000000000, sequence: 0
source 0 - assert 1763358626.000011303, sequence: 14587 - clear  0.000000000, sequence: 0
source 0 - assert 1763358627.000010253, sequence: 14588 - clear  0.000000000, sequence: 0
source 0 - assert 1763358628.000007253, sequence: 14589 - clear  0.000000000, sequence: 0
source 0 - assert 1763358629.000010587, sequence: 14590 - clear  0.000000000, sequence: 0
source 0 - assert 1763358630.000006380, sequence: 14591 - clear  0.000000000, sequence: 0
source 0 - assert 1763358631.000009642, sequence: 14592 - clear  0.000000000, sequence: 0
source 0 - assert 1763358632.000004689, sequence: 14593 - clear  0.000000000, sequence: 0
source 0 - assert 1763358633.000009613, sequence: 14594 - clear  0.000000000, sequence: 0
source 0 - assert 1763358634.000005576, sequence: 14595 - clear  0.000000000, sequence: 0
source 0 - assert 1763358635.000005541, sequence: 14596 - clear  0.000000000, sequence: 0
source 0 - assert 1763358636.000010641, sequence: 14597 - clear  0.000000000, sequence: 0
source 0 - assert 1763358637.000005305, sequence: 14598 - clear  0.000000000, sequence: 0
source 0 - assert 1763358638.000009722, sequence: 14599 - clear  0.000000000, sequence: 0
source 0 - assert 1763358639.000004499, sequence: 14600 - clear  0.000000000, sequence: 0
source 0 - assert 1763358640.000006223, sequence: 14601 - clear  0.000000000, sequence: 0
source 0 - assert 1763358641.000008049, sequence: 14602 - clear  0.000000000, sequence: 0
source 0 - assert 1763358642.000010043, sequence: 14603 - clear  0.000000000, sequence: 0
source 0 - assert 1763358643.000012078, sequence: 14604 - clear  0.000000000, sequence: 0
source 0 - assert 1763358644.000009513, sequence: 14605 - clear  0.000000000, sequence: 0
source 0 - assert 1763358645.000004909, sequence: 14606 - clear  0.000000000, sequence: 0
source 0 - assert 1763358646.000010079, sequence: 14607 - clear  0.000000000, sequence: 0
source 0 - assert 1763358647.000006490, sequence: 14608 - clear  0.000000000, sequence: 0
source 0 - assert 1763358648.000008826, sequence: 14609 - clear  0.000000000, sequence: 0
source 0 - assert 1763358649.000004444, sequence: 14610 - clear  0.000000000, sequence: 0
source 0 - assert 1763358650.000006220, sequence: 14611 - clear  0.000000000, sequence: 0
source 0 - assert 1763358651.000008228, sequence: 14612 - clear  0.000000000, sequence: 0
source 0 - assert 1763358652.000008397, sequence: 14613 - clear  0.000000000, sequence: 0
source 0 - assert 1763358653.000007015, sequence: 14614 - clear  0.000000000, sequence: 0
source 0 - assert 1763358654.000006639, sequence: 14615 - clear  0.000000000, sequence: 0
source 0 - assert 1763358655.000003171, sequence: 14616 - clear  0.000000000, sequence: 0
source 0 - assert 1763358656.000008308, sequence: 14617 - clear  0.000000000, sequence: 0
source 0 - assert 1763358657.000006397, sequence: 14618 - clear  0.000000000, sequence: 0
source 0 - assert 1763358658.000008989, sequence: 14619 - clear  0.000000000, sequence: 0
source 0 - assert 1763358659.000002905, sequence: 14620 - clear  0.000000000, sequence: 0
source 0 - assert 1763358660.000007179, sequence: 14621 - clear  0.000000000, sequence: 0
source 0 - assert 1763358661.000008422, sequence: 14622 - clear  0.000000000, sequence: 0
source 0 - assert 1763358662.000007397, sequence: 14623 - clear  0.000000000, sequence: 0
source 0 - assert 1763358663.000015775, sequence: 14624 - clear  0.000000000, sequence: 0
source 0 - assert 1763358664.000007484, sequence: 14625 - clear  0.000000000, sequence: 0
source 0 - assert 1763358665.000005547, sequence: 14626 - clear  0.000000000, sequence: 0
source 0 - assert 1763358666.000007839, sequence: 14627 - clear  0.000000000, sequence: 0
source 0 - assert 1763358667.000007682, sequence: 14628 - clear  0.000000000, sequence: 0
source 0 - assert 1763358668.000001514, sequence: 14629 - clear  0.000000000, sequence: 0
source 0 - assert 1763358669.000005479, sequence: 14630 - clear  0.000000000, sequence: 0
source 0 - assert 1763358670.000006057, sequence: 14631 - clear  0.000000000, sequence: 0
source 0 - assert 1763358671.000009469, sequence: 14632 - clear  0.000000000, sequence: 0
source 0 - assert 1763358672.000006319, sequence: 14633 - clear  0.000000000, sequence: 0
source 0 - assert 1763358673.000006595, sequence: 14634 - clear  0.000000000, sequence: 0
source 0 - assert 1763358674.000009466, sequence: 14635 - clear  0.000000000, sequence: 0
source 0 - assert 1763358675.000007863, sequence: 14636 - clear  0.000000000, sequence: 0
source 0 - assert 1763358676.000011151, sequence: 14637 - clear  0.000000000, sequence: 0
source 0 - assert 1763358677.000007897, sequence: 14638 - clear  0.000000000, sequence: 0
source 0 - assert 1763358678.000009509, sequence: 14639 - clear  0.000000000, sequence: 0
source 0 - assert 1763358679.000008422, sequence: 14640 - clear  0.000000000, sequence: 0
source 0 - assert 1763358680.000007015, sequence: 14641 - clear  0.000000000, sequence: 0
source 0 - assert 1763358681.000009500, sequence: 14642 - clear  0.000000000, sequence: 0
source 0 - assert 1763358682.000009591, sequence: 14643 - clear  0.000000000, sequence: 0
source 0 - assert 1763358683.000011486, sequence: 14644 - clear  0.000000000, sequence: 0
source 0 - assert 1763358684.000006894, sequence: 14645 - clear  0.000000000, sequence: 0
source 0 - assert 1763358685.000010725, sequence: 14646 - clear  0.000000000, sequence: 0
source 0 - assert 1763358686.000010773, sequence: 14647 - clear  0.000000000, sequence: 0
source 0 - assert 1763358687.000005514, sequence: 14648 - clear  0.000000000, sequence: 0
source 0 - assert 1763358688.000008145, sequence: 14649 - clear  0.000000000, sequence: 0
source 0 - assert 1763358689.000009065, sequence: 14650 - clear  0.000000000, sequence: 0
source 0 - assert 1763358690.000005770, sequence: 14651 - clear  0.000000000, sequence: 0
source 0 - assert 1763358691.000008223, sequence: 14652 - clear  0.000000000, sequence: 0
source 0 - assert 1763358692.000008187, sequence: 14653 - clear  0.000000000, sequence: 0
source 0 - assert 1763358693.000007529, sequence: 14654 - clear  0.000000000, sequence: 0
source 0 - assert 1763358694.000006061, sequence: 14655 - clear  0.000000000, sequence: 0
source 0 - assert 1763358695.000006676, sequence: 14656 - clear  0.000000000, sequence: 0
source 0 - assert 1763358696.000008789, sequence: 14657 - clear  0.000000000, sequence: 0
source 0 - assert 1763358697.000009754, sequence: 14658 - clear  0.000000000, sequence: 0
source 0 - assert 1763358698.000006485, sequence: 14659 - clear  0.000000000, sequence: 0
source 0 - assert 1763358699.000007313, sequence: 14660 - clear  0.000000000, sequence: 0
source 0 - assert 1763358700.000008937, sequence: 14661 - clear  0.000000000, sequence: 0
source 0 - assert 1763358701.000007324, sequence: 14662 - clear  0.000000000, sequence: 0
source 0 - assert 1763358702.000009608, sequence: 14663 - clear  0.000000000, sequence: 0
source 0 - assert 1763358703.000002760, sequence: 14664 - clear  0.000000000, sequence: 0
source 0 - assert 1763358704.000007504, sequence: 14665 - clear  0.000000000, sequence: 0
source 0 - assert 1763358705.000008393, sequence: 14666 - clear  0.000000000, sequence: 0
source 0 - assert 1763358706.000009607, sequence: 14667 - clear  0.000000000, sequence: 0
source 0 - assert 1763358707.000003531, sequence: 14668 - clear  0.000000000, sequence: 0
source 0 - assert 1763358708.000007321, sequence: 14669 - clear  0.000000000, sequence: 0
source 0 - assert 1763358709.000007993, sequence: 14670 - clear  0.000000000, sequence: 0
source 0 - assert 1763358710.000009067, sequence: 14671 - clear  0.000000000, sequence: 0
source 0 - assert 1763358711.000009220, sequence: 14672 - clear  0.000000000, sequence: 0
source 0 - assert 1763358712.000011513, sequence: 14673 - clear  0.000000000, sequence: 0
source 0 - assert 1763358713.000011801, sequence: 14674 - clear  0.000000000, sequence: 0
source 0 - assert 1763358714.000005865, sequence: 14675 - clear  0.000000000, sequence: 0
source 0 - assert 1763358715.000007521, sequence: 14676 - clear  0.000000000, sequence: 0
source 0 - assert 1763358716.000006395, sequence: 14677 - clear  0.000000000, sequence: 0
source 0 - assert 1763358717.000007169, sequence: 14678 - clear  0.000000000, sequence: 0
source 0 - assert 1763358718.000009132, sequence: 14679 - clear  0.000000000, sequence: 0
source 0 - assert 1763358719.000005316, sequence: 14680 - clear  0.000000000, sequence: 0
source 0 - assert 1763358720.000008684, sequence: 14681 - clear  0.000000000, sequence: 0
source 0 - assert 1763358721.000008270, sequence: 14682 - clear  0.000000000, sequence: 0
source 0 - assert 1763358722.000008564, sequence: 14683 - clear  0.000000000, sequence: 0
source 0 - assert 1763358723.000008658, sequence: 14684 - clear  0.000000000, sequence: 0
source 0 - assert 1763358724.000009138, sequence: 14685 - clear  0.000000000, sequence: 0
source 0 - assert 1763358725.000004311, sequence: 14686 - clear  0.000000000, sequence: 0
source 0 - assert 1763358726.000010213, sequence: 14687 - clear  0.000000000, sequence: 0
source 0 - assert 1763358727.000006306, sequence: 14688 - clear  0.000000000, sequence: 0
source 0 - assert 1763358728.000007120, sequence: 14689 - clear  0.000000000, sequence: 0
source 0 - assert 1763358729.000002606, sequence: 14690 - clear  0.000000000, sequence: 0
source 0 - assert 1763358730.000006505, sequence: 14691 - clear  0.000000000, sequence: 0
source 0 - assert 1763358731.000010925, sequence: 14692 - clear  0.000000000, sequence: 0
source 0 - assert 1763358732.000009436, sequence: 14693 - clear  0.000000000, sequence: 0
source 0 - assert 1763358733.000006454, sequence: 14694 - clear  0.000000000, sequence: 0
