trying PPS source "/dev/pps0"
found PPS source "/dev/pps0"
ok, found 1 source(s), now start fetching data...
source 0 - assert 1763359269.000011286, sequence: 15230 - clear  0.000000000, sequence: 0
source 0 - assert 1763359270.000006010, sequence: 15231 - clear  0.000000000, sequence: 0
source 0 - assert 1763359271.000005764, sequence: 15232 - clear  0.000000000, sequence: 0
source 0 - assert 1763359272.000003578, sequence: 15233 - clear  0.000000000, sequence: 0
source 0 - assert 1763359273.000011259, sequence: 15234 - clear  0.000000000, sequence: 0
source 0 - assert 1763359274.000011446, sequence: 15235 - clear  0.000000000, sequence: 0
source 0 - assert 1763359275.000006475, sequence: 15236 - clear  0.000000000, sequence: 0
source 0 - assert 1763359276.000003293, sequence: 15237 - clear  0.000000000, sequence: 0
source 0 - assert 1763359277.000006998, sequence: 15238 - clear  0.000000000, sequence: 0
source 0 - assert 1763359278.000005145, sequence: 15239 - clear  0.000000000, sequence: 0
source 0 - assert 1763359279.000006139, sequence: 15240 - clear  0.000000000, sequence: 0
source 0 - assert 1763359280.000010633, sequence: 15241 - clear  0.000000000, sequence: 0
source 0 - assert 1763359281.000007007, sequence: 15242 - clear  0.000000000, sequence: 0
source 0 - assert 1763359282.000003801, sequence: 15243 - clear  0.000000000, sequence: 0
source 0 - assert 1763359283.000007010, sequence: 15244 - clear  0.000000000, sequence: 0
source 0 - assert 1763359284.000006423, sequence: 15245 - clear  0.000000000, sequence: 0
source 0 - assert 1763359285.000009695, sequence: 15246 - clear  0.000000000, sequence: 0
source 0 - assert 1763359286.000009368, sequence: 15247 - clear  0.000000000, sequence: 0
source 0 - assert 1763359287.000006812, sequence: 15248 - clear  0.000000000, sequence: 0
source 0 - assert 1763359288.000010243, sequence: 15249 - clear  0.000000000, sequence: 0
source 0 - assert 1763359289.000009619, sequence: 15250 - clear  0.000000000, sequence: 0
source 0 - assert 1763359290.000010761, sequence: 15251 - clear  0.000000000, sequence: 0
source 0 - assert 1763359291.000008845, sequence: 15252 - clear  0.000000000, sequence: 0
source 0 - assert 1763359292.000008178, sequence: 15253 - clear  0.000000000, sequence: 0
source 0 - assert 1763359293.000007854, sequence: 15254 - clear  0.000000000, sequence: 0
source 0 - assert 1763359294.000006845, sequence: 15255 - clear  0.000000000, sequence: 0
source 0 - assert 1763359295.000010781, sequence: 15256 - clear  0.000000000, sequence: 0
source 0 - assert 1763359296.000005364, sequence: 15257 - clear  0.000000000, sequence: 0
source 0 - assert 1763359297.000006395, sequence: 15258 - clear  0.000000000, sequence: 0
source 0 - assert 1763359298.000007559, sequence: 15259 - clear  0.000000000, sequence: 0
source 0 - assert 1763359299.000006387, sequence: 15260 - clear  0.000000000, sequence: 0
source 0 - assert 1763359300.000012427, sequence: 15261 - clear  0.000000000, sequence: 0
source 0 - assert 1763359301.000006761, sequence: 15262 - clear  0.000000000, sequence: 0
source 0 - assert 1763359302.000005596, sequence: 15263 - clear  0.000000000, sequence: 0
source 0 - assert 1763359303.000009357, sequence: 15264 - clear  0.000000000, sequence: 0
source 0 - assert 1763359304.000007906, sequence: 15265 - clear  0.000000000, sequence: 0
source 0 - assert 1763359305.000010071, sequence: 15266 - clear  0.000000000, sequence: 0
source 0 - assert 1763359306.000006229, sequence: 15267 - clear  0.000000000, sequence: 0
source 0 - assert 1763359307.000004432, sequence: 15268 - clear  0.000000000, sequence: 0
source 0 - assert 1763359308.000001813, sequence: 15269 - clear  0.000000000, sequence: 0
source 0 - assert 1763359309.000004306, sequence: 15270 - clear  0.000000000, sequence: 0
source 0 - assert 1763359310.000010192, sequence: 15271 - clear  0.000000000, sequence: 0
source 0 - assert 1763359311.000007070, sequence: 15272 - clear  0.000000000, sequence: 0
source 0 - assert 1763359312.000010109, sequence: 15273 - clear  0.000000000, sequence: 0
source 0 - assert 1763359313.000007310, sequence: 15274 - clear  0.000000000, sequence: 0
source 0 - assert 1763359314.000008898, sequence: 15275 - clear  0.000000000, sequence: 0
source 0 - assert 1763359315.000010240, sequence: 15276 - clear  0.000000000, sequence: 0
source 0 - assert 1763359316.000007984, sequence: 15277 - clear  0.000000000, sequence: 0
source 0 - assert 1763359317.000007657, sequence: 15278 - clear  0.000000000, sequence: 0
source 0 - assert 1763359318.000010367, sequence: 15279 - clear  0.000000000, sequence: 0
source 0 - assert 1763359319.000005547, sequence: 15280 - clear  0.000000000, sequence: 0
source 0 - assert 1763359320.000009667, sequence: 15281 - clear  0.000000000, sequence: 0
source 0 - assert 1763359321.000008140, sequence: 15282 - clear  0.000000000, sequence: 0
source 0 - assert 1763359322.000007902, sequence: 15283 - clear  0.000000000, sequence: 0
source 0 - assert 1763359323.000008404, sequence: 15284 - clear  0.000000000, sequence: 0
source 0 - assert 1763359324.000007316, sequence: 15285 - clear  0.000000000, sequence: 0
source 0 - assert 1763359325.000009612, sequence: 15286 - clear  0.000000000, sequence: 0
source 0 - assert 1763359326.000006188, sequence: 15287 - clear  0.000000000, sequence: 0
source 0 - assert 1763359327.000007060, sequence: 15288 - clear  0.000000000, sequence: 0
source 0 - assert 1763359328.000007054, sequence: 15289 - clear  0.000000000, sequence: 0
source 0 - assert 1763359329.000011381, sequence: 15290 - clear  0.000000000, sequence: 0
source 0 - assert 1763359330.000009781, sequence: 15291 - clear  0.000000000, sequence: 0
source 0 - assert 1763359331.000010008, sequence: 15292 - clear  0.000000000, sequence: 0
source 0 - assert 1763359332.000005110, sequence: 15293 - clear  0.000000000, sequence: 0
source 0 - assert 1763359333.000007311, sequence: 15294 - clear  0.000000000, sequence: 0
source 0 - assert 1763359334.000009608, sequence: 15295 - clear  0.000000000, sequence: 0
source 0 - assert 1763359335.000010199, sequence: 15296 - clear  0.000000000, sequence: 0
source 0 - assert 1763359336.000008907, sequence: 15297 - clear  0.000000000, sequence: 0
source 0 - assert 1763359337.000008644, sequence: 15298 - clear  0.000000000, sequence: 0
source 0 - assert 1763359338.000010941, sequence: 15299 - clear  0.000000000, sequence: 0
source 0 - assert 1763359339.000009513, sequence: 15300 - clear  0.000000000, sequence: 0
source 0 - assert 1763359340.000010716, sequence: 15301 - clear  0.000000000, sequence: 0
source 0 - assert 1763359341.000011008, sequence: 15302 - clear  0.000000000, sequence: 0
source 0 - assert 1763359342.000004133, sequence: 15303 - clear  0.000000000, sequence: 0
source 0 - assert 1763359343.000009684, sequence: 15304 - clear  0.000000000, sequence: 0
source 0 - assert 1763359344.000006943, sequence: 15305 - clear  0.000000000, sequence: 0
source 0 - assert 1763359345.000007709, sequence: 15306 - clear  0.000000000, sequence: 0
source 0 - assert 1763359346.000008630, sequence: 15307 - clear  0.000000000, sequence: 0
source 0 - assert 1763359347.000010265, sequence: 15308 - clear  0.000000000, sequence: 0
source 0 - assert 1763359348.000010822, sequence: 15309 - clear  0.000000000, sequence: 0
source 0 - assert 1763359349.000007529, sequence: 15310 - clear  0.000000000, sequence: 0
source 0 - assert 1763359350.000007490, sequence: 15311 - clear  0.000000000, sequence: 0
source 0 - assert 1763359351.000009576, sequence: 15312 - clear  0.000000000, sequence: 0
source 0 - assert 1763359352.000009557, sequence: 15313 - clear  0.000000000, sequence: 0
source 0 - assert 1763359353.000006777, sequence: 15314 - clear  0.000000000, sequence: 0
source 0 - assert 1763359354.000004811, sequence: 15315 - clear  0.000000000, sequence: 0
source 0 - assert 1763359355.000009306, sequence: 15316 - clear  0.000000000, sequence: 0
source 0 - assert 1763359356.000005234, sequence: 15317 - clear  0.000000000, sequence: 0
source 0 - assert 1763359357.000008019, sequence: 15318 - clear  0.000000000, sequence: 0
source 0 - assert 1763359358.000009200, sequence: 15319 - clear  0.000000000, sequence: 0
source 0 - assert 1763359359.000008247, sequence: 15320 - clear  0.000000000, sequence: 0
source 0 - assert 1763359360.000008618, sequence: 15321 - clear  0.000000000, sequence: 0
source 0 - assert 1763359361.000007747, sequence: 15322 - clear  0.000000000, sequence: 0
source 0 - assert 1763359362.000009093, sequence: 15323 - clear  0.000000000, sequence: 0
source 0 - assert 1763359363.000010208, sequence: 15324 - clear  0.000000000, sequence: 0
source 0 - assert 1763359364.000010003, sequence: 15325 - clear  0.000000000, sequence: 0
source 0 - assert 1763359365.000008970, sequence: 15326 - clear  0.000000000, sequence: 0
