trying PPS source "/dev/pps0"
found PPS source "/dev/pps0"
ok, found 1 source(s), now start fetching data...
source 0 - assert 1763360961.000009690, sequence: 16922 - clear  0.000000000, sequence: 0
source 0 - assert 1763360962.000005830, sequence: 16923 - clear  0.000000000, sequence: 0
source 0 - assert 1763360963.000008175, sequence: 16924 - clear  0.000000000, sequence: 0
source 0 - assert 1763360964.000004629, sequence: 16925 - clear  0.000000000, sequence: 0
source 0 - assert 1763360965.000005309, sequence: 16926 - clear  0.000000000, sequence: 0
source 0 - assert 1763360966.000008485, sequence: 16927 - clear  0.000000000, sequence: 0
source 0 - assert 1763360967.000006528, sequence: 16928 - clear  0.000000000, sequence: 0
source 0 - assert 1763360968.000007530, sequence: 16929 - clear  0.000000000, sequence: 0
source 0 - assert 1763360969.000006678, sequence: 16930 - clear  0.000000000, sequence: 0
source 0 - assert 1763360970.000009297, sequence: 16931 - clear  0.000000000, sequence: 0
source 0 - assert 1763360971.000002764, sequence: 16932 - clear  0.000000000, sequence: 0
source 0 - assert 1763360972.000007481, sequence: 16933 - clear  0.000000000, sequence: 0
source 0 - assert 1763360973.000005531, sequence: 16934 - clear  0.000000000, sequence: 0
source 0 - assert 1763360974.000007523, sequence: 16935 - clear  0.000000000, sequence: 0
source 0 - assert 1763360975.000006880, sequence: 16936 - clear  0.000000000, sequence: 0
source 0 - assert 1763360976.000003630, sequence: 16937 - clear  0.000000000, sequence: 0
source 0 - assert 1763360977.000008601, sequence: 16938 - clear  0.000000000, sequence: 0
source 0 - assert 1763360978.000007310, sequence: 16939 - clear  0.000000000, sequence: 0
source 0 - assert 1763360979.000006014, sequence: 16940 - clear  0.000000000, sequence: 0
source 0 - assert 1763360980.000007949, sequence: 16941 - clear  0.000000000, sequence: 0
source 0 - assert 1763360981.000002081, sequence: 16942 - clear  0.000000000, sequence: 0
source 0 - assert 1763360982.000009955, sequence: 16943 - clear  0.000000000, sequence: 0
source 0 - assert 1763360983.000006698, sequence: 16944 - clear  0.000000000, sequence: 0
source 0 - assert 1763360984.000006809, sequence: 16945 - clear  0.000000000, sequence: 0
source 0 - assert 1763360985.000001262, sequence: 16946 - clear  0.000000000, sequence: 0
source 0 - assert 1763360986.000005602, sequence: 16947 - clear  0.000000000, sequence: 0
source 0 - assert 1763360987.000008307, sequence: 16948 - clear  0.000000000, sequence: 0
source 0 - assert 1763360988.000003853, sequence: 16949 - clear  0.000000000, sequence: 0
source 0 - assert 1763360989.000003572, sequence: 16950 - clear  0.000000000, sequence: 0
