trying PPS source "/dev/pps0"
found PPS source "/dev/pps0"
ok, found 1 source(s), now start fetching data...
source 0 - assert 1763361530.000008000, sequence: 17491 - clear  0.000000000, sequence: 0
source 0 - assert 1763361531.000002423, sequence: 17492 - clear  0.000000000, sequence: 0
source 0 - assert 1763361532.000003014, sequence: 17493 - clear  0.000000000, sequence: 0
source 0 - assert 1763361533.000002675, sequence: 17494 - clear  0.000000000, sequence: 0
source 0 - assert 1763361534.000007470, sequence: 17495 - clear  0.000000000, sequence: 0
source 0 - assert 1763361535.000007805, sequence: 17496 - clear  0.000000000, sequence: 0
source 0 - assert 1763361536.000002724, sequence: 17497 - clear  0.000000000, sequence: 0
source 0 - assert 1763361537.000003049, sequence: 17498 - clear  0.000000000, sequence: 0
source 0 - assert 1763361538.000009062, sequence: 17499 - clear  0.000000000, sequence: 0
source 0 - assert 1763361539.000004149, sequence: 17500 - clear  0.000000000, sequence: 0
source 0 - assert 1763361540.000007606, sequence: 17501 - clear  0.000000000, sequence: 0
source 0 - assert 1763361541.000008973, sequence: 17502 - clear  0.000000000, sequence: 0
source 0 - assert 1763361542.000004258, sequence: 17503 - clear  0.000000000, sequence: 0
source 0 - assert 1763361543.000004587, sequence: 17504 - clear  0.000000000, sequence: 0
source 0 - assert 1763361544.000004582, sequence: 17505 - clear  0.000000000, sequence: 0
source 0 - assert 1763361545.000005274, sequence: 17506 - clear  0.000000000, sequence: 0
source 0 - assert 1763361546.000007326, sequence: 17507 - clear  0.000000000, sequence: 0
source 0 - assert 1763361547.000003237, sequence: 17508 - clear  0.000000000, sequence: 0
source 0 - assert 1763361548.000005851, sequence: 17509 - clear  0.000000000, sequence: 0
source 0 - assert 1763361549.000003552, sequence: 17510 - clear  0.000000000, sequence: 0
source 0 - assert 1763361550.000008599, sequence: 17511 - clear  0.000000000, sequence: 0
source 0 - assert 1763361551.000009673, sequence: 17512 - clear  0.000000000, sequence: 0
source 0 - assert 1763361552.000004971, sequence: 17513 - clear  0.000000000, sequence: 0
source 0 - assert 1763361553.000008441, sequence: 17514 - clear  0.000000000, sequence: 0
source 0 - assert 1763361553.999999936, sequence: 17515 - clear  0.000000000, sequence: 0
source 0 - assert 1763361555.000004573, sequence: 17516 - clear  0.000000000, sequence: 0
source 0 - assert 1763361556.000014032, sequence: 17517 - clear  0.000000000, sequence: 0
source 0 - assert 1763361557.000011848, sequence: 17518 - clear  0.000000000, sequence: 0
source 0 - assert 1763361558.000007512, sequence: 17519 - clear  0.000000000, sequence: 0
source 0 - assert 1763361559.000006142, sequence: 17520 - clear  0.000000000, sequence: 0
source 0 - assert 1763361560.000000427, sequence: 17521 - clear  0.000000000, sequence: 0
source 0 - assert 1763361561.000007469, sequence: 17522 - clear  0.000000000, sequence: 0
source 0 - assert 1763361562.000004113, sequence: 17523 - clear  0.000000000, sequence: 0
source 0 - assert 1763361563.000006157, sequence: 17524 - clear  0.000000000, sequence: 0
source 0 - assert 1763361564.000004571, sequence: 17525 - clear  0.000000000, sequence: 0
source 0 - assert 1763361565.000004567, sequence: 17526 - clear  0.000000000, sequence: 0
source 0 - assert 1763361566.000003732, sequence: 17527 - clear  0.000000000, sequence: 0
source 0 - assert 1763361567.000008307, sequence: 17528 - clear  0.000000000, sequence: 0
source 0 - assert 1763361568.000008601, sequence: 17529 - clear  0.000000000, sequence: 0
source 0 - assert 1763361569.000002012, sequence: 17530 - clear  0.000000000, sequence: 0
source 0 - assert 1763361570.000007720, sequence: 17531 - clear  0.000000000, sequence: 0
source 0 - assert 1763361571.000008044, sequence: 17532 - clear  0.000000000, sequence: 0
source 0 - assert 1763361572.000004363, sequence: 17533 - clear  0.000000000, sequence: 0
source 0 - assert 1763361573.000008799, sequence: 17534 - clear  0.000000000, sequence: 0
source 0 - assert 1763361574.000003606, sequence: 17535 - clear  0.000000000, sequence: 0
source 0 - assert 1763361575.000006061, sequence: 17536 - clear  0.000000000, sequence: 0
source 0 - assert 1763361576.000003300, sequence: 17537 - clear  0.000000000, sequence: 0
source 0 - assert 1763361577.000006629, sequence: 17538 - clear  0.000000000, sequence: 0
source 0 - assert 1763361578.000010455, sequence: 17539 - clear  0.000000000, sequence: 0
source 0 - assert 1763361579.000008592, sequence: 17540 - clear  0.000000000, sequence: 0
source 0 - assert 1763361580.000008223, sequence: 17541 - clear  0.000000000, sequence: 0
source 0 - assert 1763361581.000009449, sequence: 17542 - clear  0.000000000, sequence: 0
source 0 - assert 1763361582.000007745, sequence: 17543 - clear  0.000000000, sequence: 0
source 0 - assert 1763361583.000010930, sequence: 17544 - clear  0.000000000, sequence: 0
source 0 - assert 1763361584.000003625, sequence: 17545 - clear  0.000000000, sequence: 0
source 0 - assert 1763361585.000007269, sequence: 17546 - clear  0.000000000, sequence: 0
source 0 - assert 1763361586.000004438, sequence: 17547 - clear  0.000000000, sequence: 0
source 0 - assert 1763361587.000008491, sequence: 17548 - clear  0.000000000, sequence: 0
source 0 - assert 1763361588.000009776, sequence: 17549 - clear  0.000000000, sequence: 0
source 0 - assert 1763361589.000006016, sequence: 17550 - clear  0.000000000, sequence: 0
source 0 - assert 1763361590.000005608, sequence: 17551 - clear  0.000000000, sequence: 0
source 0 - assert 1763361591.000003727, sequence: 17552 - clear  0.000000000, sequence: 0
source 0 - assert 1763361592.000008605, sequence: 17553 - clear  0.000000000, sequence: 0
source 0 - assert 1763361593.000009164, sequence: 17554 - clear  0.000000000, sequence: 0
source 0 - assert 1763361594.000003839, sequence: 17555 - clear  0.000000000, sequence: 0
source 0 - assert 1763361595.000005007, sequence: 17556 - clear  0.000000000, sequence: 0
source 0 - assert 1763361596.000005891, sequence: 17557 - clear  0.000000000, sequence: 0
source 0 - assert 1763361597.000005476, sequence: 17558 - clear  0.000000000, sequence: 0
source 0 - assert 1763361598.000010328, sequence: 17559 - clear  0.000000000, sequence: 0
source 0 - assert 1763361599.000003422, sequence: 17560 - clear  0.000000000, sequence: 0
source 0 - assert 1763361600.000004861, sequence: 17561 - clear  0.000000000, sequence: 0
source 0 - assert 1763361601.000003084, sequence: 17562 - clear  0.000000000, sequence: 0
source 0 - assert 1763361602.000006498, sequence: 17563 - clear  0.000000000, sequence: 0
source 0 - assert 1763361603.000009247, sequence: 17564 - clear  0.000000000, sequence: 0
source 0 - assert 1763361604.000002847, sequence: 17565 - clear  0.000000000, sequence: 0
source 0 - assert 1763361605.000005104, sequence: 17566 - clear  0.000000000, sequence: 0
source 0 - assert 1763361606.000005786, sequence: 17567 - clear  0.000000000, sequence: 0
source 0 - assert 1763361607.000006374, sequence: 17568 - clear  0.000000000, sequence: 0
source 0 - assert 1763361608.000007618, sequence: 17569 - clear  0.000000000, sequence: 0
source 0 - assert 1763361609.000004751, sequence: 17570 - clear  0.000000000, sequence: 0
source 0 - assert 1763361610.000006957, sequence: 17571 - clear  0.000000000, sequence: 0
source 0 - assert 1763361611.000001882, sequence: 17572 - clear  0.000000000, sequence: 0
source 0 - assert 1763361612.000001317, sequence: 17573 - clear  0.000000000, sequence: 0
source 0 - assert 1763361613.000011365, sequence: 17574 - clear  0.000000000, sequence: 0
source 0 - assert 1763361614.000002566, sequence: 17575 - clear  0.000000000, sequence: 0
source 0 - assert 1763361615.000003234, sequence: 17576 - clear  0.000000000, sequence: 0
source 0 - assert 1763361616.000003676, sequence: 17577 - clear  0.000000000, sequence: 0
source 0 - assert 1763361617.000008130, sequence: 17578 - clear  0.000000000, sequence: 0
source 0 - assert 1763361618.000008462, sequence: 17579 - clear  0.000000000, sequence: 0
source 0 - assert 1763361619.000004180, sequence: 17580 - clear  0.000000000, sequence: 0
source 0 - assert 1763361620.000004226, sequence: 17581 - clear  0.000000000, sequence: 0
source 0 - assert 1763361621.000007321, sequence: 17582 - clear  0.000000000, sequence: 0
source 0 - assert 1763361622.000002326, sequence: 17583 - clear  0.000000000, sequence: 0
source 0 - assert 1763361623.000007793, sequence: 17584 - clear  0.000000000, sequence: 0
source 0 - assert 1763361624.000008002, sequence: 17585 - clear  0.000000000, sequence: 0
source 0 - assert 1763361625.000005687, sequence: 17586 - clear  0.000000000, sequence: 0
source 0 - assert 1763361626.000001325, sequence: 17587 - clear  0.000000000, sequence: 0
source 0 - assert 1763361627.000003361, sequence: 17588 - clear  0.000000000, sequence: 0
source 0 - assert 1763361628.000008850, sequence: 17589 - clear  0.000000000, sequence: 0
source 0 - assert 1763361629.000005844, sequence: 17590 - clear  0.000000000, sequence: 0
source 0 - assert 1763361630.000004723, sequence: 17591 - clear  0.000000000, sequence: 0
source 0 - assert 1763361631.000002028, sequence: 17592 - clear  0.000000000, sequence: 0
source 0 - assert 1763361632.000009659, sequence: 17593 - clear  0.000000000, sequence: 0
source 0 - assert 1763361633.000008767, sequence: 17594 - clear  0.000000000, sequence: 0
source 0 - assert 1763361634.000006650, sequence: 17595 - clear  0.000000000, sequence: 0
source 0 - assert 1763361635.000002356, sequence: 17596 - clear  0.000000000, sequence: 0
source 0 - assert 1763361636.000004725, sequence: 17597 - clear  0.000000000, sequence: 0
source 0 - assert 1763361637.000003757, sequence: 17598 - clear  0.000000000, sequence: 0
source 0 - assert 1763361638.000006594, sequence: 17599 - clear  0.000000000, sequence: 0
source 0 - assert 1763361639.000008011, sequence: 17600 - clear  0.000000000, sequence: 0
source 0 - assert 1763361640.000002869, sequence: 17601 - clear  0.000000000, sequence: 0
source 0 - assert 1763361641.000004056, sequence: 17602 - clear  0.000000000, sequence: 0
source 0 - assert 1763361642.000009407, sequence: 17603 - clear  0.000000000, sequence: 0
source 0 - assert 1763361643.000004112, sequence: 17604 - clear  0.000000000, sequence: 0
source 0 - assert 1763361644.000006406, sequence: 17605 - clear  0.000000000, sequence: 0
source 0 - assert 1763361645.000008730, sequence: 17606 - clear  0.000000000, sequence: 0
source 0 - assert 1763361646.000006486, sequence: 17607 - clear  0.000000000, sequence: 0
source 0 - assert 1763361647.000007617, sequence: 17608 - clear  0.000000000, sequence: 0
source 0 - assert 1763361648.000000367, sequence: 17609 - clear  0.000000000, sequence: 0
source 0 - assert 1763361649.000006776, sequence: 17610 - clear  0.000000000, sequence: 0
source 0 - assert 1763361650.000006405, sequence: 17611 - clear  0.000000000, sequence: 0
source 0 - assert 1763361651.000004173, sequence: 17612 - clear  0.000000000, sequence: 0
source 0 - assert 1763361652.000001881, sequence: 17613 - clear  0.000000000, sequence: 0
source 0 - assert 1763361653.000001680, sequence: 17614 - clear  0.000000000, sequence: 0
source 0 - assert 1763361654.000007812, sequence: 17615 - clear  0.000000000, sequence: 0
source 0 - assert 1763361655.000004487, sequence: 17616 - clear  0.000000000, sequence: 0
source 0 - assert 1763361656.000008604, sequence: 17617 - clear  0.000000000, sequence: 0
source 0 - assert 1763361657.000004334, sequence: 17618 - clear  0.000000000, sequence: 0
source 0 - assert 1763361658.000004422, sequence: 17619 - clear  0.000000000, sequence: 0
source 0 - assert 1763361659.000007096, sequence: 17620 - clear  0.000000000, sequence: 0
source 0 - assert 1763361660.000006228, sequence: 17621 - clear  0.000000000, sequence: 0
source 0 - assert 1763361661.000006750, sequence: 17622 - clear  0.000000000, sequence: 0
source 0 - assert 1763361662.000007216, sequence: 17623 - clear  0.000000000, sequence: 0
source 0 - assert 1763361663.000006343, sequence: 17624 - clear  0.000000000, sequence: 0
source 0 - assert 1763361664.000010437, sequence: 17625 - clear  0.000000000, sequence: 0
source 0 - assert 1763361665.000006531, sequence: 17626 - clear  0.000000000, sequence: 0
source 0 - assert 1763361666.000008570, sequence: 17627 - clear  0.000000000, sequence: 0
source 0 - assert 1763361667.000002913, sequence: 17628 - clear  0.000000000, sequence: 0
source 0 - assert 1763361668.000009716, sequence: 17629 - clear  0.000000000, sequence: 0
source 0 - assert 1763361669.000009015, sequence: 17630 - clear  0.000000000, sequence: 0
source 0 - assert 1763361670.000005821, sequence: 17631 - clear  0.000000000, sequence: 0
source 0 - assert 1763361671.000007515, sequence: 17632 - clear  0.000000000, sequence: 0
source 0 - assert 1763361672.000001866, sequence: 17633 - clear  0.000000000, sequence: 0
source 0 - assert 1763361673.000009106, sequence: 17634 - clear  0.000000000, sequence: 0
source 0 - assert 1763361674.000008671, sequence: 17635 - clear  0.000000000, sequence: 0
source 0 - assert 1763361675.000002450, sequence: 17636 - clear  0.000000000, sequence: 0
source 0 - assert 1763361676.000008074, sequence: 17637 - clear  0.000000000, sequence: 0
source 0 - assert 1763361677.000008864, sequence: 17638 - clear  0.000000000, sequence: 0
source 0 - assert 1763361678.000008435, sequence: 17639 - clear  0.000000000, sequence: 0
source 0 - assert 1763361679.000009734, sequence: 17640 - clear  0.000000000, sequence: 0
source 0 - assert 1763361680.000003694, sequence: 17641 - clear  0.000000000, sequence: 0
source 0 - assert 1763361681.000005438, sequence: 17642 - clear  0.000000000, sequence: 0
source 0 - assert 1763361682.000003818, sequence: 17643 - clear  0.000000000, sequence: 0
source 0 - assert 1763361683.000008994, sequence: 17644 - clear  0.000000000, sequence: 0
source 0 - assert 1763361684.000008161, sequence: 17645 - clear  0.000000000, sequence: 0
source 0 - assert 1763361685.000006819, sequence: 17646 - clear  0.000000000, sequence: 0
source 0 - assert 1763361686.000006631, sequence: 17647 - clear  0.000000000, sequence: 0
source 0 - assert 1763361687.000008415, sequence: 17648 - clear  0.000000000, sequence: 0
source 0 - assert 1763361688.000009665, sequence: 17649 - clear  0.000000000, sequence: 0
source 0 - assert 1763361689.000009981, sequence: 17650 - clear  0.000000000, sequence: 0
source 0 - assert 1763361690.000006618, sequence: 17651 - clear  0.000000000, sequence: 0
source 0 - assert 1763361691.000007076, sequence: 17652 - clear  0.000000000, sequence: 0
source 0 - assert 1763361692.000002153, sequence: 17653 - clear  0.000000000, sequence: 0
source 0 - assert 1763361693.000006519, sequence: 17654 - clear  0.000000000, sequence: 0
source 0 - assert 1763361694.000008781, sequence: 17655 - clear  0.000000000, sequence: 0
source 0 - assert 1763361695.000006895, sequence: 17656 - clear  0.000000000, sequence: 0
source 0 - assert 1763361696.000005888, sequence: 17657 - clear  0.000000000, sequence: 0
source 0 - assert 1763361697.000005982, sequence: 17658 - clear  0.000000000, sequence: 0
source 0 - assert 1763361698.000008850, sequence: 17659 - clear  0.000000000, sequence: 0
source 0 - assert 1763361699.000007524, sequence: 17660 - clear  0.000000000, sequence: 0
source 0 - assert 1763361700.000004798, sequence: 17661 - clear  0.000000000, sequence: 0
source 0 - assert 1763361701.000005962, sequence: 17662 - clear  0.000000000, sequence: 0
source 0 - assert 1763361702.000006926, sequence: 17663 - clear  0.000000000, sequence: 0
source 0 - assert 1763361703.000005729, sequence: 17664 - clear  0.000000000, sequence: 0
source 0 - assert 1763361704.000008451, sequence: 17665 - clear  0.000000000, sequence: 0
source 0 - assert 1763361705.000005470, sequence: 17666 - clear  0.000000000, sequence: 0
source 0 - assert 1763361706.000004540, sequence: 17667 - clear  0.000000000, sequence: 0
source 0 - assert 1763361707.000007300, sequence: 17668 - clear  0.000000000, sequence: 0
source 0 - assert 1763361708.000011151, sequence: 17669 - clear  0.000000000, sequence: 0
source 0 - assert 1763361709.000004234, sequence: 17670 - clear  0.000000000, sequence: 0
source 0 - assert 1763361710.000006603, sequence: 17671 - clear  0.000000000, sequence: 0
source 0 - assert 1763361711.000005833, sequence: 17672 - clear  0.000000000, sequence: 0
source 0 - assert 1763361712.000009386, sequence: 17673 - clear  0.000000000, sequence: 0
source 0 - assert 1763361713.000001102, sequence: 17674 - clear  0.000000000, sequence: 0
source 0 - assert 1763361714.000009811, sequence: 17675 - clear  0.000000000, sequence: 0
source 0 - assert 1763361715.000006541, sequence: 17676 - clear  0.000000000, sequence: 0
source 0 - assert 1763361716.000009492, sequence: 17677 - clear  0.000000000, sequence: 0
source 0 - assert 1763361717.000003843, sequence: 17678 - clear  0.000000000, sequence: 0
source 0 - assert 1763361718.000004088, sequence: 17679 - clear  0.000000000, sequence: 0
source 0 - assert 1763361719.000009672, sequence: 17680 - clear  0.000000000, sequence: 0
source 0 - assert 1763361720.000006506, sequence: 17681 - clear  0.000000000, sequence: 0
source 0 - assert 1763361721.000007968, sequence: 17682 - clear  0.000000000, sequence: 0
source 0 - assert 1763361722.000004807, sequence: 17683 - clear  0.000000000, sequence: 0
source 0 - assert 1763361723.000005317, sequence: 17684 - clear  0.000000000, sequence: 0
source 0 - assert 1763361724.000008183, sequence: 17685 - clear  0.000000000, sequence: 0
source 0 - assert 1763361725.000001178, sequence: 17686 - clear  0.000000000, sequence: 0
source 0 - assert 1763361726.000006260, sequence: 17687 - clear  0.000000000, sequence: 0
source 0 - assert 1763361727.000005058, sequence: 17688 - clear  0.000000000, sequence: 0
source 0 - assert 1763361728.000002103, sequence: 17689 - clear  0.000000000, sequence: 0
source 0 - assert 1763361729.000007935, sequence: 17690 - clear  0.000000000, sequence: 0
source 0 - assert 1763361730.000006153, sequence: 17691 - clear  0.000000000, sequence: 0
source 0 - assert 1763361731.000001400, sequence: 17692 - clear  0.000000000, sequence: 0
source 0 - assert 1763361732.000003731, sequence: 17693 - clear  0.000000000, sequence: 0
source 0 - assert 1763361733.000003192, sequence: 17694 - clear  0.000000000, sequence: 0
source 0 - assert 1763361734.000008226, sequence: 17695 - clear  0.000000000, sequence: 0
source 0 - assert 1763361735.000007476, sequence: 17696 - clear  0.000000000, sequence: 0
source 0 - assert 1763361736.000004971, sequence: 17697 - clear  0.000000000, sequence: 0
source 0 - assert 1763361737.000004060, sequence: 17698 - clear  0.000000000, sequence: 0
source 0 - assert 1763361738.000009215, sequence: 17699 - clear  0.000000000, sequence: 0
source 0 - assert 1763361739.000006470, sequence: 17700 - clear  0.000000000, sequence: 0
source 0 - assert 1763361740.000001612, sequence: 17701 - clear  0.000000000, sequence: 0
source 0 - assert 1763361741.000007026, sequence: 17702 - clear  0.000000000, sequence: 0
source 0 - assert 1763361742.000004611, sequence: 17703 - clear  0.000000000, sequence: 0
source 0 - assert 1763361743.000009331, sequence: 17704 - clear  0.000000000, sequence: 0
source 0 - assert 1763361744.000007236, sequence: 17705 - clear  0.000000000, sequence: 0
source 0 - assert 1763361745.000007566, sequence: 17706 - clear  0.000000000, sequence: 0
source 0 - assert 1763361746.000006734, sequence: 17707 - clear  0.000000000, sequence: 0
source 0 - assert 1763361747.000006188, sequence: 17708 - clear  0.000000000, sequence: 0
source 0 - assert 1763361748.000004099, sequence: 17709 - clear  0.000000000, sequence: 0
source 0 - assert 1763361749.000006591, sequence: 17710 - clear  0.000000000, sequence: 0
source 0 - assert 1763361750.000009679, sequence: 17711 - clear  0.000000000, sequence: 0
