ptp4l[550478.577]: selected /dev/ptp0 as PTP clock
ptp4l[550478.582]: port 1 (eth0): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[550478.585]: port 0 (/var/run/ptp4l): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[550478.587]: port 0 (/var/run/ptp4lro): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[550478.630]: timeguard: registered, proxy_id=0xc120b44ebd8891ce

ptp4l[550478.631]: TG_CMD_SET_TIME InvokeCommand result: 0x0

ptp4l[550485.346]: port 1 (eth0): new foreign master 641c10.fffe.f12579-1
ptp4l[550485.636]: selected local clock 000000.fffe.049f06 as best master
ptp4l[550485.638]: TEE: InvokeCommand returned 0x0

ptp4l[550485.639]: TEE: InvokeCommand returned 0x0

ptp4l[550485.640]: TEE: DECIDE OK -> decided_state=4 (ps_out=4)

ptp4l[550489.365]: selected best master clock 641c10.fffe.f12579
ptp4l[550489.366]: TEE: InvokeCommand returned 0x0

ptp4l[550489.367]: TEE: InvokeCommand returned 0x0

ptp4l[550489.367]: TEE: DECIDE OK -> decided_state=9 (ps_out=9)

ptp4l[550489.368]: port 1 (eth0): LISTENING to UNCALIBRATED on RS_SLAVE
ptp4l[550492.365]: master offset   14999053 s0 freq  -81092 path delay   -999064
ptp4l[550493.367]: master offset   16999047 s1 freq +1914843 path delay   -999062
ptp4l[550494.354]: master offset   -1579514 s2 freq +335329 path delay   -999062
ptp4l[550494.356]: port 1 (eth0): UNCALIBRATED to SLAVE on MASTER_CLOCK_SELECTED
ptp4l[550495.344]: master offset   -4574280 s2 freq -3133292 path delay   -499064
ptp4l[550496.345]: master offset    3595527 s2 freq +3664231 path delay   -499064
ptp4l[550497.351]: master offset    7242846 s2 freq +8390208 path delay       934
ptp4l[550498.367]: master offset    9281924 s2 freq +12602140 path delay       934
ptp4l[550499.364]: master offset   -6248325 s2 freq -143532 path delay      8218
ptp4l[550500.349]: master offset   -6024413 s2 freq -1794117 path delay       934
ptp4l[550501.343]: master offset   -4060018 s2 freq -1637046 path delay    -47061
ptp4l[550502.347]: master offset    -494777 s2 freq +710190 path delay    -47061
ptp4l[550503.358]: master offset    7426995 s2 freq +8483529 path delay    -95056
ptp4l[550504.363]: master offset     794539 s2 freq +4079171 path delay      8218
ptp4l[550505.351]: master offset  -10212210 s2 freq -6689216 path delay    503433
ptp4l[550506.340]: master offset   -8808398 s2 freq -8349067 path delay   1011660
ptp4l[550507.342]: master offset    3765340 s2 freq +1582151 path delay    503433
ptp4l[550508.354]: master offset   13493225 s2 freq +12439638 path delay    448154
ptp4l[550509.376]: master offset   11696562 s2 freq +14690943 path delay   -252268
ptp4l[550510.367]: master offset   -8553928 s2 freq -2050579 path delay    290941
ptp4l[550511.342]: master offset  -16719713 s2 freq -12782542 path delay    290941
ptp4l[550512.335]: master offset    8995626 s2 freq +7916883 path delay    290941
ptp4l[550513.347]: master offset    2750045 s2 freq +4369990 path delay    290941
ptp4l[550514.370]: master offset   14854088 s2 freq +17299046 path delay  -1617003
ptp4l[550515.371]: master offset   -4238922 s2 freq +2662263 path delay  -1617003
ptp4l[550516.348]: master offset  -13185567 s2 freq -7556059 path delay  -1617003
ptp4l[550517.337]: master offset   -2327920 s2 freq -654082 path delay  -2825606
ptp4l[550518.343]: master offset    -357257 s2 freq +618205 path delay  -2825606
ptp4l[550519.354]: master offset     952868 s2 freq +1821153 path delay  -2825606
ptp4l[550520.355]: master offset     929294 s2 freq +2083439 path delay  -1947481
ptp4l[550521.359]: master offset     833232 s2 freq +2266166 path delay  -1947481
ptp4l[550522.358]: master offset     900779 s2 freq +2583682 path delay   -727516
ptp4l[550523.355]: master offset   -2411743 s2 freq -458606 path delay   -233236
