ptp4l[551214.064]: selected /dev/ptp0 as PTP clock
ptp4l[551214.076]: port 1 (eth0): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[551214.081]: port 0 (/var/run/ptp4l): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[551214.084]: port 0 (/var/run/ptp4lro): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[551214.131]: timeguard: registered, proxy_id=0x568bb524239282e7

ptp4l[551214.133]: TG_CMD_SET_TIME InvokeCommand result: 0x0

ptp4l[551220.454]: selected local clock 000000.fffe.049f06 as best master
ptp4l[551220.455]: TEE: InvokeCommand returned 0x0

ptp4l[551220.456]: TEE: InvokeCommand returned 0x0

ptp4l[551220.456]: TEE: DECIDE OK -> decided_state=4 (ps_out=4)

ptp4l[551221.072]: port 1 (eth0): new foreign master 641c10.fffe.f12579-1
ptp4l[551225.090]: selected best master clock 641c10.fffe.f12579
ptp4l[551225.091]: TEE: InvokeCommand returned 0x0

ptp4l[551225.093]: TEE: InvokeCommand returned 0x0

ptp4l[551225.094]: TEE: DECIDE OK -> decided_state=9 (ps_out=9)

ptp4l[551225.096]: port 1 (eth0): LISTENING to UNCALIBRATED on RS_SLAVE
ptp4l[551227.087]: master offset   10998281 s0 freq  -81092 path delay   -999045
ptp4l[551228.090]: master offset   12998240 s1 freq +1914527 path delay   -999045
ptp4l[551229.092]: master offset   -1018629 s2 freq +895898 path delay   -999045
ptp4l[551229.093]: port 1 (eth0): UNCALIBRATED to SLAVE on MASTER_CLOCK_SELECTED
ptp4l[551230.076]: master offset  -10008720 s2 freq -8399782 path delay   -999045
ptp4l[551231.063]: master offset   -3485579 s2 freq -4879257 path delay  -1423915
ptp4l[551232.071]: master offset    3466093 s2 freq +1026742 path delay  -1423915
ptp4l[551233.079]: master offset   12200278 s2 freq +10800755 path delay  -1340912
ptp4l[551234.092]: master offset   12042805 s2 freq +14303365 path delay  -1340912
ptp4l[551235.094]: master offset   -4413970 s2 freq +1459431 path delay  -1128477
ptp4l[551236.071]: master offset  -12935735 s2 freq -8386525 path delay   -298912
ptp4l[551237.065]: master offset   -4119092 s2 freq -3450602 path delay   -298912
ptp4l[551238.080]: master offset   21914673 s2 freq +21347435 path delay   -999045
ptp4l[551239.102]: master offset    9193932 s2 freq +15201096 path delay  -1128477
ptp4l[551240.096]: master offset  -15310794 s2 freq -6545450 path delay   -428344
ptp4l[551241.065]: master offset  -10599517 s2 freq -6427411 path delay    -30934
ptp4l[551242.064]: master offset    5395578 s2 freq +6387829 path delay    -30934
ptp4l[551243.081]: master offset    2157650 s2 freq +4768574 path delay    -95974
ptp4l[551244.083]: master offset     871349 s2 freq +4129568 path delay    -95974
ptp4l[551245.082]: master offset   -1489996 s2 freq +2029628 path delay   -170621
ptp4l[551246.078]: master offset   -4626690 s2 freq -1554065 path delay   -170621
ptp4l[551247.074]: master offset   -3366888 s2 freq -1682270 path delay   -279712
ptp4l[551248.076]: master offset    3476292 s2 freq +4150843 path delay   -416465
