ptp4l[555597.481]: selected /dev/ptp0 as PTP clock
ptp4l[555597.487]: port 1 (eth0): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[555597.490]: port 0 (/var/run/ptp4l): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[555597.493]: port 0 (/var/run/ptp4lro): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[555597.537]: timeguard: registered, proxy_id=0x8a8f24203eb0dd10

ptp4l[555597.539]: TG_CMD_SET_TIME InvokeCommand result: 0x0

ptp4l[555604.581]: port 1 (eth0): new foreign master 641c10.fffe.f12579-1
ptp4l[555604.786]: selected local clock 000000.fffe.049f06 as best master
ptp4l[555604.788]: TEE: InvokeCommand returned 0x0

ptp4l[555604.790]: TEE: InvokeCommand returned 0x0

ptp4l[555604.791]: TEE: DECIDE OK -> decided_state=4 (ps_out=4)

ptp4l[555608.595]: selected best master clock 641c10.fffe.f12579
ptp4l[555608.597]: TEE: InvokeCommand returned 0x0

ptp4l[555608.598]: TEE: InvokeCommand returned 0x0

ptp4l[555608.599]: TEE: DECIDE OK -> decided_state=9 (ps_out=9)

ptp4l[555608.601]: port 1 (eth0): LISTENING to UNCALIBRATED on RS_SLAVE
ptp4l[555610.597]: master offset   12001549 s0 freq  -81343 path delay       921
ptp4l[555611.599]: master offset   12001587 s1 freq  -81305 path delay       921
ptp4l[555612.598]: master offset    3999990 s2 freq +3918685 path delay       921
ptp4l[555612.600]: port 1 (eth0): UNCALIBRATED to SLAVE on MASTER_CLOCK_SELECTED
ptp4l[555613.590]: master offset     -83376 s2 freq +1035316 path delay       921
ptp4l[555614.584]: master offset    3040048 s2 freq +4133727 path delay   -247858
ptp4l[555615.587]: master offset   -1184957 s2 freq +820737 path delay   -247858
ptp4l[555616.583]: master offset    3770868 s2 freq +5421075 path delay   -496638
ptp4l[555617.589]: master offset   -1958753 s2 freq +822714 path delay   -247858
ptp4l[555618.586]: master offset   -3570053 s2 freq -1376212 path delay   -247858
ptp4l[555619.583]: master offset   -1101730 s2 freq  +21095 path delay   -496638
ptp4l[555620.585]: master offset    5858817 s2 freq +6651123 path delay   -564129
ptp4l[555621.591]: master offset    9268193 s2 freq +11818144 path delay   -748713
ptp4l[555622.598]: master offset   -3365664 s2 freq +1964745 path delay   -656421
ptp4l[555623.587]: master offset   -2912039 s2 freq +1408671 path delay   -656421
ptp4l[555624.582]: master offset   -2583865 s2 freq +863233 path delay   -490934
ptp4l[555625.584]: master offset   -3537518 s2 freq -865579 path delay   -490934
ptp4l[555626.582]: master offset    8396619 s2 freq +10007302 path delay   -948148
ptp4l[555627.592]: master offset   -2018485 s2 freq +2111184 path delay   -948148
ptp4l[555628.589]: master offset   -2284420 s2 freq +1239704 path delay   -945463
ptp4l[555629.584]: master offset   -7138210 s2 freq -4299412 path delay   -488249
ptp4l[555630.581]: master offset   -2951050 s2 freq -2253715 path delay   -488249
ptp4l[555631.585]: master offset    7961728 s2 freq +7773748 path delay   -488249
ptp4l[555632.594]: master offset    3461154 s2 freq +5661692 path delay     -9729
ptp4l[555633.595]: master offset   -2318512 s2 freq +920372 path delay     -9729
ptp4l[555634.591]: master offset    1115270 s2 freq +3658601 path delay   -488249
