ptp4l[556381.723]: selected /dev/ptp0 as PTP clock
ptp4l[556381.730]: port 1 (eth0): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[556381.733]: port 0 (/var/run/ptp4l): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[556381.735]: port 0 (/var/run/ptp4lro): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[556381.780]: timeguard: registered, proxy_id=0x93ca2fff0a8f50a9

ptp4l[556381.781]: TG_CMD_SET_TIME InvokeCommand result: 0x0

ptp4l[556388.248]: port 1 (eth0): new foreign master 641c10.fffe.f12579-1
ptp4l[556389.481]: selected local clock 000000.fffe.049f06 as best master
ptp4l[556389.482]: TEE: InvokeCommand returned 0x0

ptp4l[556389.484]: TEE: InvokeCommand returned 0x0

ptp4l[556389.485]: TEE: DECIDE OK -> decided_state=4 (ps_out=4)

ptp4l[556392.267]: selected best master clock 641c10.fffe.f12579
ptp4l[556392.268]: TEE: InvokeCommand returned 0x0

ptp4l[556392.270]: TEE: InvokeCommand returned 0x0

ptp4l[556392.270]: TEE: DECIDE OK -> decided_state=9 (ps_out=9)

ptp4l[556392.272]: port 1 (eth0): LISTENING to UNCALIBRATED on RS_SLAVE
ptp4l[556394.263]: master offset   12998032 s0 freq  -81209 path delay   -999051
ptp4l[556395.266]: master offset   12498011 s1 freq -581140 path delay   -499057
ptp4l[556396.261]: master offset    2495975 s2 freq +1914835 path delay   -499057
ptp4l[556396.263]: port 1 (eth0): UNCALIBRATED to SLAVE on MASTER_CLOCK_SELECTED
ptp4l[556397.255]: master offset    2511519 s2 freq +2679172 path delay   -499057
ptp4l[556398.256]: master offset    1945570 s2 freq +2866678 path delay   -725622
ptp4l[556399.254]: master offset    3721274 s2 freq +5226053 path delay   -362342
ptp4l[556400.256]: master offset   -1776245 s2 freq +844916 path delay   -362342
ptp4l[556401.251]: master offset   -3393671 s2 freq -1305383 path delay       937
ptp4l[556402.252]: master offset     187962 s2 freq +1258149 path delay   -362342
ptp4l[556403.256]: master offset    7735534 s2 freq +8862109 path delay   -725622
ptp4l[556404.258]: master offset   -4374832 s2 freq -927597 path delay   -362342
ptp4l[556405.253]: master offset   -1597504 s2 freq +537282 path delay   -362342
ptp4l[556406.252]: master offset   -3256059 s2 freq -1600524 path delay       937
ptp4l[556407.252]: master offset    6067872 s2 freq +6746589 path delay   -362342
ptp4l[556408.259]: master offset    -884047 s2 freq +1615032 path delay   -362342
ptp4l[556409.251]: master offset   -1076028 s2 freq +1157836 path delay     53860
ptp4l[556410.256]: master offset   -2327664 s2 freq -416608 path delay     53860
ptp4l[556411.256]: master offset      -8311 s2 freq +1204446 path delay     53860
ptp4l[556412.257]: master offset    3194823 s2 freq +4405087 path delay   -554693
ptp4l[556413.258]: master offset     264505 s2 freq +2433215 path delay   -554693
ptp4l[556414.256]: master offset   -3619756 s2 freq -1371694 path delay    331855
ptp4l[556415.253]: master offset   -2792221 s2 freq -1630086 path delay     67673
ptp4l[556416.255]: master offset     769351 s2 freq +1093820 path delay     67673
ptp4l[556417.256]: master offset    1741718 s2 freq +2296992 path delay    -56484
ptp4l[556418.258]: master offset    3254922 s2 freq +4332712 path delay     44381
ptp4l[556419.258]: master offset   -3237423 s2 freq -1183157 path delay    108358
ptp4l[556420.255]: master offset   -1362759 s2 freq -279720 path delay    -15799
ptp4l[556421.258]: master offset     843551 s2 freq +1517763 path delay    -15799
ptp4l[556422.260]: master offset    4414106 s2 freq +5341383 path delay    -15799
ptp4l[556423.262]: master offset     807546 s2 freq +3059055 path delay    108358
ptp4l[556424.261]: master offset    1311792 s2 freq +3805564 path delay     24710
ptp4l[556425.257]: master offset   -4226630 s2 freq -1339320 path delay    128818
ptp4l[556426.257]: master offset   -3004829 s2 freq -1385508 path delay    128818
ptp4l[556427.254]: master offset     302235 s2 freq +1020107 path delay    128818
ptp4l[556428.257]: master offset    1215846 s2 freq +2024389 path delay    128818
ptp4l[556429.259]: master offset    1154210 s2 freq +2327507 path delay     68461
ptp4l[556430.260]: master offset    1204130 s2 freq +2723690 path delay    -41318
ptp4l[556431.255]: master offset   -1902742 s2 freq  -21943 path delay    209675
ptp4l[556432.257]: master offset   -2119198 s2 freq -809222 path delay    209675
ptp4l[556433.256]: master offset     708678 s2 freq +1382895 path delay    105567
ptp4l[556434.261]: master offset    1819490 s2 freq +2706310 path delay   -458374
ptp4l[556435.260]: master offset    3789262 s2 freq +5221929 path delay   -884657
ptp4l[556436.260]: master offset   -1708055 s2 freq +861391 path delay   -884657
ptp4l[556437.258]: master offset   -2711982 s2 freq -654953 path delay   -829317
ptp4l[556438.257]: master offset     -34001 s2 freq +1209434 path delay   -942144
ptp4l[556439.257]: master offset     706297 s2 freq +1939531 path delay   -942144
ptp4l[556440.261]: master offset     676817 s2 freq +2121940 path delay   -942144
ptp4l[556441.260]: master offset     337029 s2 freq +1985197 path delay   -836984
ptp4l[556442.259]: master offset    2136308 s2 freq +3885585 path delay   -734714
ptp4l[556443.259]: master offset   -1837616 s2 freq +552554 path delay   -734714
ptp4l[556444.258]: master offset    -497988 s2 freq +1340897 path delay   -734714
ptp4l[556445.259]: master offset      82512 s2 freq +1772000 path delay   -734714
ptp4l[556446.262]: master offset     179556 s2 freq +1893798 path delay   -695450
ptp4l[556447.260]: master offset     205305 s2 freq +1973414 path delay   -695450
ptp4l[556448.260]: master offset     140571 s2 freq +1970271 path delay   -695450
ptp4l[556449.260]: master offset    2046799 s2 freq +3918671 path delay   -667079
ptp4l[556450.260]: master offset   -2159325 s2 freq +326586 path delay   -560961
ptp4l[556451.260]: master offset    -596066 s2 freq +1242048 path delay   -560961
ptp4l[556452.260]: master offset     111976 s2 freq +1771270 path delay   -592799
ptp4l[556453.261]: master offset    2117197 s2 freq +3810084 path delay   -343997
ptp4l[556454.261]: master offset   -3763880 s2 freq -1435834 path delay   -142750
ptp4l[556455.260]: master offset    -187910 s2 freq +1010972 path delay   -404806
ptp4l[556456.260]: master offset    2986368 s2 freq +4128877 path delay   -362402
ptp4l[556457.258]: master offset   -1238866 s2 freq +799553 path delay   -362402
