ptp4l[557184.124]: selected /dev/ptp0 as PTP clock
ptp4l[557184.134]: port 1 (eth0): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[557184.138]: port 0 (/var/run/ptp4l): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[557184.143]: port 0 (/var/run/ptp4lro): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[557184.192]: timeguard: registered, proxy_id=0xf7bf961cc9322461

ptp4l[557184.194]: TG_CMD_SET_TIME InvokeCommand result: 0x0

ptp4l[557190.684]: port 1 (eth0): new foreign master 641c10.fffe.f12579-1
ptp4l[557191.514]: selected local clock 000000.fffe.049f06 as best master
ptp4l[557191.515]: TEE: InvokeCommand returned 0x0

ptp4l[557191.517]: TEE: InvokeCommand returned 0x0

ptp4l[557191.517]: TEE: DECIDE OK -> decided_state=4 (ps_out=4)

ptp4l[557194.700]: selected best master clock 641c10.fffe.f12579
ptp4l[557194.701]: TEE: InvokeCommand returned 0x0

ptp4l[557194.703]: TEE: InvokeCommand returned 0x0

ptp4l[557194.704]: TEE: DECIDE OK -> decided_state=9 (ps_out=9)

ptp4l[557194.706]: port 1 (eth0): LISTENING to UNCALIBRATED on RS_SLAVE
ptp4l[557196.701]: master offset   13001888 s0 freq  -81186 path delay   -999072
ptp4l[557197.701]: master offset   13001909 s1 freq  -81165 path delay   -999072
ptp4l[557198.695]: master offset   -6000035 s2 freq -6081200 path delay   -999072
ptp4l[557198.698]: port 1 (eth0): UNCALIBRATED to SLAVE on MASTER_CLOCK_SELECTED
ptp4l[557199.686]: master offset   -4692322 s2 freq -6573498 path delay  -1299545
ptp4l[557200.682]: master offset    1803414 s2 freq -1485458 path delay  -1299545
ptp4l[557201.686]: master offset   17192735 s2 freq +14444887 path delay  -3089913
ptp4l[557202.698]: master offset    1543729 s2 freq +3953701 path delay  -3089913
ptp4l[557203.694]: master offset  -10170183 s2 freq -7297092 path delay  -1299545
ptp4l[557204.686]: master offset   -1021487 s2 freq -1199451 path delay  -1265314
ptp4l[557205.683]: master offset     652727 s2 freq +168317 path delay  -1265314
ptp4l[557206.688]: master offset    4414007 s2 freq +4125415 path delay  -1265314
ptp4l[557207.694]: master offset     194997 s2 freq +1230607 path delay  -1265314
ptp4l[557208.688]: master offset   -2246531 s2 freq -1152422 path delay  -1132193
ptp4l[557209.686]: master offset     793554 s2 freq +1213704 path delay  -1114746
ptp4l[557210.689]: master offset    -495047 s2 freq +163169 path delay  -1114746
ptp4l[557211.689]: master offset    4639526 s2 freq +5149228 path delay  -1084983
ptp4l[557212.694]: master offset    -614701 s2 freq +1286859 path delay  -1084983
ptp4l[557213.689]: master offset   -2924651 s2 freq -1207501 path delay   -512559
ptp4l[557214.688]: master offset     -23642 s2 freq +816112 path delay   -300005
ptp4l[557215.691]: master offset    -905777 s2 freq  -73115 path delay   -300005
ptp4l[557216.691]: master offset    3675855 s2 freq +4236784 path delay   -300005
ptp4l[557217.692]: master offset    1073625 s2 freq +2737310 path delay    -54910
ptp4l[557218.694]: master offset    -215579 s2 freq +1770194 path delay    362975
ptp4l[557219.690]: master offset   -2493929 s2 freq -572830 path delay    362975
ptp4l[557220.691]: master offset   -2019951 s2 freq -847031 path delay    362975
ptp4l[557221.687]: master offset     746445 s2 freq +1313380 path delay    362975
ptp4l[557222.695]: master offset    3530839 s2 freq +4321707 path delay    362975
ptp4l[557223.697]: master offset    -680443 s2 freq +1169677 path delay    362975
ptp4l[557224.697]: master offset   -1727723 s2 freq  -81736 path delay    125286
ptp4l[557225.691]: master offset    1702377 s2 freq +2830047 path delay    125286
ptp4l[557226.691]: master offset   -1089684 s2 freq +548699 path delay    412602
ptp4l[557227.693]: master offset   -1739419 s2 freq -427941 path delay    412602
ptp4l[557228.693]: master offset    4242036 s2 freq +5031689 path delay    143883
ptp4l[557229.695]: master offset   -1003334 s2 freq +1058929 path delay    143883
ptp4l[557230.693]: master offset      24966 s2 freq +1786229 path delay     34298
ptp4l[557231.692]: master offset      28442 s2 freq +1797195 path delay    143883
ptp4l[557232.693]: master offset     135587 s2 freq +1912873 path delay    143883
ptp4l[557233.693]: master offset   -1856465 s2 freq  -38503 path delay    143883
ptp4l[557234.693]: master offset    2174067 s2 freq +3435089 path delay   -126169
ptp4l[557235.695]: master offset   -2062283 s2 freq -149041 path delay   -124876
ptp4l[557236.695]: master offset   -2022621 s2 freq -728064 path delay   -124876
ptp4l[557237.691]: master offset     130381 s2 freq +818152 path delay     48164
ptp4l[557238.694]: master offset    -761034 s2 freq  -34149 path delay     48164
ptp4l[557239.694]: master offset    3480329 s2 freq +3978904 path delay     48164
ptp4l[557240.695]: master offset    1397598 s2 freq +2940272 path delay     48164
ptp4l[557241.695]: master offset   -3130658 s2 freq -1168705 path delay     48164
ptp4l[557242.695]: master offset     -63889 s2 freq +958867 path delay     48164
ptp4l[557243.694]: master offset   -1085005 s2 freq  -81416 path delay     48164
ptp4l[557244.696]: master offset    5578219 s2 freq +6256307 path delay   -141515
ptp4l[557245.698]: master offset   -1029689 s2 freq +1321864 path delay   -141515
ptp4l[557246.697]: master offset    -482530 s2 freq +1560117 path delay   -141515
ptp4l[557247.699]: master offset     331802 s2 freq +2229690 path delay   -597809
ptp4l[557248.697]: master offset    1609507 s2 freq +3606935 path delay   -373093
ptp4l[557249.696]: master offset   -2137067 s2 freq +343213 path delay   -373093
ptp4l[557250.694]: master offset     -27805 s2 freq +1811355 path delay   -691231
ptp4l[557251.696]: master offset   -1909791 s2 freq  -78972 path delay   -691231
ptp4l[557252.694]: master offset    2706144 s2 freq +3964025 path delay   -956225
ptp4l[557253.695]: master offset   -1376264 s2 freq +693461 path delay   -956225
ptp4l[557254.696]: master offset     751239 s2 freq +2408084 path delay   -915946
ptp4l[557255.696]: master offset   -1767903 s2 freq +114314 path delay   -915946
ptp4l[557256.695]: master offset      18202 s2 freq +1370048 path delay   -915946
ptp4l[557257.698]: master offset    2525681 s2 freq +3882988 path delay   -868223
ptp4l[557258.697]: master offset   -1423356 s2 freq +691655 path delay   -868223
ptp4l[557259.696]: master offset   -1161977 s2 freq +526027 path delay   -911766
ptp4l[557260.695]: master offset     228043 s2 freq +1567454 path delay   -911766
ptp4l[557261.693]: master offset    1605083 s2 freq +3012907 path delay   -911766
ptp4l[557262.697]: master offset   -1519396 s2 freq +369953 path delay   -911766
ptp4l[557263.700]: master offset    2009277 s2 freq +3442807 path delay   -913063
ptp4l[557264.697]: master offset     442505 s2 freq +2478818 path delay   -869520
ptp4l[557265.697]: master offset   -2218568 s2 freq  -49503 path delay   -797621
ptp4l[557266.696]: master offset    -270183 s2 freq +1233311 path delay   -797621
ptp4l[557267.699]: master offset     493333 s2 freq +1915773 path delay   -869700
ptp4l[557268.698]: master offset    2390262 s2 freq +3960701 path delay   -764531
ptp4l[557269.699]: master offset    -870270 s2 freq +1417248 path delay    398968
ptp4l[557270.698]: master offset   -2233626 s2 freq -207189 path delay    240250
ptp4l[557271.693]: master offset    2018729 s2 freq +3375078 path delay    101547
ptp4l[557272.698]: master offset     225251 s2 freq +2187219 path delay    447756
ptp4l[557273.701]: master offset   -2058334 s2 freq  -28791 path delay    447756
ptp4l[557274.700]: master offset    1605811 s2 freq +3017854 path delay    447756
ptp4l[557275.703]: master offset     449666 s2 freq +2343452 path delay    496447
ptp4l[557276.698]: master offset   -1794802 s2 freq +233884 path delay    571921
ptp4l[557277.698]: master offset   -2125858 s2 freq -635612 path delay    571921
ptp4l[557278.699]: master offset    4588750 s2 freq +5441238 path delay    289039
ptp4l[557279.701]: master offset   -1124208 s2 freq +1104905 path delay    289039
ptp4l[557280.703]: master offset    2751906 s2 freq +4643757 path delay   -809938
ptp4l[557281.702]: master offset   -2107187 s2 freq +610236 path delay   -809938
ptp4l[557282.699]: master offset   -1441800 s2 freq +643466 path delay   -833151
ptp4l[557283.699]: master offset    -242857 s2 freq +1409869 path delay   -757488
ptp4l[557284.700]: master offset    -139036 s2 freq +1440833 path delay   -357112
ptp4l[557285.700]: master offset    -167523 s2 freq +1370636 path delay     31595
ptp4l[557286.701]: master offset   -1623035 s2 freq -135133 path delay     31595
ptp4l[557287.700]: master offset     419352 s2 freq +1420343 path delay     31595
ptp4l[557288.703]: master offset    3236850 s2 freq +4363647 path delay   -275922
ptp4l[557289.704]: master offset   -1592572 s2 freq +505280 path delay     31595
ptp4l[557290.703]: master offset    -211379 s2 freq +1408701 path delay     31595
ptp4l[557291.702]: master offset     294091 s2 freq +1850757 path delay     31595
ptp4l[557292.704]: master offset     655158 s2 freq +2300052 path delay   -273107
ptp4l[557293.703]: master offset    2493536 s2 freq +4334977 path delay   -503752
ptp4l[557294.703]: master offset   -2035657 s2 freq +553845 path delay   -503752
ptp4l[557295.701]: master offset    -519461 s2 freq +1459344 path delay   -636275
ptp4l[557296.700]: master offset    -242249 s2 freq +1580718 path delay   -636275
ptp4l[557297.700]: master offset   -1905230 s2 freq -154938 path delay   -636275
ptp4l[557298.701]: master offset    1008448 s2 freq +2187171 path delay   -781911
ptp4l[557299.699]: master offset    2732487 s2 freq +4213744 path delay   -559403
ptp4l[557300.704]: master offset   -2960131 s2 freq -659128 path delay   -385162
ptp4l[557301.702]: master offset   -2417627 s2 freq -1004663 path delay   -385162
ptp4l[557302.701]: master offset    3608692 s2 freq +4296368 path delay   -385162
ptp4l[557303.704]: master offset    -742295 s2 freq +1027989 path delay   -385162
ptp4l[557304.704]: master offset    1904125 s2 freq +3451720 path delay   -385162
ptp4l[557305.704]: master offset    -143009 s2 freq +1975824 path delay    126278
ptp4l[557306.705]: master offset    -109816 s2 freq +1966114 path delay     15729
ptp4l[557307.706]: master offset    -850693 s2 freq +1192292 path delay    402835
ptp4l[557308.699]: master offset   -2141818 s2 freq -354041 path delay    402835
ptp4l[557309.706]: master offset    3521117 s2 freq +4666349 path delay    267092
ptp4l[557310.708]: master offset     673731 s2 freq +2875298 path delay    267092
ptp4l[557311.709]: master offset   -2329470 s2 freq  +74216 path delay    267092
ptp4l[557312.705]: master offset   -1098547 s2 freq +606298 path delay    267092
ptp4l[557313.705]: master offset    2473210 s2 freq +3848491 path delay    267092
ptp4l[557314.706]: master offset   -1487541 s2 freq +629703 path delay    267092
ptp4l[557315.707]: master offset    2612129 s2 freq +4283111 path delay   -571963
ptp4l[557316.709]: master offset   -1750693 s2 freq +703927 path delay   -571963
ptp4l[557317.703]: master offset   -4764587 s2 freq -2835174 path delay   -571963
ptp4l[557318.701]: master offset    4629816 s2 freq +5129852 path delay   -703246
ptp4l[557319.706]: master offset    1401831 s2 freq +3290812 path delay   -703246
ptp4l[557320.708]: master offset   -2072976 s2 freq +236555 path delay   -703246
ptp4l[557321.706]: master offset    -337660 s2 freq +1349978 path delay   -781905
ptp4l[557322.706]: master offset    2152400 s2 freq +3738740 path delay   -703246
ptp4l[557323.706]: master offset   -1697492 s2 freq +534568 path delay   -703246
ptp4l[557324.707]: master offset    1737228 s2 freq +3460040 path delay   -781905
ptp4l[557325.707]: master offset   -2949591 s2 freq -705610 path delay   -674087
ptp4l[557326.705]: master offset   -2358308 s2 freq -999205 path delay   -674087
ptp4l[557327.704]: master offset    4422465 s2 freq +5074076 path delay   -687336
