trying PPS source "/dev/pps0"
found PPS source "/dev/pps0"
ok, found 1 source(s), now start fetching data...
source 0 - assert 1763353370.000023634, sequence: 94276 - clear  0.000000000, sequence: 0
source 0 - assert 1763353371.002025995, sequence: 94277 - clear  0.000000000, sequence: 0
source 0 - assert 1763353372.004628412, sequence: 94278 - clear  0.000000000, sequence: 0
source 0 - assert 1763353373.007233676, sequence: 94279 - clear  0.000000000, sequence: 0
source 0 - assert 1763353374.009660085, sequence: 94280 - clear  0.000000000, sequence: 0
source 0 - assert 1763353375.011903884, sequence: 94281 - clear  0.000000000, sequence: 0
source 0 - assert 1763353376.014021426, sequence: 94282 - clear  0.000000000, sequence: 0
source 0 - assert 1763353377.016188412, sequence: 94283 - clear  0.000000000, sequence: 0
source 0 - assert 1763353378.002840733, sequence: 94284 - clear  0.000000000, sequence: 0
source 0 - assert 1763353378.993822438, sequence: 94285 - clear  0.000000000, sequence: 0
source 0 - assert 1763353379.996134327, sequence: 94286 - clear  0.000000000, sequence: 0
source 0 - assert 1763353381.007377690, sequence: 94287 - clear  0.000000000, sequence: 0
source 0 - assert 1763353382.031566313, sequence: 94288 - clear  0.000000000, sequence: 0
source 0 - assert 1763353383.034713442, sequence: 94289 - clear  0.000000000, sequence: 0
source 0 - assert 1763353384.020272718, sequence: 94290 - clear  0.000000000, sequence: 0
source 0 - assert 1763353385.014985816, sequence: 94291 - clear  0.000000000, sequence: 0
source 0 - assert 1763353386.017792621, sequence: 94292 - clear  0.000000000, sequence: 0
source 0 - assert 1763353387.032270115, sequence: 94293 - clear  0.000000000, sequence: 0
source 0 - assert 1763353388.043295707, sequence: 94294 - clear  0.000000000, sequence: 0
source 0 - assert 1763353389.030931969, sequence: 94295 - clear  0.000000000, sequence: 0
source 0 - assert 1763353390.012489008, sequence: 94296 - clear  0.000000000, sequence: 0
source 0 - assert 1763353391.013104108, sequence: 94297 - clear  0.000000000, sequence: 0
source 0 - assert 1763353392.030826985, sequence: 94298 - clear  0.000000000, sequence: 0
source 0 - assert 1763353393.062296565, sequence: 94299 - clear  0.000000000, sequence: 0
source 0 - assert 1763353394.058768002, sequence: 94300 - clear  0.000000000, sequence: 0
source 0 - assert 1763353395.027990812, sequence: 94301 - clear  0.000000000, sequence: 0
source 0 - assert 1763353396.019901903, sequence: 94302 - clear  0.000000000, sequence: 0
source 0 - assert 1763353397.049261940, sequence: 94303 - clear  0.000000000, sequence: 0
source 0 - assert 1763353398.070586922, sequence: 94304 - clear  0.000000000, sequence: 0
source 0 - assert 1763353399.079444110, sequence: 94305 - clear  0.000000000, sequence: 0
source 0 - assert 1763353400.054509105, sequence: 94306 - clear  0.000000000, sequence: 0
source 0 - assert 1763353401.043120340, sequence: 94307 - clear  0.000000000, sequence: 0
source 0 - assert 1763353402.051828870, sequence: 94308 - clear  0.000000000, sequence: 0
source 0 - assert 1763353403.059469905, sequence: 94309 - clear  0.000000000, sequence: 0
source 0 - assert 1763353404.065479439, sequence: 94310 - clear  0.000000000, sequence: 0
source 0 - assert 1763353405.068653995, sequence: 94311 - clear  0.000000000, sequence: 0
source 0 - assert 1763353406.070172545, sequence: 94312 - clear  0.000000000, sequence: 0
source 0 - assert 1763353407.070545294, sequence: 94313 - clear  0.000000000, sequence: 0
source 0 - assert 1763353408.068772321, sequence: 94314 - clear  0.000000000, sequence: 0
