trying PPS source "/dev/pps0"
found PPS source "/dev/pps0"
ok, found 1 source(s), now start fetching data...
source 0 - assert 1763354108.000008275, sequence: 95008 - clear  0.000000000, sequence: 0
source 0 - assert 1763354109.001475640, sequence: 95009 - clear  0.000000000, sequence: 0
source 0 - assert 1763354110.003919836, sequence: 95010 - clear  0.000000000, sequence: 0
source 0 - assert 1763354111.006525603, sequence: 95011 - clear  0.000000000, sequence: 0
source 0 - assert 1763354112.009005597, sequence: 95012 - clear  0.000000000, sequence: 0
source 0 - assert 1763354113.011294100, sequence: 95013 - clear  0.000000000, sequence: 0
source 0 - assert 1763354114.014896716, sequence: 95014 - clear  0.000000000, sequence: 0
source 0 - assert 1763354115.006277776, sequence: 95015 - clear  0.000000000, sequence: 0
source 0 - assert 1763354115.986568700, sequence: 95016 - clear  0.000000000, sequence: 0
source 0 - assert 1763354116.980299881, sequence: 95017 - clear  0.000000000, sequence: 0
source 0 - assert 1763354117.989209088, sequence: 95018 - clear  0.000000000, sequence: 0
source 0 - assert 1763354119.008262261, sequence: 95019 - clear  0.000000000, sequence: 0
source 0 - assert 1763354120.027582873, sequence: 95020 - clear  0.000000000, sequence: 0
source 0 - assert 1763354121.020914893, sequence: 95021 - clear  0.000000000, sequence: 0
source 0 - assert 1763354122.000416970, sequence: 95022 - clear  0.000000000, sequence: 0
source 0 - assert 1763354123.004584058, sequence: 95023 - clear  0.000000000, sequence: 0
source 0 - assert 1763354124.042589100, sequence: 95024 - clear  0.000000000, sequence: 0
source 0 - assert 1763354125.060759181, sequence: 95025 - clear  0.000000000, sequence: 0
source 0 - assert 1763354126.036242468, sequence: 95026 - clear  0.000000000, sequence: 0
source 0 - assert 1763354127.021812417, sequence: 95027 - clear  0.000000000, sequence: 0
source 0 - assert 1763354128.037912229, sequence: 95028 - clear  0.000000000, sequence: 0
source 0 - assert 1763354129.048527663, sequence: 95029 - clear  0.000000000, sequence: 0
source 0 - assert 1763354130.052277008, sequence: 95030 - clear  0.000000000, sequence: 0
source 0 - assert 1763354131.051971729, sequence: 95031 - clear  0.000000000, sequence: 0
source 0 - assert 1763354132.047157136, sequence: 95032 - clear  0.000000000, sequence: 0
source 0 - assert 1763354133.046115228, sequence: 95033 - clear  0.000000000, sequence: 0
source 0 - assert 1763354134.055516168, sequence: 95034 - clear  0.000000000, sequence: 0
source 0 - assert 1763354135.059208268, sequence: 95035 - clear  0.000000000, sequence: 0
source 0 - assert 1763354136.055774004, sequence: 95036 - clear  0.000000000, sequence: 0
source 0 - assert 1763354137.051366676, sequence: 95037 - clear  0.000000000, sequence: 0
source 0 - assert 1763354138.052739762, sequence: 95038 - clear  0.000000000, sequence: 0
source 0 - assert 1763354139.056278160, sequence: 95039 - clear  0.000000000, sequence: 0
source 0 - assert 1763354140.067431877, sequence: 95040 - clear  0.000000000, sequence: 0
source 0 - assert 1763354141.079679476, sequence: 95041 - clear  0.000000000, sequence: 0
source 0 - assert 1763354142.076527247, sequence: 95042 - clear  0.000000000, sequence: 0
source 0 - assert 1763354143.072032765, sequence: 95043 - clear  0.000000000, sequence: 0
source 0 - assert 1763354144.069330521, sequence: 95044 - clear  0.000000000, sequence: 0
source 0 - assert 1763354145.074998006, sequence: 95045 - clear  0.000000000, sequence: 0
source 0 - assert 1763354146.080493753, sequence: 95046 - clear  0.000000000, sequence: 0
source 0 - assert 1763354147.082366180, sequence: 95047 - clear  0.000000000, sequence: 0
source 0 - assert 1763354148.084717049, sequence: 95048 - clear  0.000000000, sequence: 0
source 0 - assert 1763354149.085070371, sequence: 95049 - clear  0.000000000, sequence: 0
source 0 - assert 1763354150.087883098, sequence: 95050 - clear  0.000000000, sequence: 0
source 0 - assert 1763354151.089261439, sequence: 95051 - clear  0.000000000, sequence: 0
source 0 - assert 1763354152.091559264, sequence: 95052 - clear  0.000000000, sequence: 0
source 0 - assert 1763354153.095221364, sequence: 95053 - clear  0.000000000, sequence: 0
source 0 - assert 1763354154.097476513, sequence: 95054 - clear  0.000000000, sequence: 0
source 0 - assert 1763354155.099537594, sequence: 95055 - clear  0.000000000, sequence: 0
source 0 - assert 1763354156.099933577, sequence: 95056 - clear  0.000000000, sequence: 0
source 0 - assert 1763354157.102407751, sequence: 95057 - clear  0.000000000, sequence: 0
source 0 - assert 1763354158.106349328, sequence: 95058 - clear  0.000000000, sequence: 0
source 0 - assert 1763354159.108186970, sequence: 95059 - clear  0.000000000, sequence: 0
source 0 - assert 1763354160.108546053, sequence: 95060 - clear  0.000000000, sequence: 0
