trying PPS source "/dev/pps0"
found PPS source "/dev/pps0"
ok, found 1 source(s), now start fetching data...
source 0 - assert 1763358485.000011431, sequence: 99382 - clear  0.000000000, sequence: 0
source 0 - assert 1763358486.001393161, sequence: 99383 - clear  0.000000000, sequence: 0
source 0 - assert 1763358487.003810730, sequence: 99384 - clear  0.000000000, sequence: 0
source 0 - assert 1763358488.006417412, sequence: 99385 - clear  0.000000000, sequence: 0
source 0 - assert 1763358489.010292135, sequence: 99386 - clear  0.000000000, sequence: 0
source 0 - assert 1763358490.013620474, sequence: 99387 - clear  0.000000000, sequence: 0
source 0 - assert 1763358491.014554584, sequence: 99388 - clear  0.000000000, sequence: 0
source 0 - assert 1763358492.010812775, sequence: 99389 - clear  0.000000000, sequence: 0
source 0 - assert 1763358493.005841710, sequence: 99390 - clear  0.000000000, sequence: 0
source 0 - assert 1763358494.007393915, sequence: 99391 - clear  0.000000000, sequence: 0
source 0 - assert 1763358495.008086691, sequence: 99392 - clear  0.000000000, sequence: 0
source 0 - assert 1763358496.013734533, sequence: 99393 - clear  0.000000000, sequence: 0
source 0 - assert 1763358497.015547414, sequence: 99394 - clear  0.000000000, sequence: 0
source 0 - assert 1763358498.012138023, sequence: 99395 - clear  0.000000000, sequence: 0
source 0 - assert 1763358499.011776829, sequence: 99396 - clear  0.000000000, sequence: 0
source 0 - assert 1763358500.022026329, sequence: 99397 - clear  0.000000000, sequence: 0
source 0 - assert 1763358501.039581412, sequence: 99398 - clear  0.000000000, sequence: 0
source 0 - assert 1763358502.040012555, sequence: 99399 - clear  0.000000000, sequence: 0
source 0 - assert 1763358503.035402091, sequence: 99400 - clear  0.000000000, sequence: 0
source 0 - assert 1763358504.034692868, sequence: 99401 - clear  0.000000000, sequence: 0
source 0 - assert 1763358505.033920731, sequence: 99402 - clear  0.000000000, sequence: 0
source 0 - assert 1763358506.048363950, sequence: 99403 - clear  0.000000000, sequence: 0
source 0 - assert 1763358507.052941386, sequence: 99404 - clear  0.000000000, sequence: 0
source 0 - assert 1763358508.050667325, sequence: 99405 - clear  0.000000000, sequence: 0
source 0 - assert 1763358509.043524004, sequence: 99406 - clear  0.000000000, sequence: 0
source 0 - assert 1763358510.040672551, sequence: 99407 - clear  0.000000000, sequence: 0
source 0 - assert 1763358511.054473872, sequence: 99408 - clear  0.000000000, sequence: 0
source 0 - assert 1763358512.065207722, sequence: 99409 - clear  0.000000000, sequence: 0
source 0 - assert 1763358513.063338816, sequence: 99410 - clear  0.000000000, sequence: 0
source 0 - assert 1763358514.064224063, sequence: 99411 - clear  0.000000000, sequence: 0
source 0 - assert 1763358515.063631538, sequence: 99412 - clear  0.000000000, sequence: 0
