trying PPS source "/dev/pps0"
found PPS source "/dev/pps0"
ok, found 1 source(s), now start fetching data...
source 0 - assert 1763360071.000322033, sequence: 100949 - clear  0.000000000, sequence: 0
source 0 - assert 1763360072.002418002, sequence: 100950 - clear  0.000000000, sequence: 0
source 0 - assert 1763360073.005021577, sequence: 100951 - clear  0.000000000, sequence: 0
source 0 - assert 1763360074.007607913, sequence: 100952 - clear  0.000000000, sequence: 0
source 0 - assert 1763360075.009997502, sequence: 100953 - clear  0.000000000, sequence: 0
source 0 - assert 1763360076.012222975, sequence: 100954 - clear  0.000000000, sequence: 0
source 0 - assert 1763360077.012147803, sequence: 100955 - clear  0.000000000, sequence: 0
source 0 - assert 1763360077.997906557, sequence: 100956 - clear  0.000000000, sequence: 0
source 0 - assert 1763360078.983674981, sequence: 100957 - clear  0.000000000, sequence: 0
source 0 - assert 1763360079.981705985, sequence: 100958 - clear  0.000000000, sequence: 0
source 0 - assert 1763360081.005194599, sequence: 100959 - clear  0.000000000, sequence: 0
source 0 - assert 1763360082.012968195, sequence: 100960 - clear  0.000000000, sequence: 0
source 0 - assert 1763360083.001016871, sequence: 100961 - clear  0.000000000, sequence: 0
source 0 - assert 1763360083.990634188, sequence: 100962 - clear  0.000000000, sequence: 0
source 0 - assert 1763360084.993855973, sequence: 100963 - clear  0.000000000, sequence: 0
source 0 - assert 1763360086.002012098, sequence: 100964 - clear  0.000000000, sequence: 0
source 0 - assert 1763360087.004071203, sequence: 100965 - clear  0.000000000, sequence: 0
source 0 - assert 1763360087.999264805, sequence: 100966 - clear  0.000000000, sequence: 0
source 0 - assert 1763360088.999252421, sequence: 100967 - clear  0.000000000, sequence: 0
source 0 - assert 1763360090.002142081, sequence: 100968 - clear  0.000000000, sequence: 0
source 0 - assert 1763360091.007857658, sequence: 100969 - clear  0.000000000, sequence: 0
source 0 - assert 1763360092.010920323, sequence: 100970 - clear  0.000000000, sequence: 0
source 0 - assert 1763360093.006181534, sequence: 100971 - clear  0.000000000, sequence: 0
source 0 - assert 1763360094.007912917, sequence: 100972 - clear  0.000000000, sequence: 0
source 0 - assert 1763360095.009508512, sequence: 100973 - clear  0.000000000, sequence: 0
source 0 - assert 1763360096.013936111, sequence: 100974 - clear  0.000000000, sequence: 0
source 0 - assert 1763360097.018156978, sequence: 100975 - clear  0.000000000, sequence: 0
source 0 - assert 1763360098.018598100, sequence: 100976 - clear  0.000000000, sequence: 0
source 0 - assert 1763360099.016374653, sequence: 100977 - clear  0.000000000, sequence: 0
source 0 - assert 1763360100.015998852, sequence: 100978 - clear  0.000000000, sequence: 0
source 0 - assert 1763360101.019722347, sequence: 100979 - clear  0.000000000, sequence: 0
source 0 - assert 1763360102.027327553, sequence: 100980 - clear  0.000000000, sequence: 0
source 0 - assert 1763360103.029542896, sequence: 100981 - clear  0.000000000, sequence: 0
source 0 - assert 1763360104.025558057, sequence: 100982 - clear  0.000000000, sequence: 0
source 0 - assert 1763360105.026405022, sequence: 100983 - clear  0.000000000, sequence: 0
source 0 - assert 1763360106.028151160, sequence: 100984 - clear  0.000000000, sequence: 0
source 0 - assert 1763360107.027741846, sequence: 100985 - clear  0.000000000, sequence: 0
source 0 - assert 1763360108.033477052, sequence: 100986 - clear  0.000000000, sequence: 0
source 0 - assert 1763360109.036391106, sequence: 100987 - clear  0.000000000, sequence: 0
source 0 - assert 1763360110.035229214, sequence: 100988 - clear  0.000000000, sequence: 0
source 0 - assert 1763360111.036633502, sequence: 100989 - clear  0.000000000, sequence: 0
source 0 - assert 1763360112.038716978, sequence: 100990 - clear  0.000000000, sequence: 0
source 0 - assert 1763360113.040238421, sequence: 100991 - clear  0.000000000, sequence: 0
source 0 - assert 1763360114.044701406, sequence: 100992 - clear  0.000000000, sequence: 0
source 0 - assert 1763360115.044869492, sequence: 100993 - clear  0.000000000, sequence: 0
source 0 - assert 1763360116.041732596, sequence: 100994 - clear  0.000000000, sequence: 0
source 0 - assert 1763360117.041572404, sequence: 100995 - clear  0.000000000, sequence: 0
source 0 - assert 1763360118.043922981, sequence: 100996 - clear  0.000000000, sequence: 0
source 0 - assert 1763360119.048719902, sequence: 100997 - clear  0.000000000, sequence: 0
source 0 - assert 1763360120.052706427, sequence: 100998 - clear  0.000000000, sequence: 0
source 0 - assert 1763360121.051218896, sequence: 100999 - clear  0.000000000, sequence: 0
source 0 - assert 1763360122.048918545, sequence: 101000 - clear  0.000000000, sequence: 0
source 0 - assert 1763360123.051059440, sequence: 101001 - clear  0.000000000, sequence: 0
source 0 - assert 1763360124.059061346, sequence: 101002 - clear  0.000000000, sequence: 0
source 0 - assert 1763360125.062309059, sequence: 101003 - clear  0.000000000, sequence: 0
source 0 - assert 1763360126.061734519, sequence: 101004 - clear  0.000000000, sequence: 0
source 0 - assert 1763360127.063713880, sequence: 101005 - clear  0.000000000, sequence: 0
source 0 - assert 1763360128.067866444, sequence: 101006 - clear  0.000000000, sequence: 0
source 0 - assert 1763360129.067414114, sequence: 101007 - clear  0.000000000, sequence: 0
source 0 - assert 1763360130.067868781, sequence: 101008 - clear  0.000000000, sequence: 0
source 0 - assert 1763360131.067733722, sequence: 101009 - clear  0.000000000, sequence: 0
source 0 - assert 1763360132.071220515, sequence: 101010 - clear  0.000000000, sequence: 0
source 0 - assert 1763360133.074104202, sequence: 101011 - clear  0.000000000, sequence: 0
source 0 - assert 1763360134.076334454, sequence: 101012 - clear  0.000000000, sequence: 0
source 0 - assert 1763360135.076261692, sequence: 101013 - clear  0.000000000, sequence: 0
source 0 - assert 1763360136.077573949, sequence: 101014 - clear  0.000000000, sequence: 0
source 0 - assert 1763360137.081711131, sequence: 101015 - clear  0.000000000, sequence: 0
source 0 - assert 1763360138.083115973, sequence: 101016 - clear  0.000000000, sequence: 0
source 0 - assert 1763360139.082638519, sequence: 101017 - clear  0.000000000, sequence: 0
source 0 - assert 1763360140.084811207, sequence: 101018 - clear  0.000000000, sequence: 0
source 0 - assert 1763360141.088249674, sequence: 101019 - clear  0.000000000, sequence: 0
source 0 - assert 1763360142.089265967, sequence: 101020 - clear  0.000000000, sequence: 0
source 0 - assert 1763360143.092817961, sequence: 101021 - clear  0.000000000, sequence: 0
source 0 - assert 1763360144.094330599, sequence: 101022 - clear  0.000000000, sequence: 0
source 0 - assert 1763360145.093927469, sequence: 101023 - clear  0.000000000, sequence: 0
source 0 - assert 1763360146.095238992, sequence: 101024 - clear  0.000000000, sequence: 0
source 0 - assert 1763360147.098453269, sequence: 101025 - clear  0.000000000, sequence: 0
source 0 - assert 1763360148.102469726, sequence: 101026 - clear  0.000000000, sequence: 0
source 0 - assert 1763360149.103949624, sequence: 101027 - clear  0.000000000, sequence: 0
source 0 - assert 1763360150.103547256, sequence: 101028 - clear  0.000000000, sequence: 0
source 0 - assert 1763360151.106698928, sequence: 101029 - clear  0.000000000, sequence: 0
source 0 - assert 1763360152.109833385, sequence: 101030 - clear  0.000000000, sequence: 0
source 0 - assert 1763360153.110584618, sequence: 101031 - clear  0.000000000, sequence: 0
source 0 - assert 1763360154.114228297, sequence: 101032 - clear  0.000000000, sequence: 0
source 0 - assert 1763360155.115590387, sequence: 101033 - clear  0.000000000, sequence: 0
source 0 - assert 1763360156.114193754, sequence: 101034 - clear  0.000000000, sequence: 0
source 0 - assert 1763360157.114097282, sequence: 101035 - clear  0.000000000, sequence: 0
source 0 - assert 1763360158.120181806, sequence: 101036 - clear  0.000000000, sequence: 0
source 0 - assert 1763360159.124843035, sequence: 101037 - clear  0.000000000, sequence: 0
source 0 - assert 1763360160.128651143, sequence: 101038 - clear  0.000000000, sequence: 0
source 0 - assert 1763360161.127955349, sequence: 101039 - clear  0.000000000, sequence: 0
source 0 - assert 1763360162.127110704, sequence: 101040 - clear  0.000000000, sequence: 0
source 0 - assert 1763360163.128753386, sequence: 101041 - clear  0.000000000, sequence: 0
source 0 - assert 1763360164.131393043, sequence: 101042 - clear  0.000000000, sequence: 0
source 0 - assert 1763360165.133223395, sequence: 101043 - clear  0.000000000, sequence: 0
source 0 - assert 1763360166.132895840, sequence: 101044 - clear  0.000000000, sequence: 0
source 0 - assert 1763360167.135466243, sequence: 101045 - clear  0.000000000, sequence: 0
source 0 - assert 1763360168.141357080, sequence: 101046 - clear  0.000000000, sequence: 0
source 0 - assert 1763360169.141327299, sequence: 101047 - clear  0.000000000, sequence: 0
source 0 - assert 1763360170.141460562, sequence: 101048 - clear  0.000000000, sequence: 0
source 0 - assert 1763360171.143729860, sequence: 101049 - clear  0.000000000, sequence: 0
source 0 - assert 1763360172.146388574, sequence: 101050 - clear  0.000000000, sequence: 0
source 0 - assert 1763360173.149991976, sequence: 101051 - clear  0.000000000, sequence: 0
source 0 - assert 1763360174.150386605, sequence: 101052 - clear  0.000000000, sequence: 0
source 0 - assert 1763360175.150486072, sequence: 101053 - clear  0.000000000, sequence: 0
source 0 - assert 1763360176.151180668, sequence: 101054 - clear  0.000000000, sequence: 0
source 0 - assert 1763360177.152154977, sequence: 101055 - clear  0.000000000, sequence: 0
source 0 - assert 1763360178.155804604, sequence: 101056 - clear  0.000000000, sequence: 0
source 0 - assert 1763360179.160796584, sequence: 101057 - clear  0.000000000, sequence: 0
source 0 - assert 1763360180.160114416, sequence: 101058 - clear  0.000000000, sequence: 0
source 0 - assert 1763360181.157068320, sequence: 101059 - clear  0.000000000, sequence: 0
source 0 - assert 1763360182.161834591, sequence: 101060 - clear  0.000000000, sequence: 0
source 0 - assert 1763360183.165453758, sequence: 101061 - clear  0.000000000, sequence: 0
source 0 - assert 1763360184.168079105, sequence: 101062 - clear  0.000000000, sequence: 0
source 0 - assert 1763360185.170297793, sequence: 101063 - clear  0.000000000, sequence: 0
source 0 - assert 1763360186.172408762, sequence: 101064 - clear  0.000000000, sequence: 0
source 0 - assert 1763360187.172400721, sequence: 101065 - clear  0.000000000, sequence: 0
source 0 - assert 1763360188.173393070, sequence: 101066 - clear  0.000000000, sequence: 0
source 0 - assert 1763360189.180678489, sequence: 101067 - clear  0.000000000, sequence: 0
