trying PPS source "/dev/pps0"
found PPS source "/dev/pps0"
ok, found 1 source(s), now start fetching data...
source 0 - assert 1763360961.000447115, sequence: 101833 - clear  0.000000000, sequence: 0
source 0 - assert 1763360962.002581839, sequence: 101834 - clear  0.000000000, sequence: 0
source 0 - assert 1763360963.005185258, sequence: 101835 - clear  0.000000000, sequence: 0
source 0 - assert 1763360964.007752720, sequence: 101836 - clear  0.000000000, sequence: 0
source 0 - assert 1763360965.010137731, sequence: 101837 - clear  0.000000000, sequence: 0
source 0 - assert 1763360966.012356546, sequence: 101838 - clear  0.000000000, sequence: 0
source 0 - assert 1763360967.009213822, sequence: 101839 - clear  0.000000000, sequence: 0
source 0 - assert 1763360967.985152701, sequence: 101840 - clear  0.000000000, sequence: 0
source 0 - assert 1763360969.000480990, sequence: 101841 - clear  0.000000000, sequence: 0
source 0 - assert 1763360970.011898248, sequence: 101842 - clear  0.000000000, sequence: 0
source 0 - assert 1763360971.023765672, sequence: 101843 - clear  0.000000000, sequence: 0
source 0 - assert 1763360972.018276126, sequence: 101844 - clear  0.000000000, sequence: 0
source 0 - assert 1763360972.999978818, sequence: 101845 - clear  0.000000000, sequence: 0
source 0 - assert 1763360973.989198817, sequence: 101846 - clear  0.000000000, sequence: 0
source 0 - assert 1763360975.010647895, sequence: 101847 - clear  0.000000000, sequence: 0
source 0 - assert 1763360976.039677278, sequence: 101848 - clear  0.000000000, sequence: 0
source 0 - assert 1763360977.033154315, sequence: 101849 - clear  0.000000000, sequence: 0
source 0 - assert 1763360978.009875866, sequence: 101850 - clear  0.000000000, sequence: 0
source 0 - assert 1763360979.009565183, sequence: 101851 - clear  0.000000000, sequence: 0
source 0 - assert 1763360980.029663885, sequence: 101852 - clear  0.000000000, sequence: 0
source 0 - assert 1763360981.040442450, sequence: 101853 - clear  0.000000000, sequence: 0
source 0 - assert 1763360982.035638790, sequence: 101854 - clear  0.000000000, sequence: 0
source 0 - assert 1763360983.020643040, sequence: 101855 - clear  0.000000000, sequence: 0
source 0 - assert 1763360984.022435931, sequence: 101856 - clear  0.000000000, sequence: 0
source 0 - assert 1763360985.042314413, sequence: 101857 - clear  0.000000000, sequence: 0
source 0 - assert 1763360986.043381754, sequence: 101858 - clear  0.000000000, sequence: 0
source 0 - assert 1763360987.034349762, sequence: 101859 - clear  0.000000000, sequence: 0
source 0 - assert 1763360988.036626063, sequence: 101860 - clear  0.000000000, sequence: 0
source 0 - assert 1763360989.039439524, sequence: 101861 - clear  0.000000000, sequence: 0
source 0 - assert 1763360990.047833302, sequence: 101862 - clear  0.000000000, sequence: 0
source 0 - assert 1763360991.056289316, sequence: 101863 - clear  0.000000000, sequence: 0
source 0 - assert 1763360992.055758908, sequence: 101864 - clear  0.000000000, sequence: 0
source 0 - assert 1763360993.047005388, sequence: 101865 - clear  0.000000000, sequence: 0
source 0 - assert 1763360994.052501257, sequence: 101866 - clear  0.000000000, sequence: 0
source 0 - assert 1763360995.054864339, sequence: 101867 - clear  0.000000000, sequence: 0
source 0 - assert 1763360996.067339060, sequence: 101868 - clear  0.000000000, sequence: 0
source 0 - assert 1763360997.077141609, sequence: 101869 - clear  0.000000000, sequence: 0
source 0 - assert 1763360998.071746545, sequence: 101870 - clear  0.000000000, sequence: 0
source 0 - assert 1763360999.052268252, sequence: 101871 - clear  0.000000000, sequence: 0
source 0 - assert 1763361000.045868559, sequence: 101872 - clear  0.000000000, sequence: 0
source 0 - assert 1763361001.066085980, sequence: 101873 - clear  0.000000000, sequence: 0
source 0 - assert 1763361002.073672922, sequence: 101874 - clear  0.000000000, sequence: 0
source 0 - assert 1763361003.076145197, sequence: 101875 - clear  0.000000000, sequence: 0
source 0 - assert 1763361004.064106835, sequence: 101876 - clear  0.000000000, sequence: 0
source 0 - assert 1763361005.049769192, sequence: 101877 - clear  0.000000000, sequence: 0
source 0 - assert 1763361006.066703538, sequence: 101878 - clear  0.000000000, sequence: 0
source 0 - assert 1763361007.088962343, sequence: 101879 - clear  0.000000000, sequence: 0
source 0 - assert 1763361008.087188657, sequence: 101880 - clear  0.000000000, sequence: 0
source 0 - assert 1763361009.054645872, sequence: 101881 - clear  0.000000000, sequence: 0
source 0 - assert 1763361009.991468215, sequence: 101882 - clear  0.000000000, sequence: 0
source 0 - assert 1763361011.031544469, sequence: 101883 - clear  0.000000000, sequence: 0
source 0 - assert 1763361012.055462672, sequence: 101884 - clear  0.000000000, sequence: 0
source 0 - assert 1763361013.083612028, sequence: 101885 - clear  0.000000000, sequence: 0
source 0 - assert 1763361014.069627673, sequence: 101886 - clear  0.000000000, sequence: 0
source 0 - assert 1763361015.036070751, sequence: 101887 - clear  0.000000000, sequence: 0
source 0 - assert 1763361016.029434803, sequence: 101888 - clear  0.000000000, sequence: 0
source 0 - assert 1763361017.043277300, sequence: 101889 - clear  0.000000000, sequence: 0
source 0 - assert 1763361018.063819618, sequence: 101890 - clear  0.000000000, sequence: 0
source 0 - assert 1763361019.065564949, sequence: 101891 - clear  0.000000000, sequence: 0
source 0 - assert 1763361020.049290758, sequence: 101892 - clear  0.000000000, sequence: 0
source 0 - assert 1763361021.042563865, sequence: 101893 - clear  0.000000000, sequence: 0
source 0 - assert 1763361022.049033534, sequence: 101894 - clear  0.000000000, sequence: 0
source 0 - assert 1763361023.070794401, sequence: 101895 - clear  0.000000000, sequence: 0
source 0 - assert 1763361024.089816274, sequence: 101896 - clear  0.000000000, sequence: 0
source 0 - assert 1763361025.082302309, sequence: 101897 - clear  0.000000000, sequence: 0
source 0 - assert 1763361026.059191938, sequence: 101898 - clear  0.000000000, sequence: 0
source 0 - assert 1763361027.063538587, sequence: 101899 - clear  0.000000000, sequence: 0
source 0 - assert 1763361028.086165334, sequence: 101900 - clear  0.000000000, sequence: 0
source 0 - assert 1763361029.094027656, sequence: 101901 - clear  0.000000000, sequence: 0
source 0 - assert 1763361030.084817628, sequence: 101902 - clear  0.000000000, sequence: 0
source 0 - assert 1763361031.064036078, sequence: 101903 - clear  0.000000000, sequence: 0
source 0 - assert 1763361032.054398716, sequence: 101904 - clear  0.000000000, sequence: 0
source 0 - assert 1763361033.076121264, sequence: 101905 - clear  0.000000000, sequence: 0
source 0 - assert 1763361034.094302934, sequence: 101906 - clear  0.000000000, sequence: 0
source 0 - assert 1763361035.089056236, sequence: 101907 - clear  0.000000000, sequence: 0
source 0 - assert 1763361036.068935380, sequence: 101908 - clear  0.000000000, sequence: 0
source 0 - assert 1763361037.066926999, sequence: 101909 - clear  0.000000000, sequence: 0
source 0 - assert 1763361038.085083108, sequence: 101910 - clear  0.000000000, sequence: 0
source 0 - assert 1763361039.089885878, sequence: 101911 - clear  0.000000000, sequence: 0
source 0 - assert 1763361040.086335611, sequence: 101912 - clear  0.000000000, sequence: 0
source 0 - assert 1763361041.078816040, sequence: 101913 - clear  0.000000000, sequence: 0
source 0 - assert 1763361042.080429057, sequence: 101914 - clear  0.000000000, sequence: 0
source 0 - assert 1763361043.100347690, sequence: 101915 - clear  0.000000000, sequence: 0
source 0 - assert 1763361044.104610778, sequence: 101916 - clear  0.000000000, sequence: 0
source 0 - assert 1763361045.094186444, sequence: 101917 - clear  0.000000000, sequence: 0
source 0 - assert 1763361046.089232538, sequence: 101918 - clear  0.000000000, sequence: 0
source 0 - assert 1763361047.096988527, sequence: 101919 - clear  0.000000000, sequence: 0
source 0 - assert 1763361048.103908217, sequence: 101920 - clear  0.000000000, sequence: 0
source 0 - assert 1763361049.119529294, sequence: 101921 - clear  0.000000000, sequence: 0
source 0 - assert 1763361050.116474753, sequence: 101922 - clear  0.000000000, sequence: 0
source 0 - assert 1763361051.105891276, sequence: 101923 - clear  0.000000000, sequence: 0
source 0 - assert 1763361052.111285701, sequence: 101924 - clear  0.000000000, sequence: 0
source 0 - assert 1763361053.113819046, sequence: 101925 - clear  0.000000000, sequence: 0
source 0 - assert 1763361054.116869503, sequence: 101926 - clear  0.000000000, sequence: 0
source 0 - assert 1763361055.127911608, sequence: 101927 - clear  0.000000000, sequence: 0
source 0 - assert 1763361056.138413928, sequence: 101928 - clear  0.000000000, sequence: 0
source 0 - assert 1763361057.134968900, sequence: 101929 - clear  0.000000000, sequence: 0
source 0 - assert 1763361058.123211954, sequence: 101930 - clear  0.000000000, sequence: 0
source 0 - assert 1763361059.127145375, sequence: 101931 - clear  0.000000000, sequence: 0
source 0 - assert 1763361060.143515785, sequence: 101932 - clear  0.000000000, sequence: 0
source 0 - assert 1763361061.166299061, sequence: 101933 - clear  0.000000000, sequence: 0
source 0 - assert 1763361062.176259055, sequence: 101934 - clear  0.000000000, sequence: 0
source 0 - assert 1763361063.162526398, sequence: 101935 - clear  0.000000000, sequence: 0
