trying PPS source "/dev/pps0"
found PPS source "/dev/pps0"
ok, found 1 source(s), now start fetching data...
source 0 - assert 1763361530.000330518, sequence: 102398 - clear  0.000000000, sequence: 0
source 0 - assert 1763361531.002428935, sequence: 102399 - clear  0.000000000, sequence: 0
source 0 - assert 1763361532.005035093, sequence: 102400 - clear  0.000000000, sequence: 0
source 0 - assert 1763361533.007612979, sequence: 102401 - clear  0.000000000, sequence: 0
source 0 - assert 1763361534.010346328, sequence: 102402 - clear  0.000000000, sequence: 0
source 0 - assert 1763361535.013985189, sequence: 102403 - clear  0.000000000, sequence: 0
source 0 - assert 1763361536.010350251, sequence: 102404 - clear  0.000000000, sequence: 0
source 0 - assert 1763361536.980325622, sequence: 102405 - clear  0.000000000, sequence: 0
source 0 - assert 1763361537.982964324, sequence: 102406 - clear  0.000000000, sequence: 0
source 0 - assert 1763361539.026376013, sequence: 102407 - clear  0.000000000, sequence: 0
source 0 - assert 1763361540.025183352, sequence: 102408 - clear  0.000000000, sequence: 0
source 0 - assert 1763361540.993748922, sequence: 102409 - clear  0.000000000, sequence: 0
source 0 - assert 1763361541.998609087, sequence: 102410 - clear  0.000000000, sequence: 0
source 0 - assert 1763361543.010312907, sequence: 102411 - clear  0.000000000, sequence: 0
source 0 - assert 1763361544.020903681, sequence: 102412 - clear  0.000000000, sequence: 0
source 0 - assert 1763361545.035710550, sequence: 102413 - clear  0.000000000, sequence: 0
source 0 - assert 1763361546.032330503, sequence: 102414 - clear  0.000000000, sequence: 0
source 0 - assert 1763361547.015249361, sequence: 102415 - clear  0.000000000, sequence: 0
source 0 - assert 1763361548.009023785, sequence: 102416 - clear  0.000000000, sequence: 0
source 0 - assert 1763361549.017733012, sequence: 102417 - clear  0.000000000, sequence: 0
source 0 - assert 1763361550.038036061, sequence: 102418 - clear  0.000000000, sequence: 0
source 0 - assert 1763361551.053783014, sequence: 102419 - clear  0.000000000, sequence: 0
source 0 - assert 1763361552.040996757, sequence: 102420 - clear  0.000000000, sequence: 0
source 0 - assert 1763361553.013890089, sequence: 102421 - clear  0.000000000, sequence: 0
source 0 - assert 1763361554.015128263, sequence: 102422 - clear  0.000000000, sequence: 0
source 0 - assert 1763361555.043664672, sequence: 102423 - clear  0.000000000, sequence: 0
source 0 - assert 1763361556.053726127, sequence: 102424 - clear  0.000000000, sequence: 0
source 0 - assert 1763361557.043813813, sequence: 102425 - clear  0.000000000, sequence: 0
source 0 - assert 1763361558.025005814, sequence: 102426 - clear  0.000000000, sequence: 0
source 0 - assert 1763361559.023295126, sequence: 102427 - clear  0.000000000, sequence: 0
source 0 - assert 1763361560.051274443, sequence: 102428 - clear  0.000000000, sequence: 0
source 0 - assert 1763361561.050991621, sequence: 102429 - clear  0.000000000, sequence: 0
source 0 - assert 1763361562.030002382, sequence: 102430 - clear  0.000000000, sequence: 0
source 0 - assert 1763361563.028612599, sequence: 102431 - clear  0.000000000, sequence: 0
