trying PPS source "/dev/pps0"
found PPS source "/dev/pps0"
ok, found 1 source(s), now start fetching data...
source 0 - assert 1763361314.000007450, sequence: 62 - clear  0.000000000, sequence: 0
source 0 - assert 1763361315.000005142, sequence: 63 - clear  0.000000000, sequence: 0
source 0 - assert 1763361316.000006954, sequence: 64 - clear  0.000000000, sequence: 0
source 0 - assert 1763361317.000003777, sequence: 65 - clear  0.000000000, sequence: 0
source 0 - assert 1763361318.000006900, sequence: 66 - clear  0.000000000, sequence: 0
source 0 - assert 1763361319.000004784, sequence: 67 - clear  0.000000000, sequence: 0
source 0 - assert 1763361320.000008042, sequence: 68 - clear  0.000000000, sequence: 0
source 0 - assert 1763361321.000006496, sequence: 69 - clear  0.000000000, sequence: 0
source 0 - assert 1763361322.000006297, sequence: 70 - clear  0.000000000, sequence: 0
source 0 - assert 1763361323.000002842, sequence: 71 - clear  0.000000000, sequence: 0
source 0 - assert 1763361324.000002627, sequence: 72 - clear  0.000000000, sequence: 0
source 0 - assert 1763361325.000005656, sequence: 73 - clear  0.000000000, sequence: 0
source 0 - assert 1763361326.000008115, sequence: 74 - clear  0.000000000, sequence: 0
source 0 - assert 1763361327.000009535, sequence: 75 - clear  0.000000000, sequence: 0
source 0 - assert 1763361328.000007334, sequence: 76 - clear  0.000000000, sequence: 0
source 0 - assert 1763361329.000005287, sequence: 77 - clear  0.000000000, sequence: 0
source 0 - assert 1763361330.000009921, sequence: 78 - clear  0.000000000, sequence: 0
source 0 - assert 1763361331.000007901, sequence: 79 - clear  0.000000000, sequence: 0
source 0 - assert 1763361332.000006227, sequence: 80 - clear  0.000000000, sequence: 0
source 0 - assert 1763361333.000008601, sequence: 81 - clear  0.000000000, sequence: 0
source 0 - assert 1763361334.000003479, sequence: 82 - clear  0.000000000, sequence: 0
source 0 - assert 1763361335.000005203, sequence: 83 - clear  0.000000000, sequence: 0
source 0 - assert 1763361336.000007945, sequence: 84 - clear  0.000000000, sequence: 0
source 0 - assert 1763361337.000007574, sequence: 85 - clear  0.000000000, sequence: 0
source 0 - assert 1763361338.000006487, sequence: 86 - clear  0.000000000, sequence: 0
source 0 - assert 1763361339.000004856, sequence: 87 - clear  0.000000000, sequence: 0
source 0 - assert 1763361340.000010986, sequence: 88 - clear  0.000000000, sequence: 0
source 0 - assert 1763361341.000006413, sequence: 89 - clear  0.000000000, sequence: 0
source 0 - assert 1763361342.000007745, sequence: 90 - clear  0.000000000, sequence: 0
source 0 - assert 1763361343.000007996, sequence: 91 - clear  0.000000000, sequence: 0
source 0 - assert 1763361344.000004989, sequence: 92 - clear  0.000000000, sequence: 0
source 0 - assert 1763361345.000011129, sequence: 93 - clear  0.000000000, sequence: 0
source 0 - assert 1763361346.000005624, sequence: 94 - clear  0.000000000, sequence: 0
source 0 - assert 1763361347.000006736, sequence: 95 - clear  0.000000000, sequence: 0
source 0 - assert 1763361348.000005982, sequence: 96 - clear  0.000000000, sequence: 0
source 0 - assert 1763361349.000005583, sequence: 97 - clear  0.000000000, sequence: 0
source 0 - assert 1763361350.000012791, sequence: 98 - clear  0.000000000, sequence: 0
source 0 - assert 1763361351.000009501, sequence: 99 - clear  0.000000000, sequence: 0
source 0 - assert 1763361352.000007170, sequence: 100 - clear  0.000000000, sequence: 0
source 0 - assert 1763361353.000006483, sequence: 101 - clear  0.000000000, sequence: 0
source 0 - assert 1763361354.000003961, sequence: 102 - clear  0.000000000, sequence: 0
source 0 - assert 1763361355.000005850, sequence: 103 - clear  0.000000000, sequence: 0
source 0 - assert 1763361356.000002336, sequence: 104 - clear  0.000000000, sequence: 0
source 0 - assert 1763361357.000003514, sequence: 105 - clear  0.000000000, sequence: 0
source 0 - assert 1763361358.000008853, sequence: 106 - clear  0.000000000, sequence: 0
source 0 - assert 1763361359.000004801, sequence: 107 - clear  0.000000000, sequence: 0
source 0 - assert 1763361360.000005192, sequence: 108 - clear  0.000000000, sequence: 0
source 0 - assert 1763361361.000009275, sequence: 109 - clear  0.000000000, sequence: 0
source 0 - assert 1763361362.000004666, sequence: 110 - clear  0.000000000, sequence: 0
