trying PPS source "/dev/pps0"
found PPS source "/dev/pps0"
ok, found 1 source(s), now start fetching data...
source 0 - assert 1763362853.000010780, sequence: 1601 - clear  0.000000000, sequence: 0
source 0 - assert 1763362854.000004872, sequence: 1602 - clear  0.000000000, sequence: 0
source 0 - assert 1763362855.000007004, sequence: 1603 - clear  0.000000000, sequence: 0
source 0 - assert 1763362856.000010749, sequence: 1604 - clear  0.000000000, sequence: 0
source 0 - assert 1763362857.000011920, sequence: 1605 - clear  0.000000000, sequence: 0
source 0 - assert 1763362858.000009747, sequence: 1606 - clear  0.000000000, sequence: 0
source 0 - assert 1763362859.000004403, sequence: 1607 - clear  0.000000000, sequence: 0
source 0 - assert 1763362860.000007898, sequence: 1608 - clear  0.000000000, sequence: 0
source 0 - assert 1763362861.000009900, sequence: 1609 - clear  0.000000000, sequence: 0
source 0 - assert 1763362862.000009279, sequence: 1610 - clear  0.000000000, sequence: 0
source 0 - assert 1763362863.000003497, sequence: 1611 - clear  0.000000000, sequence: 0
source 0 - assert 1763362864.000008494, sequence: 1612 - clear  0.000000000, sequence: 0
source 0 - assert 1763362865.000005912, sequence: 1613 - clear  0.000000000, sequence: 0
source 0 - assert 1763362866.000004533, sequence: 1614 - clear  0.000000000, sequence: 0
source 0 - assert 1763362867.000009551, sequence: 1615 - clear  0.000000000, sequence: 0
source 0 - assert 1763362868.000009208, sequence: 1616 - clear  0.000000000, sequence: 0
source 0 - assert 1763362869.000011276, sequence: 1617 - clear  0.000000000, sequence: 0
source 0 - assert 1763362870.000006241, sequence: 1618 - clear  0.000000000, sequence: 0
source 0 - assert 1763362871.000007085, sequence: 1619 - clear  0.000000000, sequence: 0
source 0 - assert 1763362872.000005317, sequence: 1620 - clear  0.000000000, sequence: 0
source 0 - assert 1763362873.000005935, sequence: 1621 - clear  0.000000000, sequence: 0
source 0 - assert 1763362874.000007572, sequence: 1622 - clear  0.000000000, sequence: 0
source 0 - assert 1763362875.000007716, sequence: 1623 - clear  0.000000000, sequence: 0
source 0 - assert 1763362876.000004331, sequence: 1624 - clear  0.000000000, sequence: 0
source 0 - assert 1763362877.000005449, sequence: 1625 - clear  0.000000000, sequence: 0
source 0 - assert 1763362878.000006657, sequence: 1626 - clear  0.000000000, sequence: 0
source 0 - assert 1763362879.000005695, sequence: 1627 - clear  0.000000000, sequence: 0
source 0 - assert 1763362880.000007278, sequence: 1628 - clear  0.000000000, sequence: 0
source 0 - assert 1763362881.000009329, sequence: 1629 - clear  0.000000000, sequence: 0
source 0 - assert 1763362882.000009666, sequence: 1630 - clear  0.000000000, sequence: 0
source 0 - assert 1763362883.000008198, sequence: 1631 - clear  0.000000000, sequence: 0
source 0 - assert 1763362884.000005691, sequence: 1632 - clear  0.000000000, sequence: 0
source 0 - assert 1763362885.000004233, sequence: 1633 - clear  0.000000000, sequence: 0
source 0 - assert 1763362886.000007692, sequence: 1634 - clear  0.000000000, sequence: 0
source 0 - assert 1763362887.000014027, sequence: 1635 - clear  0.000000000, sequence: 0
source 0 - assert 1763362888.000006617, sequence: 1636 - clear  0.000000000, sequence: 0
source 0 - assert 1763362889.000009583, sequence: 1637 - clear  0.000000000, sequence: 0
source 0 - assert 1763362890.000007714, sequence: 1638 - clear  0.000000000, sequence: 0
source 0 - assert 1763362891.000003839, sequence: 1639 - clear  0.000000000, sequence: 0
source 0 - assert 1763362892.000003838, sequence: 1640 - clear  0.000000000, sequence: 0
source 0 - assert 1763362893.000002715, sequence: 1641 - clear  0.000000000, sequence: 0
source 0 - assert 1763362894.000004792, sequence: 1642 - clear  0.000000000, sequence: 0
source 0 - assert 1763362895.000005996, sequence: 1643 - clear  0.000000000, sequence: 0
source 0 - assert 1763362896.000005609, sequence: 1644 - clear  0.000000000, sequence: 0
source 0 - assert 1763362897.000006188, sequence: 1645 - clear  0.000000000, sequence: 0
source 0 - assert 1763362898.000005187, sequence: 1646 - clear  0.000000000, sequence: 0
source 0 - assert 1763362899.000004672, sequence: 1647 - clear  0.000000000, sequence: 0
source 0 - assert 1763362900.000010007, sequence: 1648 - clear  0.000000000, sequence: 0
source 0 - assert 1763362901.000003494, sequence: 1649 - clear  0.000000000, sequence: 0
source 0 - assert 1763362902.000003700, sequence: 1650 - clear  0.000000000, sequence: 0
source 0 - assert 1763362903.000007072, sequence: 1651 - clear  0.000000000, sequence: 0
source 0 - assert 1763362904.000001981, sequence: 1652 - clear  0.000000000, sequence: 0
source 0 - assert 1763362905.000004063, sequence: 1653 - clear  0.000000000, sequence: 0
source 0 - assert 1763362906.000009409, sequence: 1654 - clear  0.000000000, sequence: 0
source 0 - assert 1763362907.000003717, sequence: 1655 - clear  0.000000000, sequence: 0
source 0 - assert 1763362908.000009963, sequence: 1656 - clear  0.000000000, sequence: 0
source 0 - assert 1763362909.000004919, sequence: 1657 - clear  0.000000000, sequence: 0
source 0 - assert 1763362910.000011030, sequence: 1658 - clear  0.000000000, sequence: 0
source 0 - assert 1763362911.000006664, sequence: 1659 - clear  0.000000000, sequence: 0
source 0 - assert 1763362912.000006251, sequence: 1660 - clear  0.000000000, sequence: 0
source 0 - assert 1763362913.000006655, sequence: 1661 - clear  0.000000000, sequence: 0
source 0 - assert 1763362914.000006992, sequence: 1662 - clear  0.000000000, sequence: 0
source 0 - assert 1763362915.000004187, sequence: 1663 - clear  0.000000000, sequence: 0
source 0 - assert 1763362916.000004690, sequence: 1664 - clear  0.000000000, sequence: 0
