trying PPS source "/dev/pps0"
found PPS source "/dev/pps0"
ok, found 1 source(s), now start fetching data...
source 0 - assert 1763363778.000009688, sequence: 2526 - clear  0.000000000, sequence: 0
source 0 - assert 1763363779.000003982, sequence: 2527 - clear  0.000000000, sequence: 0
source 0 - assert 1763363780.000005062, sequence: 2528 - clear  0.000000000, sequence: 0
source 0 - assert 1763363781.000007820, sequence: 2529 - clear  0.000000000, sequence: 0
source 0 - assert 1763363782.000001214, sequence: 2530 - clear  0.000000000, sequence: 0
source 0 - assert 1763363783.000010792, sequence: 2531 - clear  0.000000000, sequence: 0
source 0 - assert 1763363784.000009288, sequence: 2532 - clear  0.000000000, sequence: 0
source 0 - assert 1763363785.000004132, sequence: 2533 - clear  0.000000000, sequence: 0
source 0 - assert 1763363786.000007042, sequence: 2534 - clear  0.000000000, sequence: 0
source 0 - assert 1763363787.000007573, sequence: 2535 - clear  0.000000000, sequence: 0
source 0 - assert 1763363788.000003787, sequence: 2536 - clear  0.000000000, sequence: 0
source 0 - assert 1763363789.000009870, sequence: 2537 - clear  0.000000000, sequence: 0
source 0 - assert 1763363790.000005693, sequence: 2538 - clear  0.000000000, sequence: 0
source 0 - assert 1763363791.000005897, sequence: 2539 - clear  0.000000000, sequence: 0
source 0 - assert 1763363792.000007202, sequence: 2540 - clear  0.000000000, sequence: 0
source 0 - assert 1763363793.000005169, sequence: 2541 - clear  0.000000000, sequence: 0
source 0 - assert 1763363794.000007897, sequence: 2542 - clear  0.000000000, sequence: 0
source 0 - assert 1763363795.000010421, sequence: 2543 - clear  0.000000000, sequence: 0
source 0 - assert 1763363796.000009438, sequence: 2544 - clear  0.000000000, sequence: 0
source 0 - assert 1763363797.000006743, sequence: 2545 - clear  0.000000000, sequence: 0
source 0 - assert 1763363798.000005186, sequence: 2546 - clear  0.000000000, sequence: 0
source 0 - assert 1763363799.000008662, sequence: 2547 - clear  0.000000000, sequence: 0
source 0 - assert 1763363800.000007667, sequence: 2548 - clear  0.000000000, sequence: 0
source 0 - assert 1763363801.000004305, sequence: 2549 - clear  0.000000000, sequence: 0
source 0 - assert 1763363802.000008006, sequence: 2550 - clear  0.000000000, sequence: 0
source 0 - assert 1763363803.000006768, sequence: 2551 - clear  0.000000000, sequence: 0
source 0 - assert 1763363804.000008899, sequence: 2552 - clear  0.000000000, sequence: 0
source 0 - assert 1763363805.000009541, sequence: 2553 - clear  0.000000000, sequence: 0
source 0 - assert 1763363806.000007371, sequence: 2554 - clear  0.000000000, sequence: 0
source 0 - assert 1763363807.000004361, sequence: 2555 - clear  0.000000000, sequence: 0
source 0 - assert 1763363808.000003902, sequence: 2556 - clear  0.000000000, sequence: 0
source 0 - assert 1763363809.000005567, sequence: 2557 - clear  0.000000000, sequence: 0
source 0 - assert 1763363810.000008938, sequence: 2558 - clear  0.000000000, sequence: 0
source 0 - assert 1763363811.000008569, sequence: 2559 - clear  0.000000000, sequence: 0
source 0 - assert 1763363812.000007404, sequence: 2560 - clear  0.000000000, sequence: 0
source 0 - assert 1763363813.000004935, sequence: 2561 - clear  0.000000000, sequence: 0
source 0 - assert 1763363814.000006925, sequence: 2562 - clear  0.000000000, sequence: 0
source 0 - assert 1763363815.000003013, sequence: 2563 - clear  0.000000000, sequence: 0
source 0 - assert 1763363816.000008442, sequence: 2564 - clear  0.000000000, sequence: 0
source 0 - assert 1763363817.000008448, sequence: 2565 - clear  0.000000000, sequence: 0
source 0 - assert 1763363818.000003571, sequence: 2566 - clear  0.000000000, sequence: 0
source 0 - assert 1763363819.000006367, sequence: 2567 - clear  0.000000000, sequence: 0
source 0 - assert 1763363820.000005711, sequence: 2568 - clear  0.000000000, sequence: 0
source 0 - assert 1763363821.000006008, sequence: 2569 - clear  0.000000000, sequence: 0
source 0 - assert 1763363822.000010287, sequence: 2570 - clear  0.000000000, sequence: 0
source 0 - assert 1763363823.000006440, sequence: 2571 - clear  0.000000000, sequence: 0
source 0 - assert 1763363824.000005192, sequence: 2572 - clear  0.000000000, sequence: 0
source 0 - assert 1763363825.000010729, sequence: 2573 - clear  0.000000000, sequence: 0
source 0 - assert 1763363826.000002736, sequence: 2574 - clear  0.000000000, sequence: 0
source 0 - assert 1763363827.000009834, sequence: 2575 - clear  0.000000000, sequence: 0
source 0 - assert 1763363828.000007582, sequence: 2576 - clear  0.000000000, sequence: 0
source 0 - assert 1763363829.000008297, sequence: 2577 - clear  0.000000000, sequence: 0
source 0 - assert 1763363830.000004793, sequence: 2578 - clear  0.000000000, sequence: 0
source 0 - assert 1763363831.000006658, sequence: 2579 - clear  0.000000000, sequence: 0
source 0 - assert 1763363832.000006281, sequence: 2580 - clear  0.000000000, sequence: 0
source 0 - assert 1763363833.000008246, sequence: 2581 - clear  0.000000000, sequence: 0
source 0 - assert 1763363834.000005187, sequence: 2582 - clear  0.000000000, sequence: 0
source 0 - assert 1763363835.000006722, sequence: 2583 - clear  0.000000000, sequence: 0
source 0 - assert 1763363836.000009402, sequence: 2584 - clear  0.000000000, sequence: 0
source 0 - assert 1763363837.000007366, sequence: 2585 - clear  0.000000000, sequence: 0
source 0 - assert 1763363838.000010069, sequence: 2586 - clear  0.000000000, sequence: 0
source 0 - assert 1763363839.000006484, sequence: 2587 - clear  0.000000000, sequence: 0
source 0 - assert 1763363840.000010914, sequence: 2588 - clear  0.000000000, sequence: 0
source 0 - assert 1763363841.000007748, sequence: 2589 - clear  0.000000000, sequence: 0
source 0 - assert 1763363842.000005418, sequence: 2590 - clear  0.000000000, sequence: 0
source 0 - assert 1763363843.000004836, sequence: 2591 - clear  0.000000000, sequence: 0
source 0 - assert 1763363844.000007824, sequence: 2592 - clear  0.000000000, sequence: 0
source 0 - assert 1763363845.000006913, sequence: 2593 - clear  0.000000000, sequence: 0
source 0 - assert 1763363846.000009572, sequence: 2594 - clear  0.000000000, sequence: 0
source 0 - assert 1763363847.000007652, sequence: 2595 - clear  0.000000000, sequence: 0
source 0 - assert 1763363848.000004478, sequence: 2596 - clear  0.000000000, sequence: 0
source 0 - assert 1763363849.000008739, sequence: 2597 - clear  0.000000000, sequence: 0
source 0 - assert 1763363850.000007545, sequence: 2598 - clear  0.000000000, sequence: 0
source 0 - assert 1763363851.000008038, sequence: 2599 - clear  0.000000000, sequence: 0
source 0 - assert 1763363852.000009067, sequence: 2600 - clear  0.000000000, sequence: 0
source 0 - assert 1763363853.000006534, sequence: 2601 - clear  0.000000000, sequence: 0
source 0 - assert 1763363854.000007364, sequence: 2602 - clear  0.000000000, sequence: 0
source 0 - assert 1763363855.000009870, sequence: 2603 - clear  0.000000000, sequence: 0
source 0 - assert 1763363856.000008888, sequence: 2604 - clear  0.000000000, sequence: 0
source 0 - assert 1763363857.000004680, sequence: 2605 - clear  0.000000000, sequence: 0
source 0 - assert 1763363858.000007412, sequence: 2606 - clear  0.000000000, sequence: 0
source 0 - assert 1763363859.000006604, sequence: 2607 - clear  0.000000000, sequence: 0
source 0 - assert 1763363860.000008237, sequence: 2608 - clear  0.000000000, sequence: 0
source 0 - assert 1763363861.000012028, sequence: 2609 - clear  0.000000000, sequence: 0
source 0 - assert 1763363862.000004612, sequence: 2610 - clear  0.000000000, sequence: 0
source 0 - assert 1763363863.000006242, sequence: 2611 - clear  0.000000000, sequence: 0
source 0 - assert 1763363864.000004818, sequence: 2612 - clear  0.000000000, sequence: 0
source 0 - assert 1763363865.000008362, sequence: 2613 - clear  0.000000000, sequence: 0
source 0 - assert 1763363866.000009654, sequence: 2614 - clear  0.000000000, sequence: 0
source 0 - assert 1763363867.000008994, sequence: 2615 - clear  0.000000000, sequence: 0
source 0 - assert 1763363868.000004006, sequence: 2616 - clear  0.000000000, sequence: 0
source 0 - assert 1763363869.000008000, sequence: 2617 - clear  0.000000000, sequence: 0
source 0 - assert 1763363870.000008822, sequence: 2618 - clear  0.000000000, sequence: 0
source 0 - assert 1763363871.000008402, sequence: 2619 - clear  0.000000000, sequence: 0
source 0 - assert 1763363872.000004638, sequence: 2620 - clear  0.000000000, sequence: 0
source 0 - assert 1763363873.000005649, sequence: 2621 - clear  0.000000000, sequence: 0
source 0 - assert 1763363874.000003696, sequence: 2622 - clear  0.000000000, sequence: 0
source 0 - assert 1763363875.000008458, sequence: 2623 - clear  0.000000000, sequence: 0
source 0 - assert 1763363876.000005790, sequence: 2624 - clear  0.000000000, sequence: 0
source 0 - assert 1763363877.000009697, sequence: 2625 - clear  0.000000000, sequence: 0
source 0 - assert 1763363878.000004689, sequence: 2626 - clear  0.000000000, sequence: 0
source 0 - assert 1763363879.000008777, sequence: 2627 - clear  0.000000000, sequence: 0
source 0 - assert 1763363880.000002850, sequence: 2628 - clear  0.000000000, sequence: 0
source 0 - assert 1763363881.000011927, sequence: 2629 - clear  0.000000000, sequence: 0
source 0 - assert 1763363882.000010069, sequence: 2630 - clear  0.000000000, sequence: 0
source 0 - assert 1763363883.000005822, sequence: 2631 - clear  0.000000000, sequence: 0
source 0 - assert 1763363884.000008282, sequence: 2632 - clear  0.000000000, sequence: 0
source 0 - assert 1763363885.000008866, sequence: 2633 - clear  0.000000000, sequence: 0
source 0 - assert 1763363886.000007904, sequence: 2634 - clear  0.000000000, sequence: 0
source 0 - assert 1763363887.000007322, sequence: 2635 - clear  0.000000000, sequence: 0
source 0 - assert 1763363888.000011381, sequence: 2636 - clear  0.000000000, sequence: 0
source 0 - assert 1763363889.000006088, sequence: 2637 - clear  0.000000000, sequence: 0
source 0 - assert 1763363890.000006518, sequence: 2638 - clear  0.000000000, sequence: 0
source 0 - assert 1763363891.000008186, sequence: 2639 - clear  0.000000000, sequence: 0
source 0 - assert 1763363892.000002691, sequence: 2640 - clear  0.000000000, sequence: 0
source 0 - assert 1763363893.000009621, sequence: 2641 - clear  0.000000000, sequence: 0
source 0 - assert 1763363894.000001968, sequence: 2642 - clear  0.000000000, sequence: 0
source 0 - assert 1763363895.000004377, sequence: 2643 - clear  0.000000000, sequence: 0
source 0 - assert 1763363896.000007152, sequence: 2644 - clear  0.000000000, sequence: 0
source 0 - assert 1763363897.000007354, sequence: 2645 - clear  0.000000000, sequence: 0
source 0 - assert 1763363898.000005687, sequence: 2646 - clear  0.000000000, sequence: 0
source 0 - assert 1763363899.000009354, sequence: 2647 - clear  0.000000000, sequence: 0
source 0 - assert 1763363900.000007151, sequence: 2648 - clear  0.000000000, sequence: 0
source 0 - assert 1763363901.000007609, sequence: 2649 - clear  0.000000000, sequence: 0
