trying PPS source "/dev/pps0"
found PPS source "/dev/pps0"
ok, found 1 source(s), now start fetching data...
source 0 - assert 1763364993.000011665, sequence: 3741 - clear  0.000000000, sequence: 0
source 0 - assert 1763364994.000008449, sequence: 3742 - clear  0.000000000, sequence: 0
source 0 - assert 1763364995.000007457, sequence: 3743 - clear  0.000000000, sequence: 0
source 0 - assert 1763364996.000007078, sequence: 3744 - clear  0.000000000, sequence: 0
source 0 - assert 1763364997.000010066, sequence: 3745 - clear  0.000000000, sequence: 0
source 0 - assert 1763364998.000008771, sequence: 3746 - clear  0.000000000, sequence: 0
source 0 - assert 1763364999.000004398, sequence: 3747 - clear  0.000000000, sequence: 0
source 0 - assert 1763365000.000006570, sequence: 3748 - clear  0.000000000, sequence: 0
source 0 - assert 1763365001.000008390, sequence: 3749 - clear  0.000000000, sequence: 0
source 0 - assert 1763365002.000006465, sequence: 3750 - clear  0.000000000, sequence: 0
source 0 - assert 1763365003.000005310, sequence: 3751 - clear  0.000000000, sequence: 0
source 0 - assert 1763365004.000007857, sequence: 3752 - clear  0.000000000, sequence: 0
source 0 - assert 1763365005.000009907, sequence: 3753 - clear  0.000000000, sequence: 0
source 0 - assert 1763365006.000009247, sequence: 3754 - clear  0.000000000, sequence: 0
source 0 - assert 1763365007.000005915, sequence: 3755 - clear  0.000000000, sequence: 0
source 0 - assert 1763365008.000005245, sequence: 3756 - clear  0.000000000, sequence: 0
source 0 - assert 1763365009.000011049, sequence: 3757 - clear  0.000000000, sequence: 0
source 0 - assert 1763365010.000006915, sequence: 3758 - clear  0.000000000, sequence: 0
source 0 - assert 1763365011.000010286, sequence: 3759 - clear  0.000000000, sequence: 0
source 0 - assert 1763365012.000005411, sequence: 3760 - clear  0.000000000, sequence: 0
source 0 - assert 1763365013.000008791, sequence: 3761 - clear  0.000000000, sequence: 0
source 0 - assert 1763365014.000011325, sequence: 3762 - clear  0.000000000, sequence: 0
source 0 - assert 1763365015.000008820, sequence: 3763 - clear  0.000000000, sequence: 0
source 0 - assert 1763365016.000006616, sequence: 3764 - clear  0.000000000, sequence: 0
source 0 - assert 1763365017.000008862, sequence: 3765 - clear  0.000000000, sequence: 0
source 0 - assert 1763365018.000006286, sequence: 3766 - clear  0.000000000, sequence: 0
source 0 - assert 1763365019.000006917, sequence: 3767 - clear  0.000000000, sequence: 0
source 0 - assert 1763365020.000007712, sequence: 3768 - clear  0.000000000, sequence: 0
source 0 - assert 1763365021.000009160, sequence: 3769 - clear  0.000000000, sequence: 0
source 0 - assert 1763365022.000007694, sequence: 3770 - clear  0.000000000, sequence: 0
source 0 - assert 1763365023.000007904, sequence: 3771 - clear  0.000000000, sequence: 0
source 0 - assert 1763365024.000009625, sequence: 3772 - clear  0.000000000, sequence: 0
source 0 - assert 1763365025.000006421, sequence: 3773 - clear  0.000000000, sequence: 0
source 0 - assert 1763365026.000012324, sequence: 3774 - clear  0.000000000, sequence: 0
source 0 - assert 1763365027.000006816, sequence: 3775 - clear  0.000000000, sequence: 0
source 0 - assert 1763365028.000006662, sequence: 3776 - clear  0.000000000, sequence: 0
source 0 - assert 1763365029.000003879, sequence: 3777 - clear  0.000000000, sequence: 0
source 0 - assert 1763365030.000008594, sequence: 3778 - clear  0.000000000, sequence: 0
source 0 - assert 1763365031.000007835, sequence: 3779 - clear  0.000000000, sequence: 0
source 0 - assert 1763365032.000010159, sequence: 3780 - clear  0.000000000, sequence: 0
source 0 - assert 1763365033.000007830, sequence: 3781 - clear  0.000000000, sequence: 0
source 0 - assert 1763365034.000007714, sequence: 3782 - clear  0.000000000, sequence: 0
source 0 - assert 1763365035.000011093, sequence: 3783 - clear  0.000000000, sequence: 0
source 0 - assert 1763365036.000009371, sequence: 3784 - clear  0.000000000, sequence: 0
source 0 - assert 1763365037.000010026, sequence: 3785 - clear  0.000000000, sequence: 0
source 0 - assert 1763365038.000008573, sequence: 3786 - clear  0.000000000, sequence: 0
source 0 - assert 1763365039.000006665, sequence: 3787 - clear  0.000000000, sequence: 0
source 0 - assert 1763365040.000008669, sequence: 3788 - clear  0.000000000, sequence: 0
