trying PPS source "/dev/pps0"
found PPS source "/dev/pps0"
ok, found 1 source(s), now start fetching data...
source 0 - assert 1763365703.000009373, sequence: 4451 - clear  0.000000000, sequence: 0
source 0 - assert 1763365704.000009453, sequence: 4452 - clear  0.000000000, sequence: 0
source 0 - assert 1763365705.000008760, sequence: 4453 - clear  0.000000000, sequence: 0
source 0 - assert 1763365706.000003165, sequence: 4454 - clear  0.000000000, sequence: 0
source 0 - assert 1763365707.000007372, sequence: 4455 - clear  0.000000000, sequence: 0
source 0 - assert 1763365708.000007406, sequence: 4456 - clear  0.000000000, sequence: 0
source 0 - assert 1763365709.000008738, sequence: 4457 - clear  0.000000000, sequence: 0
source 0 - assert 1763365710.000004783, sequence: 4458 - clear  0.000000000, sequence: 0
source 0 - assert 1763365711.000004160, sequence: 4459 - clear  0.000000000, sequence: 0
source 0 - assert 1763365712.000006824, sequence: 4460 - clear  0.000000000, sequence: 0
source 0 - assert 1763365713.000007286, sequence: 4461 - clear  0.000000000, sequence: 0
source 0 - assert 1763365714.000010210, sequence: 4462 - clear  0.000000000, sequence: 0
source 0 - assert 1763365715.000005046, sequence: 4463 - clear  0.000000000, sequence: 0
source 0 - assert 1763365716.000006040, sequence: 4464 - clear  0.000000000, sequence: 0
source 0 - assert 1763365717.000006539, sequence: 4465 - clear  0.000000000, sequence: 0
source 0 - assert 1763365718.000008277, sequence: 4466 - clear  0.000000000, sequence: 0
source 0 - assert 1763365719.000005936, sequence: 4467 - clear  0.000000000, sequence: 0
source 0 - assert 1763365720.000008072, sequence: 4468 - clear  0.000000000, sequence: 0
source 0 - assert 1763365721.000004046, sequence: 4469 - clear  0.000000000, sequence: 0
source 0 - assert 1763365722.000008165, sequence: 4470 - clear  0.000000000, sequence: 0
source 0 - assert 1763365723.000009974, sequence: 4471 - clear  0.000000000, sequence: 0
source 0 - assert 1763365724.000008393, sequence: 4472 - clear  0.000000000, sequence: 0
source 0 - assert 1763365725.000009239, sequence: 4473 - clear  0.000000000, sequence: 0
source 0 - assert 1763365726.000008574, sequence: 4474 - clear  0.000000000, sequence: 0
source 0 - assert 1763365727.000008702, sequence: 4475 - clear  0.000000000, sequence: 0
