trying PPS source "/dev/pps0"
found PPS source "/dev/pps0"
ok, found 1 source(s), now start fetching data...
source 0 - assert 1763366810.000009950, sequence: 5558 - clear  0.000000000, sequence: 0
source 0 - assert 1763366811.000008682, sequence: 5559 - clear  0.000000000, sequence: 0
source 0 - assert 1763366812.000005678, sequence: 5560 - clear  0.000000000, sequence: 0
source 0 - assert 1763366813.000006456, sequence: 5561 - clear  0.000000000, sequence: 0
source 0 - assert 1763366814.000009914, sequence: 5562 - clear  0.000000000, sequence: 0
source 0 - assert 1763366815.000010501, sequence: 5563 - clear  0.000000000, sequence: 0
source 0 - assert 1763366816.000011297, sequence: 5564 - clear  0.000000000, sequence: 0
source 0 - assert 1763366817.000006179, sequence: 5565 - clear  0.000000000, sequence: 0
source 0 - assert 1763366818.000006265, sequence: 5566 - clear  0.000000000, sequence: 0
source 0 - assert 1763366819.000007953, sequence: 5567 - clear  0.000000000, sequence: 0
source 0 - assert 1763366820.000011209, sequence: 5568 - clear  0.000000000, sequence: 0
source 0 - assert 1763366821.000010598, sequence: 5569 - clear  0.000000000, sequence: 0
source 0 - assert 1763366822.000007803, sequence: 5570 - clear  0.000000000, sequence: 0
source 0 - assert 1763366823.000004159, sequence: 5571 - clear  0.000000000, sequence: 0
source 0 - assert 1763366824.000007262, sequence: 5572 - clear  0.000000000, sequence: 0
source 0 - assert 1763366825.000008901, sequence: 5573 - clear  0.000000000, sequence: 0
source 0 - assert 1763366826.000009080, sequence: 5574 - clear  0.000000000, sequence: 0
source 0 - assert 1763366827.000008909, sequence: 5575 - clear  0.000000000, sequence: 0
source 0 - assert 1763366828.000011116, sequence: 5576 - clear  0.000000000, sequence: 0
source 0 - assert 1763366829.000006944, sequence: 5577 - clear  0.000000000, sequence: 0
source 0 - assert 1763366830.000004324, sequence: 5578 - clear  0.000000000, sequence: 0
source 0 - assert 1763366831.000009535, sequence: 5579 - clear  0.000000000, sequence: 0
source 0 - assert 1763366832.000010777, sequence: 5580 - clear  0.000000000, sequence: 0
source 0 - assert 1763366833.000009087, sequence: 5581 - clear  0.000000000, sequence: 0
source 0 - assert 1763366834.000007174, sequence: 5582 - clear  0.000000000, sequence: 0
source 0 - assert 1763366835.000005619, sequence: 5583 - clear  0.000000000, sequence: 0
source 0 - assert 1763366836.000010198, sequence: 5584 - clear  0.000000000, sequence: 0
source 0 - assert 1763366837.000005284, sequence: 5585 - clear  0.000000000, sequence: 0
source 0 - assert 1763366838.000009206, sequence: 5586 - clear  0.000000000, sequence: 0
source 0 - assert 1763366839.000009362, sequence: 5587 - clear  0.000000000, sequence: 0
source 0 - assert 1763366840.000004115, sequence: 5588 - clear  0.000000000, sequence: 0
source 0 - assert 1763366841.000011287, sequence: 5589 - clear  0.000000000, sequence: 0
source 0 - assert 1763366842.000009560, sequence: 5590 - clear  0.000000000, sequence: 0
source 0 - assert 1763366843.000009729, sequence: 5591 - clear  0.000000000, sequence: 0
source 0 - assert 1763366844.000008505, sequence: 5592 - clear  0.000000000, sequence: 0
source 0 - assert 1763366845.000004581, sequence: 5593 - clear  0.000000000, sequence: 0
source 0 - assert 1763366846.000004644, sequence: 5594 - clear  0.000000000, sequence: 0
source 0 - assert 1763366847.000007241, sequence: 5595 - clear  0.000000000, sequence: 0
source 0 - assert 1763366848.000007994, sequence: 5596 - clear  0.000000000, sequence: 0
source 0 - assert 1763366849.000008042, sequence: 5597 - clear  0.000000000, sequence: 0
source 0 - assert 1763366850.000010539, sequence: 5598 - clear  0.000000000, sequence: 0
source 0 - assert 1763366851.000005576, sequence: 5599 - clear  0.000000000, sequence: 0
source 0 - assert 1763366852.000008661, sequence: 5600 - clear  0.000000000, sequence: 0
source 0 - assert 1763366853.000006788, sequence: 5601 - clear  0.000000000, sequence: 0
source 0 - assert 1763366854.000006716, sequence: 5602 - clear  0.000000000, sequence: 0
source 0 - assert 1763366855.000008715, sequence: 5603 - clear  0.000000000, sequence: 0
