ptp4l[606709.589]: selected /dev/ptp0 as PTP clock
ptp4l[606709.595]: port 1 (eth0): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[606709.597]: port 0 (/var/run/ptp4l): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[606709.599]: port 0 (/var/run/ptp4lro): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[606709.643]: timeguard: registered, proxy_id=0xd9f3480485ebba2d

ptp4l[606709.644]: TG_CMD_SET_TIME InvokeCommand result: 0x0

ptp4l[606716.354]: selected local clock 000000.fffe.049f06 as best master
ptp4l[606716.355]: TEE: InvokeCommand returned 0x0

ptp4l[606716.357]: TEE: InvokeCommand returned 0x0

ptp4l[606716.358]: TEE: DECIDE OK -> decided_state=4 (ps_out=4)

ptp4l[606717.116]: port 1 (eth0): new foreign master 641c10.fffe.f12579-1
ptp4l[606721.130]: selected best master clock 641c10.fffe.f12579
ptp4l[606721.132]: TEE: InvokeCommand returned 0x0

ptp4l[606721.133]: TEE: InvokeCommand returned 0x0

ptp4l[606721.134]: TEE: DECIDE OK -> decided_state=9 (ps_out=9)

ptp4l[606721.134]: port 1 (eth0): LISTENING to UNCALIBRATED on RS_SLAVE
ptp4l[606724.122]: master offset        414 s0 freq  -81272 path delay       897
ptp4l[606725.120]: master offset        596 s2 freq  -81090 path delay       897
ptp4l[606725.122]: port 1 (eth0): UNCALIBRATED to SLAVE on MASTER_CLOCK_SELECTED
ptp4l[606726.120]: master offset       1693 s2 freq  -79397 path delay       897
ptp4l[606727.120]: master offset       2674 s2 freq  -77908 path delay       897
ptp4l[606728.123]: master offset        501 s2 freq  -79279 path delay       897
ptp4l[606729.123]: master offset       1574 s2 freq  -78056 path delay       897
ptp4l[606730.121]: master offset       1887 s2 freq  -77270 path delay       897
ptp4l[606731.123]: master offset       -785 s2 freq  -79376 path delay       897
ptp4l[606732.121]: master offset       1369 s2 freq  -77458 path delay       535
ptp4l[606733.123]: master offset      -1181 s2 freq  -79597 path delay       716
ptp4l[606734.123]: master offset       1356 s2 freq  -77414 path delay       325
ptp4l[606735.117]: master offset       3895 s2 freq  -74469 path delay       467
ptp4l[606736.117]: master offset       1307 s2 freq  -75888 path delay       467
ptp4l[606737.124]: master offset      -2448 s2 freq  -79251 path delay       467
ptp4l[606738.123]: master offset       2793 s2 freq  -74744 path delay       404
ptp4l[606739.124]: master offset      -1919 s2 freq  -78618 path delay       404
ptp4l[606740.118]: master offset       3647 s2 freq  -73628 path delay       -15
ptp4l[606741.125]: master offset      -2067 s2 freq  -78248 path delay       -15
ptp4l[606742.122]: master offset       3387 s2 freq  -73414 path delay      -141
