ptp4l[608235.646]: selected /dev/ptp0 as PTP clock
ptp4l[608235.655]: port 1 (eth0): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[608235.657]: port 0 (/var/run/ptp4l): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[608235.659]: port 0 (/var/run/ptp4lro): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[608235.702]: timeguard: registered, proxy_id=0x51dab7cbdaa71cb2

ptp4l[608235.703]: TG_CMD_SET_TIME InvokeCommand result: 0x0

ptp4l[608242.032]: port 1 (eth0): new foreign master 641c10.fffe.f12579-1
ptp4l[608243.120]: selected local clock 000000.fffe.049f06 as best master
ptp4l[608243.121]: TEE: InvokeCommand returned 0x0

ptp4l[608243.123]: TEE: InvokeCommand returned 0x0

ptp4l[608243.124]: TEE: DECIDE OK -> decided_state=4 (ps_out=4)

ptp4l[608246.044]: selected best master clock 641c10.fffe.f12579
ptp4l[608246.044]: TEE: InvokeCommand returned 0x0

ptp4l[608246.045]: TEE: InvokeCommand returned 0x0

ptp4l[608246.046]: TEE: DECIDE OK -> decided_state=9 (ps_out=9)

ptp4l[608246.046]: port 1 (eth0): LISTENING to UNCALIBRATED on RS_SLAVE
ptp4l[608248.036]: master offset       1119 s0 freq  -81191 path delay       899
ptp4l[608249.032]: master offset       4229 s2 freq  -78081 path delay       901
ptp4l[608249.033]: port 1 (eth0): UNCALIBRATED to SLAVE on MASTER_CLOCK_SELECTED
ptp4l[608250.038]: master offset       2181 s2 freq  -75900 path delay       901
ptp4l[608251.038]: master offset       -585 s2 freq  -78012 path delay       899
ptp4l[608252.036]: master offset       1280 s2 freq  -76322 path delay       897
ptp4l[608253.039]: master offset      -2424 s2 freq  -79642 path delay       899
ptp4l[608254.039]: master offset      -2776 s2 freq  -80721 path delay       899
ptp4l[608255.039]: master offset      -1947 s2 freq  -80725 path delay       866
ptp4l[608256.039]: master offset      -1058 s2 freq  -80420 path delay       833
ptp4l[608257.034]: master offset       7422 s2 freq  -72258 path delay       768
ptp4l[608258.037]: master offset       5516 s2 freq  -71937 path delay       862
ptp4l[608259.039]: master offset      -2256 s2 freq  -78054 path delay       862
ptp4l[608260.038]: master offset        365 s2 freq  -76110 path delay       841
ptp4l[608261.037]: master offset      -3469 s2 freq  -79835 path delay      1375
ptp4l[608262.040]: master offset      -3189 s2 freq  -80595 path delay      1382
