ptp4l[612165.955]: selected /dev/ptp0 as PTP clock
ptp4l[612165.961]: port 1 (eth0): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[612165.963]: port 0 (/var/run/ptp4l): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[612165.965]: port 0 (/var/run/ptp4lro): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[612166.009]: timeguard: registered, proxy_id=0xeb3a50522cc58585

ptp4l[612166.010]: TG_CMD_SET_TIME InvokeCommand result: 0x0

ptp4l[612171.711]: port 1 (eth0): new foreign master 641c10.fffe.f12579-1
ptp4l[612172.090]: selected local clock 000000.fffe.049f06 as best master
ptp4l[612172.091]: TEE: InvokeCommand returned 0x0

ptp4l[612172.093]: TEE: InvokeCommand returned 0x0

ptp4l[612172.094]: TEE: DECIDE OK -> decided_state=4 (ps_out=4)

ptp4l[612175.725]: selected best master clock 641c10.fffe.f12579
ptp4l[612175.726]: TEE: InvokeCommand returned 0x0

ptp4l[612175.728]: TEE: InvokeCommand returned 0x0

ptp4l[612175.728]: TEE: DECIDE OK -> decided_state=9 (ps_out=9)

ptp4l[612175.730]: port 1 (eth0): LISTENING to UNCALIBRATED on RS_SLAVE
ptp4l[612177.715]: master offset       1512 s0 freq  -81288 path delay       894
ptp4l[612178.717]: master offset       1551 s2 freq  -81249 path delay       894
ptp4l[612178.721]: port 1 (eth0): UNCALIBRATED to SLAVE on MASTER_CLOCK_SELECTED
ptp4l[612179.716]: master offset      12193 s2 freq  -69056 path delay       893
ptp4l[612180.718]: master offset       1136 s2 freq  -76455 path delay       893
ptp4l[612181.716]: master offset      61544 s2 freq  -15706 path delay       892
ptp4l[612182.716]: master offset      69102 s2 freq  +10315 path delay       893
ptp4l[612183.716]: master offset     144789 s2 freq +106733 path delay       899
ptp4l[612184.716]: master offset     708068 s2 freq +713448 path delay       905
ptp4l[612185.719]: master offset      59898 s2 freq +277699 path delay      1182
ptp4l[612186.722]: master offset    -308992 s2 freq  -73222 path delay      7683
ptp4l[612187.721]: master offset    -322045 s2 freq -178972 path delay      9759
ptp4l[612188.717]: master offset      12254 s2 freq  +58713 path delay      9759
ptp4l[612189.725]: master offset     -65777 s2 freq  -15642 path delay     22812
ptp4l[612190.714]: master offset     -64477 s2 freq  -34075 path delay     26483
ptp4l[612191.722]: master offset     -45400 s2 freq  -34341 path delay     14087
ptp4l[612192.718]: master offset     -36546 s2 freq  -39107 path delay     12659
ptp4l[612193.722]: master offset     -14926 s2 freq  -28451 path delay     12659
ptp4l[612194.721]: master offset     -17905 s2 freq  -35908 path delay     11854
ptp4l[612195.725]: master offset     -18513 s2 freq  -41887 path delay     11854
ptp4l[612196.718]: master offset      40003 s2 freq  +11075 path delay     11854
ptp4l[612197.716]: master offset     -49882 s2 freq  -66809 path delay     11854
ptp4l[612198.719]: master offset     -14030 s2 freq  -45922 path delay      8928
ptp4l[612199.723]: master offset      35009 s2 freq   -1092 path delay      8928
ptp4l[612200.719]: master offset     -20993 s2 freq  -46591 path delay      8928
ptp4l[612201.725]: master offset     -53600 s2 freq  -85496 path delay      8928
ptp4l[612202.719]: master offset      40311 s2 freq   -7665 path delay      2633
ptp4l[612203.725]: master offset     -30080 s2 freq  -65963 path delay      2633
ptp4l[612204.722]: master offset      38604 s2 freq   -6303 path delay      2633
ptp4l[612205.726]: master offset      32774 s2 freq    -551 path delay     -3360
ptp4l[612206.722]: master offset      78786 s2 freq  +55293 path delay      9048
ptp4l[612207.723]: master offset     -54200 s2 freq  -54057 path delay      9048
ptp4l[612208.720]: master offset      21520 s2 freq   +5403 path delay      9048
ptp4l[612209.726]: master offset     -61406 s2 freq  -71067 path delay      9048
ptp4l[612210.723]: master offset     -45665 s2 freq  -73748 path delay      3052
ptp4l[612211.726]: master offset      85448 s2 freq  +43665 path delay     -9974
ptp4l[612212.723]: master offset        -28 s2 freq  -16176 path delay     -9974
ptp4l[612213.725]: master offset       -837 s2 freq  -16994 path delay     -7557
ptp4l[612214.723]: master offset     -61107 s2 freq  -77515 path delay     -7557
ptp4l[612215.724]: master offset     117988 s2 freq  +83248 path delay     -7557
ptp4l[612216.724]: master offset     -40513 s2 freq  -39856 path delay     -7557
ptp4l[612217.724]: master offset     198464 s2 freq +186967 path delay    -19186
ptp4l[612218.722]: master offset     514522 s2 freq +562564 path delay     -3822
ptp4l[612219.726]: master offset    -121932 s2 freq  +80466 path delay     -3822
ptp4l[612220.724]: master offset      -5535 s2 freq +160284 path delay    -19186
ptp4l[612221.726]: master offset    -241152 s2 freq  -76994 path delay    -19186
ptp4l[612222.722]: master offset     553673 s2 freq +645486 path delay    -20731
ptp4l[612223.727]: master offset    -167465 s2 freq  +90450 path delay    -16155
ptp4l[612224.724]: master offset    -341232 s2 freq -133557 path delay    -14966
ptp4l[612225.727]: master offset    -287584 s2 freq -182278 path delay     -8902
ptp4l[612226.725]: master offset     -88543 s2 freq  -69513 path delay     -8902
ptp4l[612227.727]: master offset     870007 s2 freq +862474 path delay    -26999
ptp4l[612228.726]: master offset     -44965 s2 freq +208505 path delay    -26999
ptp4l[612229.728]: master offset    -392873 s2 freq -152893 path delay     31544
ptp4l[612230.725]: master offset    -251572 s2 freq -129454 path delay     31544
ptp4l[612231.727]: master offset      48378 s2 freq  +95025 path delay      4560
ptp4l[612232.725]: master offset     330287 s2 freq +391447 path delay      4560
ptp4l[612233.725]: master offset    -103754 s2 freq  +56492 path delay      4560
ptp4l[612234.726]: master offset     499710 s2 freq +628830 path delay      4560
ptp4l[612235.725]: master offset    -182474 s2 freq  +96559 path delay      6048
ptp4l[612236.723]: master offset    -415133 s2 freq -190842 path delay     65652
ptp4l[612237.727]: master offset    -297648 s2 freq -197897 path delay     65652
ptp4l[612238.726]: master offset     649578 s2 freq +660034 path delay    -34642
ptp4l[612239.721]: master offset     521606 s2 freq +726936 path delay     32811
ptp4l[612240.726]: master offset    -278041 s2 freq  +83771 path delay     32811
ptp4l[612241.726]: master offset    -445646 s2 freq -167247 path delay     41312
