trying PPS source "/dev/pps0"
found PPS source "/dev/pps0"
ok, found 1 source(s), now start fetching data...
source 0 - assert 1763361314.000011255, sequence: 150337 - clear  0.000000000, sequence: 0
source 0 - assert 1763361315.000009978, sequence: 150338 - clear  0.000000000, sequence: 0
source 0 - assert 1763361316.000010355, sequence: 150339 - clear  0.000000000, sequence: 0
source 0 - assert 1763361317.000010012, sequence: 150340 - clear  0.000000000, sequence: 0
source 0 - assert 1763361318.000009216, sequence: 150341 - clear  0.000000000, sequence: 0
source 0 - assert 1763361319.000011526, sequence: 150342 - clear  0.000000000, sequence: 0
source 0 - assert 1763361320.000010391, sequence: 150343 - clear  0.000000000, sequence: 0
source 0 - assert 1763361321.000005150, sequence: 150344 - clear  0.000000000, sequence: 0
source 0 - assert 1763361322.000011990, sequence: 150345 - clear  0.000000000, sequence: 0
source 0 - assert 1763361323.000013366, sequence: 150346 - clear  0.000000000, sequence: 0
source 0 - assert 1763361324.000014967, sequence: 150347 - clear  0.000000000, sequence: 0
source 0 - assert 1763361325.000016849, sequence: 150348 - clear  0.000000000, sequence: 0
source 0 - assert 1763361326.000018444, sequence: 150349 - clear  0.000000000, sequence: 0
source 0 - assert 1763361327.000018606, sequence: 150350 - clear  0.000000000, sequence: 0
source 0 - assert 1763361328.000020234, sequence: 150351 - clear  0.000000000, sequence: 0
source 0 - assert 1763361329.000020505, sequence: 150352 - clear  0.000000000, sequence: 0
source 0 - assert 1763361330.000020883, sequence: 150353 - clear  0.000000000, sequence: 0
source 0 - assert 1763361331.000029297, sequence: 150354 - clear  0.000000000, sequence: 0
source 0 - assert 1763361332.000032188, sequence: 150355 - clear  0.000000000, sequence: 0
source 0 - assert 1763361333.000028573, sequence: 150356 - clear  0.000000000, sequence: 0
source 0 - assert 1763361334.000035770, sequence: 150357 - clear  0.000000000, sequence: 0
source 0 - assert 1763361335.000033589, sequence: 150358 - clear  0.000000000, sequence: 0
source 0 - assert 1763361336.000041547, sequence: 150359 - clear  0.000000000, sequence: 0
source 0 - assert 1763361337.000042663, sequence: 150360 - clear  0.000000000, sequence: 0
source 0 - assert 1763361338.000062555, sequence: 150361 - clear  0.000000000, sequence: 0
source 0 - assert 1763361339.000061691, sequence: 150362 - clear  0.000000000, sequence: 0
source 0 - assert 1763361340.000053123, sequence: 150363 - clear  0.000000000, sequence: 0
source 0 - assert 1763361341.000061540, sequence: 150364 - clear  0.000000000, sequence: 0
source 0 - assert 1763361342.000059781, sequence: 150365 - clear  0.000000000, sequence: 0
source 0 - assert 1763361343.000060477, sequence: 150366 - clear  0.000000000, sequence: 0
source 0 - assert 1763361344.000064133, sequence: 150367 - clear  0.000000000, sequence: 0
source 0 - assert 1763361345.000062495, sequence: 150368 - clear  0.000000000, sequence: 0
source 0 - assert 1763361346.000066285, sequence: 150369 - clear  0.000000000, sequence: 0
source 0 - assert 1763361347.000072286, sequence: 150370 - clear  0.000000000, sequence: 0
source 0 - assert 1763361348.000077766, sequence: 150371 - clear  0.000000000, sequence: 0
source 0 - assert 1763361349.000083010, sequence: 150372 - clear  0.000000000, sequence: 0
source 0 - assert 1763361350.000085364, sequence: 150373 - clear  0.000000000, sequence: 0
source 0 - assert 1763361351.000097900, sequence: 150374 - clear  0.000000000, sequence: 0
source 0 - assert 1763361352.000103829, sequence: 150375 - clear  0.000000000, sequence: 0
source 0 - assert 1763361353.000101618, sequence: 150376 - clear  0.000000000, sequence: 0
source 0 - assert 1763361354.000103460, sequence: 150377 - clear  0.000000000, sequence: 0
source 0 - assert 1763361355.000123749, sequence: 150378 - clear  0.000000000, sequence: 0
source 0 - assert 1763361356.000122129, sequence: 150379 - clear  0.000000000, sequence: 0
source 0 - assert 1763361357.000122082, sequence: 150380 - clear  0.000000000, sequence: 0
source 0 - assert 1763361358.000122456, sequence: 150381 - clear  0.000000000, sequence: 0
source 0 - assert 1763361359.000129437, sequence: 150382 - clear  0.000000000, sequence: 0
source 0 - assert 1763361360.000132350, sequence: 150383 - clear  0.000000000, sequence: 0
source 0 - assert 1763361361.000142277, sequence: 150384 - clear  0.000000000, sequence: 0
source 0 - assert 1763361362.000147433, sequence: 150385 - clear  0.000000000, sequence: 0
source 0 - assert 1763361363.000146318, sequence: 150386 - clear  0.000000000, sequence: 0
source 0 - assert 1763361364.000141997, sequence: 150387 - clear  0.000000000, sequence: 0
source 0 - assert 1763361365.000153345, sequence: 150388 - clear  0.000000000, sequence: 0
source 0 - assert 1763361366.000166139, sequence: 150389 - clear  0.000000000, sequence: 0
source 0 - assert 1763361367.000166940, sequence: 150390 - clear  0.000000000, sequence: 0
source 0 - assert 1763361368.000175292, sequence: 150391 - clear  0.000000000, sequence: 0
source 0 - assert 1763361369.000180859, sequence: 150392 - clear  0.000000000, sequence: 0
source 0 - assert 1763361370.000189363, sequence: 150393 - clear  0.000000000, sequence: 0
source 0 - assert 1763361371.000195237, sequence: 150394 - clear  0.000000000, sequence: 0
source 0 - assert 1763361372.000199804, sequence: 150395 - clear  0.000000000, sequence: 0
source 0 - assert 1763361373.000207420, sequence: 150396 - clear  0.000000000, sequence: 0
source 0 - assert 1763361374.000213971, sequence: 150397 - clear  0.000000000, sequence: 0
source 0 - assert 1763361375.000219119, sequence: 150398 - clear  0.000000000, sequence: 0
source 0 - assert 1763361376.000231386, sequence: 150399 - clear  0.000000000, sequence: 0
