trying PPS source "/dev/pps0"
found PPS source "/dev/pps0"
ok, found 1 source(s), now start fetching data...
source 0 - assert 1763362853.000008421, sequence: 151847 - clear  0.000000000, sequence: 0
source 0 - assert 1763362854.000011725, sequence: 151848 - clear  0.000000000, sequence: 0
source 0 - assert 1763362855.000010405, sequence: 151849 - clear  0.000000000, sequence: 0
source 0 - assert 1763362856.000009998, sequence: 151850 - clear  0.000000000, sequence: 0
source 0 - assert 1763362857.000010649, sequence: 151851 - clear  0.000000000, sequence: 0
source 0 - assert 1763362858.000011243, sequence: 151852 - clear  0.000000000, sequence: 0
source 0 - assert 1763362859.000012199, sequence: 151853 - clear  0.000000000, sequence: 0
source 0 - assert 1763362860.000016576, sequence: 151854 - clear  0.000000000, sequence: 0
source 0 - assert 1763362861.000015187, sequence: 151855 - clear  0.000000000, sequence: 0
source 0 - assert 1763362862.000020706, sequence: 151856 - clear  0.000000000, sequence: 0
source 0 - assert 1763362863.000021236, sequence: 151857 - clear  0.000000000, sequence: 0
source 0 - assert 1763362864.000018488, sequence: 151858 - clear  0.000000000, sequence: 0
source 0 - assert 1763362865.000016771, sequence: 151859 - clear  0.000000000, sequence: 0
source 0 - assert 1763362866.000016770, sequence: 151860 - clear  0.000000000, sequence: 0
source 0 - assert 1763362867.000026235, sequence: 151861 - clear  0.000000000, sequence: 0
source 0 - assert 1763362868.000036518, sequence: 151862 - clear  0.000000000, sequence: 0
source 0 - assert 1763362869.000032367, sequence: 151863 - clear  0.000000000, sequence: 0
source 0 - assert 1763362870.000038480, sequence: 151864 - clear  0.000000000, sequence: 0
source 0 - assert 1763362871.000036886, sequence: 151865 - clear  0.000000000, sequence: 0
source 0 - assert 1763362872.000035830, sequence: 151866 - clear  0.000000000, sequence: 0
source 0 - assert 1763362873.000039601, sequence: 151867 - clear  0.000000000, sequence: 0
source 0 - assert 1763362874.000042432, sequence: 151868 - clear  0.000000000, sequence: 0
source 0 - assert 1763362875.000051450, sequence: 151869 - clear  0.000000000, sequence: 0
source 0 - assert 1763362876.000051357, sequence: 151870 - clear  0.000000000, sequence: 0
source 0 - assert 1763362877.000051943, sequence: 151871 - clear  0.000000000, sequence: 0
source 0 - assert 1763362878.000051736, sequence: 151872 - clear  0.000000000, sequence: 0
source 0 - assert 1763362879.000053491, sequence: 151873 - clear  0.000000000, sequence: 0
source 0 - assert 1763362880.000054235, sequence: 151874 - clear  0.000000000, sequence: 0
source 0 - assert 1763362881.000053853, sequence: 151875 - clear  0.000000000, sequence: 0
source 0 - assert 1763362882.000057833, sequence: 151876 - clear  0.000000000, sequence: 0
source 0 - assert 1763362883.000058924, sequence: 151877 - clear  0.000000000, sequence: 0
source 0 - assert 1763362884.000068747, sequence: 151878 - clear  0.000000000, sequence: 0
source 0 - assert 1763362885.000069945, sequence: 151879 - clear  0.000000000, sequence: 0
source 0 - assert 1763362886.000079094, sequence: 151880 - clear  0.000000000, sequence: 0
source 0 - assert 1763362887.000076468, sequence: 151881 - clear  0.000000000, sequence: 0
source 0 - assert 1763362888.000070779, sequence: 151882 - clear  0.000000000, sequence: 0
source 0 - assert 1763362889.000070928, sequence: 151883 - clear  0.000000000, sequence: 0
source 0 - assert 1763362890.000080429, sequence: 151884 - clear  0.000000000, sequence: 0
source 0 - assert 1763362891.000086950, sequence: 151885 - clear  0.000000000, sequence: 0
source 0 - assert 1763362892.000092715, sequence: 151886 - clear  0.000000000, sequence: 0
source 0 - assert 1763362893.000090895, sequence: 151887 - clear  0.000000000, sequence: 0
source 0 - assert 1763362894.000086498, sequence: 151888 - clear  0.000000000, sequence: 0
source 0 - assert 1763362895.000093366, sequence: 151889 - clear  0.000000000, sequence: 0
source 0 - assert 1763362896.000100225, sequence: 151890 - clear  0.000000000, sequence: 0
source 0 - assert 1763362897.000106350, sequence: 151891 - clear  0.000000000, sequence: 0
source 0 - assert 1763362898.000104916, sequence: 151892 - clear  0.000000000, sequence: 0
source 0 - assert 1763362899.000101630, sequence: 151893 - clear  0.000000000, sequence: 0
source 0 - assert 1763362900.000100412, sequence: 151894 - clear  0.000000000, sequence: 0
source 0 - assert 1763362901.000100520, sequence: 151895 - clear  0.000000000, sequence: 0
source 0 - assert 1763362902.000104179, sequence: 151896 - clear  0.000000000, sequence: 0
source 0 - assert 1763362903.000114525, sequence: 151897 - clear  0.000000000, sequence: 0
source 0 - assert 1763362904.000115121, sequence: 151898 - clear  0.000000000, sequence: 0
source 0 - assert 1763362905.000112222, sequence: 151899 - clear  0.000000000, sequence: 0
source 0 - assert 1763362906.000108972, sequence: 151900 - clear  0.000000000, sequence: 0
source 0 - assert 1763362907.000123310, sequence: 151901 - clear  0.000000000, sequence: 0
source 0 - assert 1763362908.000137332, sequence: 151902 - clear  0.000000000, sequence: 0
source 0 - assert 1763362909.000206845, sequence: 151903 - clear  0.000000000, sequence: 0
source 0 - assert 1763362910.000204794, sequence: 151904 - clear  0.000000000, sequence: 0
source 0 - assert 1763362911.000176656, sequence: 151905 - clear  0.000000000, sequence: 0
