trying PPS source "/dev/pps0"
found PPS source "/dev/pps0"
ok, found 1 source(s), now start fetching data...
source 0 - assert 1763363778.000011185, sequence: 152735 - clear  0.000000000, sequence: 0
source 0 - assert 1763363779.000005527, sequence: 152736 - clear  0.000000000, sequence: 0
source 0 - assert 1763363780.000011145, sequence: 152737 - clear  0.000000000, sequence: 0
source 0 - assert 1763363781.000010475, sequence: 152738 - clear  0.000000000, sequence: 0
source 0 - assert 1763363782.000011543, sequence: 152739 - clear  0.000000000, sequence: 0
source 0 - assert 1763363783.000011300, sequence: 152740 - clear  0.000000000, sequence: 0
source 0 - assert 1763363784.000008261, sequence: 152741 - clear  0.000000000, sequence: 0
source 0 - assert 1763363785.000006374, sequence: 152742 - clear  0.000000000, sequence: 0
source 0 - assert 1763363786.000008378, sequence: 152743 - clear  0.000000000, sequence: 0
source 0 - assert 1763363787.000009727, sequence: 152744 - clear  0.000000000, sequence: 0
source 0 - assert 1763363788.000010308, sequence: 152745 - clear  0.000000000, sequence: 0
source 0 - assert 1763363789.000010152, sequence: 152746 - clear  0.000000000, sequence: 0
source 0 - assert 1763363790.000010134, sequence: 152747 - clear  0.000000000, sequence: 0
source 0 - assert 1763363791.000009661, sequence: 152748 - clear  0.000000000, sequence: 0
source 0 - assert 1763363792.000008918, sequence: 152749 - clear  0.000000000, sequence: 0
source 0 - assert 1763363793.000008251, sequence: 152750 - clear  0.000000000, sequence: 0
source 0 - assert 1763363794.000007459, sequence: 152751 - clear  0.000000000, sequence: 0
source 0 - assert 1763363795.000022321, sequence: 152752 - clear  0.000000000, sequence: 0
source 0 - assert 1763363796.000009532, sequence: 152753 - clear  0.000000000, sequence: 0
source 0 - assert 1763363797.000004938, sequence: 152754 - clear  0.000000000, sequence: 0
source 0 - assert 1763363798.000007700, sequence: 152755 - clear  0.000000000, sequence: 0
source 0 - assert 1763363799.000007467, sequence: 152756 - clear  0.000000000, sequence: 0
source 0 - assert 1763363800.000007435, sequence: 152757 - clear  0.000000000, sequence: 0
source 0 - assert 1763363801.000007809, sequence: 152758 - clear  0.000000000, sequence: 0
source 0 - assert 1763363802.000008799, sequence: 152759 - clear  0.000000000, sequence: 0
source 0 - assert 1763363803.000003340, sequence: 152760 - clear  0.000000000, sequence: 0
source 0 - assert 1763363804.000005179, sequence: 152761 - clear  0.000000000, sequence: 0
source 0 - assert 1763363805.000003090, sequence: 152762 - clear  0.000000000, sequence: 0
source 0 - assert 1763363806.000005725, sequence: 152763 - clear  0.000000000, sequence: 0
source 0 - assert 1763363807.000007068, sequence: 152764 - clear  0.000000000, sequence: 0
source 0 - assert 1763363808.000007001, sequence: 152765 - clear  0.000000000, sequence: 0
source 0 - assert 1763363809.000006670, sequence: 152766 - clear  0.000000000, sequence: 0
source 0 - assert 1763363810.000005346, sequence: 152767 - clear  0.000000000, sequence: 0
