trying PPS source "/dev/pps0"
found PPS source "/dev/pps0"
ok, found 1 source(s), now start fetching data...
source 0 - assert 1763364370.000010308, sequence: 153297 - clear  0.000000000, sequence: 0
source 0 - assert 1763364371.000010272, sequence: 153298 - clear  0.000000000, sequence: 0
source 0 - assert 1763364372.000009597, sequence: 153299 - clear  0.000000000, sequence: 0
source 0 - assert 1763364373.000010879, sequence: 153300 - clear  0.000000000, sequence: 0
source 0 - assert 1763364374.000009808, sequence: 153301 - clear  0.000000000, sequence: 0
source 0 - assert 1763364375.000009728, sequence: 153302 - clear  0.000000000, sequence: 0
source 0 - assert 1763364376.000012258, sequence: 153303 - clear  0.000000000, sequence: 0
source 0 - assert 1763364377.000020454, sequence: 153304 - clear  0.000000000, sequence: 0
source 0 - assert 1763364378.000040541, sequence: 153305 - clear  0.000000000, sequence: 0
source 0 - assert 1763364379.000049278, sequence: 153306 - clear  0.000000000, sequence: 0
source 0 - assert 1763364380.000091742, sequence: 153307 - clear  0.000000000, sequence: 0
source 0 - assert 1763364381.000104193, sequence: 153308 - clear  0.000000000, sequence: 0
source 0 - assert 1763364382.000080914, sequence: 153309 - clear  0.000000000, sequence: 0
source 0 - assert 1763364383.000076148, sequence: 153310 - clear  0.000000000, sequence: 0
source 0 - assert 1763364384.000071130, sequence: 153311 - clear  0.000000000, sequence: 0
source 0 - assert 1763364385.000080284, sequence: 153312 - clear  0.000000000, sequence: 0
source 0 - assert 1763364386.000138123, sequence: 153313 - clear  0.000000000, sequence: 0
source 0 - assert 1763364387.000195262, sequence: 153314 - clear  0.000000000, sequence: 0
source 0 - assert 1763364388.000222919, sequence: 153315 - clear  0.000000000, sequence: 0
source 0 - assert 1763364389.000256620, sequence: 153316 - clear  0.000000000, sequence: 0
source 0 - assert 1763364390.000332186, sequence: 153317 - clear  0.000000000, sequence: 0
source 0 - assert 1763364391.000365228, sequence: 153318 - clear  0.000000000, sequence: 0
source 0 - assert 1763364392.000367239, sequence: 153319 - clear  0.000000000, sequence: 0
source 0 - assert 1763364393.000390238, sequence: 153320 - clear  0.000000000, sequence: 0
source 0 - assert 1763364394.000440948, sequence: 153321 - clear  0.000000000, sequence: 0
source 0 - assert 1763364395.000436245, sequence: 153322 - clear  0.000000000, sequence: 0
source 0 - assert 1763364396.000402088, sequence: 153323 - clear  0.000000000, sequence: 0
source 0 - assert 1763364397.000407922, sequence: 153324 - clear  0.000000000, sequence: 0
source 0 - assert 1763364398.000514226, sequence: 153325 - clear  0.000000000, sequence: 0
source 0 - assert 1763364399.000559140, sequence: 153326 - clear  0.000000000, sequence: 0
source 0 - assert 1763364400.000516856, sequence: 153327 - clear  0.000000000, sequence: 0
source 0 - assert 1763364401.000514207, sequence: 153328 - clear  0.000000000, sequence: 0
source 0 - assert 1763364402.000522095, sequence: 153329 - clear  0.000000000, sequence: 0
source 0 - assert 1763364403.000508974, sequence: 153330 - clear  0.000000000, sequence: 0
source 0 - assert 1763364404.000511599, sequence: 153331 - clear  0.000000000, sequence: 0
source 0 - assert 1763364405.000549388, sequence: 153332 - clear  0.000000000, sequence: 0
