trying PPS source "/dev/pps0"
found PPS source "/dev/pps0"
ok, found 1 source(s), now start fetching data...
source 0 - assert 1763365703.000010389, sequence: 154586 - clear  0.000000000, sequence: 0
source 0 - assert 1763365704.000009601, sequence: 154587 - clear  0.000000000, sequence: 0
source 0 - assert 1763365705.000008749, sequence: 154588 - clear  0.000000000, sequence: 0
source 0 - assert 1763365706.000010491, sequence: 154589 - clear  0.000000000, sequence: 0
source 0 - assert 1763365707.000009802, sequence: 154590 - clear  0.000000000, sequence: 0
source 0 - assert 1763365708.000035975, sequence: 154591 - clear  0.000000000, sequence: 0
source 0 - assert 1763365709.000017285, sequence: 154592 - clear  0.000000000, sequence: 0
source 0 - assert 1763365710.000015747, sequence: 154593 - clear  0.000000000, sequence: 0
source 0 - assert 1763365711.000028418, sequence: 154594 - clear  0.000000000, sequence: 0
source 0 - assert 1763365712.000029700, sequence: 154595 - clear  0.000000000, sequence: 0
source 0 - assert 1763365713.000030349, sequence: 154596 - clear  0.000000000, sequence: 0
source 0 - assert 1763365714.000027462, sequence: 154597 - clear  0.000000000, sequence: 0
source 0 - assert 1763365715.000030686, sequence: 154598 - clear  0.000000000, sequence: 0
source 0 - assert 1763365716.000031502, sequence: 154599 - clear  0.000000000, sequence: 0
source 0 - assert 1763365717.000032256, sequence: 154600 - clear  0.000000000, sequence: 0
source 0 - assert 1763365718.000032106, sequence: 154601 - clear  0.000000000, sequence: 0
source 0 - assert 1763365719.000038330, sequence: 154602 - clear  0.000000000, sequence: 0
source 0 - assert 1763365720.000049641, sequence: 154603 - clear  0.000000000, sequence: 0
source 0 - assert 1763365721.000057727, sequence: 154604 - clear  0.000000000, sequence: 0
source 0 - assert 1763365722.000049877, sequence: 154605 - clear  0.000000000, sequence: 0
source 0 - assert 1763365723.000053099, sequence: 154606 - clear  0.000000000, sequence: 0
source 0 - assert 1763365724.000061042, sequence: 154607 - clear  0.000000000, sequence: 0
source 0 - assert 1763365725.000066639, sequence: 154608 - clear  0.000000000, sequence: 0
source 0 - assert 1763365726.000094492, sequence: 154609 - clear  0.000000000, sequence: 0
source 0 - assert 1763365727.000073222, sequence: 154610 - clear  0.000000000, sequence: 0
source 0 - assert 1763365728.000078454, sequence: 154611 - clear  0.000000000, sequence: 0
source 0 - assert 1763365729.000077955, sequence: 154612 - clear  0.000000000, sequence: 0
source 0 - assert 1763365730.000077546, sequence: 154613 - clear  0.000000000, sequence: 0
source 0 - assert 1763365731.000085124, sequence: 154614 - clear  0.000000000, sequence: 0
source 0 - assert 1763365732.000094340, sequence: 154615 - clear  0.000000000, sequence: 0
source 0 - assert 1763365733.000091316, sequence: 154616 - clear  0.000000000, sequence: 0
source 0 - assert 1763365734.000086640, sequence: 154617 - clear  0.000000000, sequence: 0
source 0 - assert 1763365735.000087085, sequence: 154618 - clear  0.000000000, sequence: 0
source 0 - assert 1763365736.000092631, sequence: 154619 - clear  0.000000000, sequence: 0
source 0 - assert 1763365737.000097620, sequence: 154620 - clear  0.000000000, sequence: 0
source 0 - assert 1763365738.000091400, sequence: 154621 - clear  0.000000000, sequence: 0
source 0 - assert 1763365739.000096565, sequence: 154622 - clear  0.000000000, sequence: 0
source 0 - assert 1763365740.000102606, sequence: 154623 - clear  0.000000000, sequence: 0
source 0 - assert 1763365741.000106878, sequence: 154624 - clear  0.000000000, sequence: 0
source 0 - assert 1763365742.000112369, sequence: 154625 - clear  0.000000000, sequence: 0
source 0 - assert 1763365743.000113367, sequence: 154626 - clear  0.000000000, sequence: 0
source 0 - assert 1763365744.000116934, sequence: 154627 - clear  0.000000000, sequence: 0
source 0 - assert 1763365745.000114171, sequence: 154628 - clear  0.000000000, sequence: 0
source 0 - assert 1763365746.000112032, sequence: 154629 - clear  0.000000000, sequence: 0
source 0 - assert 1763365747.000121523, sequence: 154630 - clear  0.000000000, sequence: 0
source 0 - assert 1763365748.000133026, sequence: 154631 - clear  0.000000000, sequence: 0
source 0 - assert 1763365749.000134554, sequence: 154632 - clear  0.000000000, sequence: 0
source 0 - assert 1763365750.000140325, sequence: 154633 - clear  0.000000000, sequence: 0
source 0 - assert 1763365751.000142494, sequence: 154634 - clear  0.000000000, sequence: 0
source 0 - assert 1763365752.000140184, sequence: 154635 - clear  0.000000000, sequence: 0
source 0 - assert 1763365753.000137878, sequence: 154636 - clear  0.000000000, sequence: 0
source 0 - assert 1763365754.000155250, sequence: 154637 - clear  0.000000000, sequence: 0
source 0 - assert 1763365755.000159322, sequence: 154638 - clear  0.000000000, sequence: 0
source 0 - assert 1763365756.000167687, sequence: 154639 - clear  0.000000000, sequence: 0
source 0 - assert 1763365757.000167242, sequence: 154640 - clear  0.000000000, sequence: 0
source 0 - assert 1763365758.000167136, sequence: 154641 - clear  0.000000000, sequence: 0
source 0 - assert 1763365759.000180532, sequence: 154642 - clear  0.000000000, sequence: 0
source 0 - assert 1763365760.000163414, sequence: 154643 - clear  0.000000000, sequence: 0
source 0 - assert 1763365761.000167755, sequence: 154644 - clear  0.000000000, sequence: 0
source 0 - assert 1763365762.000179592, sequence: 154645 - clear  0.000000000, sequence: 0
source 0 - assert 1763365763.000183972, sequence: 154646 - clear  0.000000000, sequence: 0
source 0 - assert 1763365764.000179738, sequence: 154647 - clear  0.000000000, sequence: 0
source 0 - assert 1763365765.000181944, sequence: 154648 - clear  0.000000000, sequence: 0
source 0 - assert 1763365766.000180393, sequence: 154649 - clear  0.000000000, sequence: 0
source 0 - assert 1763365767.000190151, sequence: 154650 - clear  0.000000000, sequence: 0
source 0 - assert 1763365768.000200408, sequence: 154651 - clear  0.000000000, sequence: 0
source 0 - assert 1763365769.000195431, sequence: 154652 - clear  0.000000000, sequence: 0
source 0 - assert 1763365770.000192500, sequence: 154653 - clear  0.000000000, sequence: 0
source 0 - assert 1763365771.000202921, sequence: 154654 - clear  0.000000000, sequence: 0
source 0 - assert 1763365772.000208728, sequence: 154655 - clear  0.000000000, sequence: 0
source 0 - assert 1763365773.000218064, sequence: 154656 - clear  0.000000000, sequence: 0
source 0 - assert 1763365774.000218029, sequence: 154657 - clear  0.000000000, sequence: 0
source 0 - assert 1763365775.000212502, sequence: 154658 - clear  0.000000000, sequence: 0
source 0 - assert 1763365776.000212216, sequence: 154659 - clear  0.000000000, sequence: 0
source 0 - assert 1763365777.000219708, sequence: 154660 - clear  0.000000000, sequence: 0
source 0 - assert 1763365778.000223985, sequence: 154661 - clear  0.000000000, sequence: 0
source 0 - assert 1763365779.000227548, sequence: 154662 - clear  0.000000000, sequence: 0
source 0 - assert 1763365780.000230036, sequence: 154663 - clear  0.000000000, sequence: 0
source 0 - assert 1763365781.000236272, sequence: 154664 - clear  0.000000000, sequence: 0
source 0 - assert 1763365782.000237834, sequence: 154665 - clear  0.000000000, sequence: 0
source 0 - assert 1763365783.000246995, sequence: 154666 - clear  0.000000000, sequence: 0
source 0 - assert 1763365784.000258343, sequence: 154667 - clear  0.000000000, sequence: 0
source 0 - assert 1763365785.000267642, sequence: 154668 - clear  0.000000000, sequence: 0
source 0 - assert 1763365786.000273238, sequence: 154669 - clear  0.000000000, sequence: 0
source 0 - assert 1763365787.000274974, sequence: 154670 - clear  0.000000000, sequence: 0
source 0 - assert 1763365788.000278648, sequence: 154671 - clear  0.000000000, sequence: 0
source 0 - assert 1763365789.000278708, sequence: 154672 - clear  0.000000000, sequence: 0
source 0 - assert 1763365790.000282611, sequence: 154673 - clear  0.000000000, sequence: 0
source 0 - assert 1763365791.000282070, sequence: 154674 - clear  0.000000000, sequence: 0
source 0 - assert 1763365792.000280111, sequence: 154675 - clear  0.000000000, sequence: 0
source 0 - assert 1763365793.000281589, sequence: 154676 - clear  0.000000000, sequence: 0
source 0 - assert 1763365794.000287608, sequence: 154677 - clear  0.000000000, sequence: 0
source 0 - assert 1763365795.000292069, sequence: 154678 - clear  0.000000000, sequence: 0
source 0 - assert 1763365796.000302426, sequence: 154679 - clear  0.000000000, sequence: 0
source 0 - assert 1763365797.000325438, sequence: 154680 - clear  0.000000000, sequence: 0
source 0 - assert 1763365798.000401438, sequence: 154681 - clear  0.000000000, sequence: 0
source 0 - assert 1763365799.000514705, sequence: 154682 - clear  0.000000000, sequence: 0
source 0 - assert 1763365800.000553160, sequence: 154683 - clear  0.000000000, sequence: 0
source 0 - assert 1763365801.000506068, sequence: 154684 - clear  0.000000000, sequence: 0
source 0 - assert 1763365802.000468183, sequence: 154685 - clear  0.000000000, sequence: 0
source 0 - assert 1763365803.000451276, sequence: 154686 - clear  0.000000000, sequence: 0
source 0 - assert 1763365804.000517096, sequence: 154687 - clear  0.000000000, sequence: 0
source 0 - assert 1763365805.000588515, sequence: 154688 - clear  0.000000000, sequence: 0
source 0 - assert 1763365806.000587669, sequence: 154689 - clear  0.000000000, sequence: 0
source 0 - assert 1763365807.000599991, sequence: 154690 - clear  0.000000000, sequence: 0
source 0 - assert 1763365808.000632782, sequence: 154691 - clear  0.000000000, sequence: 0
source 0 - assert 1763365809.000737576, sequence: 154692 - clear  0.000000000, sequence: 0
source 0 - assert 1763365810.000824292, sequence: 154693 - clear  0.000000000, sequence: 0
source 0 - assert 1763365811.000745992, sequence: 154694 - clear  0.000000000, sequence: 0
source 0 - assert 1763365812.000686588, sequence: 154695 - clear  0.000000000, sequence: 0
source 0 - assert 1763365813.000694036, sequence: 154696 - clear  0.000000000, sequence: 0
source 0 - assert 1763365814.000743055, sequence: 154697 - clear  0.000000000, sequence: 0
source 0 - assert 1763365815.000748495, sequence: 154698 - clear  0.000000000, sequence: 0
source 0 - assert 1763365816.000748344, sequence: 154699 - clear  0.000000000, sequence: 0
source 0 - assert 1763365817.000774353, sequence: 154700 - clear  0.000000000, sequence: 0
source 0 - assert 1763365818.000770015, sequence: 154701 - clear  0.000000000, sequence: 0
source 0 - assert 1763365819.000783394, sequence: 154702 - clear  0.000000000, sequence: 0
source 0 - assert 1763365820.000804793, sequence: 154703 - clear  0.000000000, sequence: 0
source 0 - assert 1763365821.000846872, sequence: 154704 - clear  0.000000000, sequence: 0
source 0 - assert 1763365822.000917212, sequence: 154705 - clear  0.000000000, sequence: 0
source 0 - assert 1763365823.000951954, sequence: 154706 - clear  0.000000000, sequence: 0
source 0 - assert 1763365824.000897882, sequence: 154707 - clear  0.000000000, sequence: 0
source 0 - assert 1763365825.000869252, sequence: 154708 - clear  0.000000000, sequence: 0
source 0 - assert 1763365826.000874868, sequence: 154709 - clear  0.000000000, sequence: 0
source 0 - assert 1763365827.000945260, sequence: 154710 - clear  0.000000000, sequence: 0
source 0 - assert 1763365828.000978665, sequence: 154711 - clear  0.000000000, sequence: 0
source 0 - assert 1763365829.000952335, sequence: 154712 - clear  0.000000000, sequence: 0
source 0 - assert 1763365830.000945695, sequence: 154713 - clear  0.000000000, sequence: 0
source 0 - assert 1763365831.000946340, sequence: 154714 - clear  0.000000000, sequence: 0
source 0 - assert 1763365832.000950170, sequence: 154715 - clear  0.000000000, sequence: 0
source 0 - assert 1763365833.000971732, sequence: 154716 - clear  0.000000000, sequence: 0
source 0 - assert 1763365834.000965684, sequence: 154717 - clear  0.000000000, sequence: 0
source 0 - assert 1763365835.001047576, sequence: 154718 - clear  0.000000000, sequence: 0
source 0 - assert 1763365836.001093103, sequence: 154719 - clear  0.000000000, sequence: 0
source 0 - assert 1763365837.001052072, sequence: 154720 - clear  0.000000000, sequence: 0
source 0 - assert 1763365838.001049387, sequence: 154721 - clear  0.000000000, sequence: 0
source 0 - assert 1763365839.001061962, sequence: 154722 - clear  0.000000000, sequence: 0
source 0 - assert 1763365840.001062000, sequence: 154723 - clear  0.000000000, sequence: 0
source 0 - assert 1763365841.001068885, sequence: 154724 - clear  0.000000000, sequence: 0
source 0 - assert 1763365842.001097727, sequence: 154725 - clear  0.000000000, sequence: 0
source 0 - assert 1763365843.001202805, sequence: 154726 - clear  0.000000000, sequence: 0
source 0 - assert 1763365844.001255517, sequence: 154727 - clear  0.000000000, sequence: 0
source 0 - assert 1763365845.001237861, sequence: 154728 - clear  0.000000000, sequence: 0
source 0 - assert 1763365846.001246479, sequence: 154729 - clear  0.000000000, sequence: 0
source 0 - assert 1763365847.001276291, sequence: 154730 - clear  0.000000000, sequence: 0
source 0 - assert 1763365848.001336966, sequence: 154731 - clear  0.000000000, sequence: 0
source 0 - assert 1763365849.001371717, sequence: 154732 - clear  0.000000000, sequence: 0
source 0 - assert 1763365850.001385885, sequence: 154733 - clear  0.000000000, sequence: 0
source 0 - assert 1763365851.001347892, sequence: 154734 - clear  0.000000000, sequence: 0
source 0 - assert 1763365852.001329451, sequence: 154735 - clear  0.000000000, sequence: 0
source 0 - assert 1763365853.001331739, sequence: 154736 - clear  0.000000000, sequence: 0
source 0 - assert 1763365854.001359317, sequence: 154737 - clear  0.000000000, sequence: 0
source 0 - assert 1763365855.001439443, sequence: 154738 - clear  0.000000000, sequence: 0
source 0 - assert 1763365856.001500099, sequence: 154739 - clear  0.000000000, sequence: 0
source 0 - assert 1763365857.001460455, sequence: 154740 - clear  0.000000000, sequence: 0
source 0 - assert 1763365858.001458011, sequence: 154741 - clear  0.000000000, sequence: 0
source 0 - assert 1763365859.001536194, sequence: 154742 - clear  0.000000000, sequence: 0
source 0 - assert 1763365860.001641334, sequence: 154743 - clear  0.000000000, sequence: 0
source 0 - assert 1763365861.001633140, sequence: 154744 - clear  0.000000000, sequence: 0
source 0 - assert 1763365862.001636231, sequence: 154745 - clear  0.000000000, sequence: 0
source 0 - assert 1763365863.001699722, sequence: 154746 - clear  0.000000000, sequence: 0
source 0 - assert 1763365864.001660216, sequence: 154747 - clear  0.000000000, sequence: 0
source 0 - assert 1763365865.001675219, sequence: 154748 - clear  0.000000000, sequence: 0
source 0 - assert 1763365866.001688122, sequence: 154749 - clear  0.000000000, sequence: 0
source 0 - assert 1763365867.001683015, sequence: 154750 - clear  0.000000000, sequence: 0
source 0 - assert 1763365868.001704160, sequence: 154751 - clear  0.000000000, sequence: 0
source 0 - assert 1763365869.001767021, sequence: 154752 - clear  0.000000000, sequence: 0
source 0 - assert 1763365870.001808691, sequence: 154753 - clear  0.000000000, sequence: 0
source 0 - assert 1763365871.001788984, sequence: 154754 - clear  0.000000000, sequence: 0
source 0 - assert 1763365872.001849525, sequence: 154755 - clear  0.000000000, sequence: 0
source 0 - assert 1763365873.002240295, sequence: 154756 - clear  0.000000000, sequence: 0
source 0 - assert 1763365874.002947293, sequence: 154757 - clear  0.000000000, sequence: 0
source 0 - assert 1763365875.002931232, sequence: 154758 - clear  0.000000000, sequence: 0
source 0 - assert 1763365876.002883840, sequence: 154759 - clear  0.000000000, sequence: 0
source 0 - assert 1763365877.003235259, sequence: 154760 - clear  0.000000000, sequence: 0
source 0 - assert 1763365878.004411594, sequence: 154761 - clear  0.000000000, sequence: 0
source 0 - assert 1763365879.005288316, sequence: 154762 - clear  0.000000000, sequence: 0
source 0 - assert 1763365880.004556437, sequence: 154763 - clear  0.000000000, sequence: 0
source 0 - assert 1763365881.003832480, sequence: 154764 - clear  0.000000000, sequence: 0
source 0 - assert 1763365882.003880152, sequence: 154765 - clear  0.000000000, sequence: 0
source 0 - assert 1763365883.004304717, sequence: 154766 - clear  0.000000000, sequence: 0
source 0 - assert 1763365884.004795953, sequence: 154767 - clear  0.000000000, sequence: 0
source 0 - assert 1763365885.005258276, sequence: 154768 - clear  0.000000000, sequence: 0
source 0 - assert 1763365886.005016293, sequence: 154769 - clear  0.000000000, sequence: 0
source 0 - assert 1763365887.005103413, sequence: 154770 - clear  0.000000000, sequence: 0
source 0 - assert 1763365888.006007954, sequence: 154771 - clear  0.000000000, sequence: 0
source 0 - assert 1763365889.006341848, sequence: 154772 - clear  0.000000000, sequence: 0
source 0 - assert 1763365890.005964002, sequence: 154773 - clear  0.000000000, sequence: 0
source 0 - assert 1763365891.005811986, sequence: 154774 - clear  0.000000000, sequence: 0
source 0 - assert 1763365892.006393572, sequence: 154775 - clear  0.000000000, sequence: 0
source 0 - assert 1763365893.006851414, sequence: 154776 - clear  0.000000000, sequence: 0
source 0 - assert 1763365894.006573518, sequence: 154777 - clear  0.000000000, sequence: 0
source 0 - assert 1763365895.006329826, sequence: 154778 - clear  0.000000000, sequence: 0
source 0 - assert 1763365896.006262720, sequence: 154779 - clear  0.000000000, sequence: 0
source 0 - assert 1763365897.006322705, sequence: 154780 - clear  0.000000000, sequence: 0
source 0 - assert 1763365898.006801692, sequence: 154781 - clear  0.000000000, sequence: 0
source 0 - assert 1763365899.007664719, sequence: 154782 - clear  0.000000000, sequence: 0
source 0 - assert 1763365900.007374325, sequence: 154783 - clear  0.000000000, sequence: 0
source 0 - assert 1763365901.007049471, sequence: 154784 - clear  0.000000000, sequence: 0
