trying PPS source "/dev/pps0"
found PPS source "/dev/pps0"
ok, found 1 source(s), now start fetching data...
source 0 - assert 1763366246.000011116, sequence: 155119 - clear  0.000000000, sequence: 0
source 0 - assert 1763366247.000012656, sequence: 155120 - clear  0.000000000, sequence: 0
source 0 - assert 1763366248.000009724, sequence: 155121 - clear  0.000000000, sequence: 0
source 0 - assert 1763366249.000014095, sequence: 155122 - clear  0.000000000, sequence: 0
source 0 - assert 1763366250.000011755, sequence: 155123 - clear  0.000000000, sequence: 0
source 0 - assert 1763366251.000010481, sequence: 155124 - clear  0.000000000, sequence: 0
source 0 - assert 1763366252.000014112, sequence: 155125 - clear  0.000000000, sequence: 0
source 0 - assert 1763366253.000013013, sequence: 155126 - clear  0.000000000, sequence: 0
source 0 - assert 1763366254.000011249, sequence: 155127 - clear  0.000000000, sequence: 0
source 0 - assert 1763366255.000012895, sequence: 155128 - clear  0.000000000, sequence: 0
source 0 - assert 1763366256.000011371, sequence: 155129 - clear  0.000000000, sequence: 0
source 0 - assert 1763366257.000025338, sequence: 155130 - clear  0.000000000, sequence: 0
source 0 - assert 1763366258.000007587, sequence: 155131 - clear  0.000000000, sequence: 0
source 0 - assert 1763366259.000004678, sequence: 155132 - clear  0.000000000, sequence: 0
source 0 - assert 1763366260.000011479, sequence: 155133 - clear  0.000000000, sequence: 0
source 0 - assert 1763366261.000009961, sequence: 155134 - clear  0.000000000, sequence: 0
source 0 - assert 1763366262.000010015, sequence: 155135 - clear  0.000000000, sequence: 0
source 0 - assert 1763366263.000010245, sequence: 155136 - clear  0.000000000, sequence: 0
source 0 - assert 1763366264.000009566, sequence: 155137 - clear  0.000000000, sequence: 0
source 0 - assert 1763366265.000013400, sequence: 155138 - clear  0.000000000, sequence: 0
source 0 - assert 1763366266.000008252, sequence: 155139 - clear  0.000000000, sequence: 0
source 0 - assert 1763366267.000010843, sequence: 155140 - clear  0.000000000, sequence: 0
source 0 - assert 1763366268.000010806, sequence: 155141 - clear  0.000000000, sequence: 0
source 0 - assert 1763366269.000012213, sequence: 155142 - clear  0.000000000, sequence: 0
source 0 - assert 1763366270.000011935, sequence: 155143 - clear  0.000000000, sequence: 0
source 0 - assert 1763366271.000008618, sequence: 155144 - clear  0.000000000, sequence: 0
source 0 - assert 1763366272.000009351, sequence: 155145 - clear  0.000000000, sequence: 0
source 0 - assert 1763366273.000007732, sequence: 155146 - clear  0.000000000, sequence: 0
source 0 - assert 1763366274.000017993, sequence: 155147 - clear  0.000000000, sequence: 0
source 0 - assert 1763366275.000010300, sequence: 155148 - clear  0.000000000, sequence: 0
source 0 - assert 1763366276.000008855, sequence: 155149 - clear  0.000000000, sequence: 0
source 0 - assert 1763366277.000013320, sequence: 155150 - clear  0.000000000, sequence: 0
source 0 - assert 1763366278.000011024, sequence: 155151 - clear  0.000000000, sequence: 0
source 0 - assert 1763366279.000010441, sequence: 155152 - clear  0.000000000, sequence: 0
source 0 - assert 1763366280.000007074, sequence: 155153 - clear  0.000000000, sequence: 0
source 0 - assert 1763366281.000008367, sequence: 155154 - clear  0.000000000, sequence: 0
source 0 - assert 1763366282.000012899, sequence: 155155 - clear  0.000000000, sequence: 0
source 0 - assert 1763366283.000012981, sequence: 155156 - clear  0.000000000, sequence: 0
source 0 - assert 1763366284.000011426, sequence: 155157 - clear  0.000000000, sequence: 0
source 0 - assert 1763366285.000004076, sequence: 155158 - clear  0.000000000, sequence: 0
source 0 - assert 1763366286.000007366, sequence: 155159 - clear  0.000000000, sequence: 0
source 0 - assert 1763366287.000011971, sequence: 155160 - clear  0.000000000, sequence: 0
source 0 - assert 1763366288.000010560, sequence: 155161 - clear  0.000000000, sequence: 0
source 0 - assert 1763366289.000009326, sequence: 155162 - clear  0.000000000, sequence: 0
source 0 - assert 1763366290.000012573, sequence: 155163 - clear  0.000000000, sequence: 0
source 0 - assert 1763366291.000005658, sequence: 155164 - clear  0.000000000, sequence: 0
source 0 - assert 1763366292.000010971, sequence: 155165 - clear  0.000000000, sequence: 0
source 0 - assert 1763366293.000011315, sequence: 155166 - clear  0.000000000, sequence: 0
source 0 - assert 1763366294.000009345, sequence: 155167 - clear  0.000000000, sequence: 0
source 0 - assert 1763366295.000008358, sequence: 155168 - clear  0.000000000, sequence: 0
source 0 - assert 1763366296.000007745, sequence: 155169 - clear  0.000000000, sequence: 0
source 0 - assert 1763366297.000007622, sequence: 155170 - clear  0.000000000, sequence: 0
source 0 - assert 1763366298.000016373, sequence: 155171 - clear  0.000000000, sequence: 0
source 0 - assert 1763366299.000034720, sequence: 155172 - clear  0.000000000, sequence: 0
source 0 - assert 1763366300.000008345, sequence: 155173 - clear  0.000000000, sequence: 0
source 0 - assert 1763366301.000018732, sequence: 155174 - clear  0.000000000, sequence: 0
source 0 - assert 1763366302.000013570, sequence: 155175 - clear  0.000000000, sequence: 0
source 0 - assert 1763366303.000014745, sequence: 155176 - clear  0.000000000, sequence: 0
source 0 - assert 1763366304.000036452, sequence: 155177 - clear  0.000000000, sequence: 0
source 0 - assert 1763366305.000010438, sequence: 155178 - clear  0.000000000, sequence: 0
source 0 - assert 1763366306.000011472, sequence: 155179 - clear  0.000000000, sequence: 0
source 0 - assert 1763366307.000009244, sequence: 155180 - clear  0.000000000, sequence: 0
source 0 - assert 1763366308.000014331, sequence: 155181 - clear  0.000000000, sequence: 0
source 0 - assert 1763366309.000011859, sequence: 155182 - clear  0.000000000, sequence: 0
source 0 - assert 1763366310.000008411, sequence: 155183 - clear  0.000000000, sequence: 0
source 0 - assert 1763366311.000001559, sequence: 155184 - clear  0.000000000, sequence: 0
source 0 - assert 1763366312.000015329, sequence: 155185 - clear  0.000000000, sequence: 0
source 0 - assert 1763366313.000010784, sequence: 155186 - clear  0.000000000, sequence: 0
source 0 - assert 1763366314.000003012, sequence: 155187 - clear  0.000000000, sequence: 0
source 0 - assert 1763366315.000007527, sequence: 155188 - clear  0.000000000, sequence: 0
source 0 - assert 1763366316.000010377, sequence: 155189 - clear  0.000000000, sequence: 0
source 0 - assert 1763366317.000013591, sequence: 155190 - clear  0.000000000, sequence: 0
source 0 - assert 1763366318.000006499, sequence: 155191 - clear  0.000000000, sequence: 0
source 0 - assert 1763366319.000007917, sequence: 155192 - clear  0.000000000, sequence: 0
source 0 - assert 1763366320.000010181, sequence: 155193 - clear  0.000000000, sequence: 0
source 0 - assert 1763366321.000011993, sequence: 155194 - clear  0.000000000, sequence: 0
source 0 - assert 1763366322.000005457, sequence: 155195 - clear  0.000000000, sequence: 0
source 0 - assert 1763366323.000013637, sequence: 155196 - clear  0.000000000, sequence: 0
source 0 - assert 1763366324.000012433, sequence: 155197 - clear  0.000000000, sequence: 0
source 0 - assert 1763366325.000012181, sequence: 155198 - clear  0.000000000, sequence: 0
source 0 - assert 1763366326.000012205, sequence: 155199 - clear  0.000000000, sequence: 0
source 0 - assert 1763366327.000005052, sequence: 155200 - clear  0.000000000, sequence: 0
source 0 - assert 1763366328.000008061, sequence: 155201 - clear  0.000000000, sequence: 0
source 0 - assert 1763366329.000013267, sequence: 155202 - clear  0.000000000, sequence: 0
source 0 - assert 1763366330.000007884, sequence: 155203 - clear  0.000000000, sequence: 0
source 0 - assert 1763366331.000004082, sequence: 155204 - clear  0.000000000, sequence: 0
source 0 - assert 1763366332.000013626, sequence: 155205 - clear  0.000000000, sequence: 0
source 0 - assert 1763366333.000009014, sequence: 155206 - clear  0.000000000, sequence: 0
source 0 - assert 1763366334.000013727, sequence: 155207 - clear  0.000000000, sequence: 0
source 0 - assert 1763366335.000011633, sequence: 155208 - clear  0.000000000, sequence: 0
source 0 - assert 1763366336.000008437, sequence: 155209 - clear  0.000000000, sequence: 0
