trying PPS source "/dev/pps0"
found PPS source "/dev/pps0"
ok, found 1 source(s), now start fetching data...
source 0 - assert 1763372446.000010755, sequence: 11194 - clear  0.000000000, sequence: 0
source 0 - assert 1763372447.000010626, sequence: 11195 - clear  0.000000000, sequence: 0
source 0 - assert 1763372448.000006708, sequence: 11196 - clear  0.000000000, sequence: 0
source 0 - assert 1763372449.000007627, sequence: 11197 - clear  0.000000000, sequence: 0
source 0 - assert 1763372450.000007732, sequence: 11198 - clear  0.000000000, sequence: 0
source 0 - assert 1763372451.000011828, sequence: 11199 - clear  0.000000000, sequence: 0
source 0 - assert 1763372452.000007905, sequence: 11200 - clear  0.000000000, sequence: 0
source 0 - assert 1763372453.000009156, sequence: 11201 - clear  0.000000000, sequence: 0
source 0 - assert 1763372454.000007451, sequence: 11202 - clear  0.000000000, sequence: 0
source 0 - assert 1763372455.000006541, sequence: 11203 - clear  0.000000000, sequence: 0
source 0 - assert 1763372456.000008798, sequence: 11204 - clear  0.000000000, sequence: 0
source 0 - assert 1763372457.000011426, sequence: 11205 - clear  0.000000000, sequence: 0
source 0 - assert 1763372458.000005272, sequence: 11206 - clear  0.000000000, sequence: 0
source 0 - assert 1763372459.000007537, sequence: 11207 - clear  0.000000000, sequence: 0
source 0 - assert 1763372460.000008316, sequence: 11208 - clear  0.000000000, sequence: 0
source 0 - assert 1763372461.000003626, sequence: 11209 - clear  0.000000000, sequence: 0
source 0 - assert 1763372462.000010486, sequence: 11210 - clear  0.000000000, sequence: 0
source 0 - assert 1763372463.000009590, sequence: 11211 - clear  0.000000000, sequence: 0
source 0 - assert 1763372464.000006712, sequence: 11212 - clear  0.000000000, sequence: 0
source 0 - assert 1763372465.000005599, sequence: 11213 - clear  0.000000000, sequence: 0
source 0 - assert 1763372466.000012369, sequence: 11214 - clear  0.000000000, sequence: 0
source 0 - assert 1763372467.000009297, sequence: 11215 - clear  0.000000000, sequence: 0
source 0 - assert 1763372468.000009135, sequence: 11216 - clear  0.000000000, sequence: 0
source 0 - assert 1763372469.000007301, sequence: 11217 - clear  0.000000000, sequence: 0
source 0 - assert 1763372470.000006907, sequence: 11218 - clear  0.000000000, sequence: 0
source 0 - assert 1763372471.000009024, sequence: 11219 - clear  0.000000000, sequence: 0
source 0 - assert 1763372472.000008735, sequence: 11220 - clear  0.000000000, sequence: 0
source 0 - assert 1763372473.000013036, sequence: 11221 - clear  0.000000000, sequence: 0
source 0 - assert 1763372474.000006533, sequence: 11222 - clear  0.000000000, sequence: 0
source 0 - assert 1763372475.000009112, sequence: 11223 - clear  0.000000000, sequence: 0
source 0 - assert 1763372476.000010000, sequence: 11224 - clear  0.000000000, sequence: 0
source 0 - assert 1763372477.000012070, sequence: 11225 - clear  0.000000000, sequence: 0
source 0 - assert 1763372478.000008592, sequence: 11226 - clear  0.000000000, sequence: 0
source 0 - assert 1763372479.000011700, sequence: 11227 - clear  0.000000000, sequence: 0
source 0 - assert 1763372480.000009702, sequence: 11228 - clear  0.000000000, sequence: 0
source 0 - assert 1763372481.000009255, sequence: 11229 - clear  0.000000000, sequence: 0
source 0 - assert 1763372482.000007419, sequence: 11230 - clear  0.000000000, sequence: 0
source 0 - assert 1763372483.000006134, sequence: 11231 - clear  0.000000000, sequence: 0
source 0 - assert 1763372484.000009656, sequence: 11232 - clear  0.000000000, sequence: 0
source 0 - assert 1763372485.000009163, sequence: 11233 - clear  0.000000000, sequence: 0
source 0 - assert 1763372486.000010411, sequence: 11234 - clear  0.000000000, sequence: 0
source 0 - assert 1763372487.000008233, sequence: 11235 - clear  0.000000000, sequence: 0
source 0 - assert 1763372488.000009906, sequence: 11236 - clear  0.000000000, sequence: 0
source 0 - assert 1763372489.000008191, sequence: 11237 - clear  0.000000000, sequence: 0
source 0 - assert 1763372490.000008676, sequence: 11238 - clear  0.000000000, sequence: 0
source 0 - assert 1763372491.000012264, sequence: 11239 - clear  0.000000000, sequence: 0
source 0 - assert 1763372492.000009449, sequence: 11240 - clear  0.000000000, sequence: 0
source 0 - assert 1763372493.000006611, sequence: 11241 - clear  0.000000000, sequence: 0
source 0 - assert 1763372494.000006277, sequence: 11242 - clear  0.000000000, sequence: 0
source 0 - assert 1763372495.000007886, sequence: 11243 - clear  0.000000000, sequence: 0
source 0 - assert 1763372496.000009254, sequence: 11244 - clear  0.000000000, sequence: 0
source 0 - assert 1763372497.000008025, sequence: 11245 - clear  0.000000000, sequence: 0
source 0 - assert 1763372498.000010865, sequence: 11246 - clear  0.000000000, sequence: 0
source 0 - assert 1763372499.000006304, sequence: 11247 - clear  0.000000000, sequence: 0
source 0 - assert 1763372500.000009333, sequence: 11248 - clear  0.000000000, sequence: 0
source 0 - assert 1763372501.000008524, sequence: 11249 - clear  0.000000000, sequence: 0
source 0 - assert 1763372502.000008454, sequence: 11250 - clear  0.000000000, sequence: 0
source 0 - assert 1763372503.000009418, sequence: 11251 - clear  0.000000000, sequence: 0
source 0 - assert 1763372504.000008557, sequence: 11252 - clear  0.000000000, sequence: 0
source 0 - assert 1763372505.000007117, sequence: 11253 - clear  0.000000000, sequence: 0
source 0 - assert 1763372506.000009998, sequence: 11254 - clear  0.000000000, sequence: 0
source 0 - assert 1763372507.000010962, sequence: 11255 - clear  0.000000000, sequence: 0
source 0 - assert 1763372508.000007667, sequence: 11256 - clear  0.000000000, sequence: 0
source 0 - assert 1763372509.000009836, sequence: 11257 - clear  0.000000000, sequence: 0
source 0 - assert 1763372510.000008485, sequence: 11258 - clear  0.000000000, sequence: 0
source 0 - assert 1763372511.000004942, sequence: 11259 - clear  0.000000000, sequence: 0
source 0 - assert 1763372512.000008168, sequence: 11260 - clear  0.000000000, sequence: 0
source 0 - assert 1763372513.000009115, sequence: 11261 - clear  0.000000000, sequence: 0
source 0 - assert 1763372514.000008230, sequence: 11262 - clear  0.000000000, sequence: 0
source 0 - assert 1763372515.000004551, sequence: 11263 - clear  0.000000000, sequence: 0
source 0 - assert 1763372516.000006862, sequence: 11264 - clear  0.000000000, sequence: 0
source 0 - assert 1763372517.000009292, sequence: 11265 - clear  0.000000000, sequence: 0
source 0 - assert 1763372518.000007585, sequence: 11266 - clear  0.000000000, sequence: 0
source 0 - assert 1763372519.000009246, sequence: 11267 - clear  0.000000000, sequence: 0
source 0 - assert 1763372520.000008538, sequence: 11268 - clear  0.000000000, sequence: 0
source 0 - assert 1763372521.000008975, sequence: 11269 - clear  0.000000000, sequence: 0
source 0 - assert 1763372522.000008913, sequence: 11270 - clear  0.000000000, sequence: 0
source 0 - assert 1763372523.000008852, sequence: 11271 - clear  0.000000000, sequence: 0
source 0 - assert 1763372524.000004337, sequence: 11272 - clear  0.000000000, sequence: 0
source 0 - assert 1763372525.000007170, sequence: 11273 - clear  0.000000000, sequence: 0
source 0 - assert 1763372526.000005414, sequence: 11274 - clear  0.000000000, sequence: 0
source 0 - assert 1763372527.000008598, sequence: 11275 - clear  0.000000000, sequence: 0
source 0 - assert 1763372528.000009424, sequence: 11276 - clear  0.000000000, sequence: 0
source 0 - assert 1763372529.000009613, sequence: 11277 - clear  0.000000000, sequence: 0
source 0 - assert 1763372530.000007342, sequence: 11278 - clear  0.000000000, sequence: 0
source 0 - assert 1763372531.000007893, sequence: 11279 - clear  0.000000000, sequence: 0
source 0 - assert 1763372532.000008502, sequence: 11280 - clear  0.000000000, sequence: 0
source 0 - assert 1763372533.000009143, sequence: 11281 - clear  0.000000000, sequence: 0
source 0 - assert 1763372534.000007653, sequence: 11282 - clear  0.000000000, sequence: 0
source 0 - assert 1763372535.000008388, sequence: 11283 - clear  0.000000000, sequence: 0
source 0 - assert 1763372536.000008914, sequence: 11284 - clear  0.000000000, sequence: 0
source 0 - assert 1763372537.000010755, sequence: 11285 - clear  0.000000000, sequence: 0
source 0 - assert 1763372538.000010559, sequence: 11286 - clear  0.000000000, sequence: 0
source 0 - assert 1763372539.000010400, sequence: 11287 - clear  0.000000000, sequence: 0
