trying PPS source "/dev/pps0"
found PPS source "/dev/pps0"
ok, found 1 source(s), now start fetching data...
source 0 - assert 1763373655.000008601, sequence: 12403 - clear  0.000000000, sequence: 0
source 0 - assert 1763373656.000011200, sequence: 12404 - clear  0.000000000, sequence: 0
source 0 - assert 1763373657.000005529, sequence: 12405 - clear  0.000000000, sequence: 0
source 0 - assert 1763373658.000005980, sequence: 12406 - clear  0.000000000, sequence: 0
source 0 - assert 1763373659.000009581, sequence: 12407 - clear  0.000000000, sequence: 0
source 0 - assert 1763373660.000010213, sequence: 12408 - clear  0.000000000, sequence: 0
source 0 - assert 1763373661.000009029, sequence: 12409 - clear  0.000000000, sequence: 0
source 0 - assert 1763373662.000007731, sequence: 12410 - clear  0.000000000, sequence: 0
source 0 - assert 1763373663.000007076, sequence: 12411 - clear  0.000000000, sequence: 0
source 0 - assert 1763373664.000009276, sequence: 12412 - clear  0.000000000, sequence: 0
source 0 - assert 1763373665.000003751, sequence: 12413 - clear  0.000000000, sequence: 0
source 0 - assert 1763373666.000010908, sequence: 12414 - clear  0.000000000, sequence: 0
source 0 - assert 1763373667.000010649, sequence: 12415 - clear  0.000000000, sequence: 0
source 0 - assert 1763373668.000005410, sequence: 12416 - clear  0.000000000, sequence: 0
source 0 - assert 1763373669.000009278, sequence: 12417 - clear  0.000000000, sequence: 0
source 0 - assert 1763373670.000006333, sequence: 12418 - clear  0.000000000, sequence: 0
source 0 - assert 1763373671.000009530, sequence: 12419 - clear  0.000000000, sequence: 0
source 0 - assert 1763373672.000007482, sequence: 12420 - clear  0.000000000, sequence: 0
source 0 - assert 1763373673.000002443, sequence: 12421 - clear  0.000000000, sequence: 0
source 0 - assert 1763373674.000008513, sequence: 12422 - clear  0.000000000, sequence: 0
source 0 - assert 1763373675.000009647, sequence: 12423 - clear  0.000000000, sequence: 0
source 0 - assert 1763373676.000007279, sequence: 12424 - clear  0.000000000, sequence: 0
source 0 - assert 1763373677.000010724, sequence: 12425 - clear  0.000000000, sequence: 0
source 0 - assert 1763373678.000005992, sequence: 12426 - clear  0.000000000, sequence: 0
source 0 - assert 1763373679.000008223, sequence: 12427 - clear  0.000000000, sequence: 0
source 0 - assert 1763373680.000005509, sequence: 12428 - clear  0.000000000, sequence: 0
source 0 - assert 1763373681.000002295, sequence: 12429 - clear  0.000000000, sequence: 0
source 0 - assert 1763373682.000007750, sequence: 12430 - clear  0.000000000, sequence: 0
source 0 - assert 1763373683.000006600, sequence: 12431 - clear  0.000000000, sequence: 0
source 0 - assert 1763373684.000004007, sequence: 12432 - clear  0.000000000, sequence: 0
source 0 - assert 1763373685.000007432, sequence: 12433 - clear  0.000000000, sequence: 0
source 0 - assert 1763373686.000007829, sequence: 12434 - clear  0.000000000, sequence: 0
source 0 - assert 1763373687.000012784, sequence: 12435 - clear  0.000000000, sequence: 0
source 0 - assert 1763373688.000009671, sequence: 12436 - clear  0.000000000, sequence: 0
source 0 - assert 1763373689.000007240, sequence: 12437 - clear  0.000000000, sequence: 0
source 0 - assert 1763373690.000008218, sequence: 12438 - clear  0.000000000, sequence: 0
source 0 - assert 1763373691.000004197, sequence: 12439 - clear  0.000000000, sequence: 0
source 0 - assert 1763373692.000007539, sequence: 12440 - clear  0.000000000, sequence: 0
source 0 - assert 1763373693.000007337, sequence: 12441 - clear  0.000000000, sequence: 0
source 0 - assert 1763373694.000009818, sequence: 12442 - clear  0.000000000, sequence: 0
source 0 - assert 1763373695.000002164, sequence: 12443 - clear  0.000000000, sequence: 0
source 0 - assert 1763373696.000004944, sequence: 12444 - clear  0.000000000, sequence: 0
source 0 - assert 1763373697.000002341, sequence: 12445 - clear  0.000000000, sequence: 0
source 0 - assert 1763373698.000002963, sequence: 12446 - clear  0.000000000, sequence: 0
source 0 - assert 1763373699.000010617, sequence: 12447 - clear  0.000000000, sequence: 0
source 0 - assert 1763373700.000009612, sequence: 12448 - clear  0.000000000, sequence: 0
source 0 - assert 1763373701.000006856, sequence: 12449 - clear  0.000000000, sequence: 0
source 0 - assert 1763373702.000005778, sequence: 12450 - clear  0.000000000, sequence: 0
source 0 - assert 1763373703.000009580, sequence: 12451 - clear  0.000000000, sequence: 0
source 0 - assert 1763373704.000009367, sequence: 12452 - clear  0.000000000, sequence: 0
source 0 - assert 1763373705.000011415, sequence: 12453 - clear  0.000000000, sequence: 0
source 0 - assert 1763373706.000006825, sequence: 12454 - clear  0.000000000, sequence: 0
source 0 - assert 1763373707.000005958, sequence: 12455 - clear  0.000000000, sequence: 0
source 0 - assert 1763373708.000005629, sequence: 12456 - clear  0.000000000, sequence: 0
source 0 - assert 1763373709.000006764, sequence: 12457 - clear  0.000000000, sequence: 0
source 0 - assert 1763373710.000009523, sequence: 12458 - clear  0.000000000, sequence: 0
source 0 - assert 1763373711.000007251, sequence: 12459 - clear  0.000000000, sequence: 0
source 0 - assert 1763373712.000008519, sequence: 12460 - clear  0.000000000, sequence: 0
source 0 - assert 1763373713.000006636, sequence: 12461 - clear  0.000000000, sequence: 0
source 0 - assert 1763373714.000006287, sequence: 12462 - clear  0.000000000, sequence: 0
source 0 - assert 1763373715.000007379, sequence: 12463 - clear  0.000000000, sequence: 0
source 0 - assert 1763373716.000011602, sequence: 12464 - clear  0.000000000, sequence: 0
source 0 - assert 1763373717.000011292, sequence: 12465 - clear  0.000000000, sequence: 0
source 0 - assert 1763373718.000009822, sequence: 12466 - clear  0.000000000, sequence: 0
source 0 - assert 1763373719.000010234, sequence: 12467 - clear  0.000000000, sequence: 0
source 0 - assert 1763373720.000004076, sequence: 12468 - clear  0.000000000, sequence: 0
source 0 - assert 1763373721.000009022, sequence: 12469 - clear  0.000000000, sequence: 0
source 0 - assert 1763373722.000007834, sequence: 12470 - clear  0.000000000, sequence: 0
source 0 - assert 1763373723.000006204, sequence: 12471 - clear  0.000000000, sequence: 0
source 0 - assert 1763373724.000006029, sequence: 12472 - clear  0.000000000, sequence: 0
source 0 - assert 1763373725.000005438, sequence: 12473 - clear  0.000000000, sequence: 0
source 0 - assert 1763373726.000007117, sequence: 12474 - clear  0.000000000, sequence: 0
