trying PPS source "/dev/pps0"
found PPS source "/dev/pps0"
ok, found 1 source(s), now start fetching data...
source 0 - assert 1763374299.000011595, sequence: 13047 - clear  0.000000000, sequence: 0
source 0 - assert 1763374300.000009816, sequence: 13048 - clear  0.000000000, sequence: 0
source 0 - assert 1763374301.000009148, sequence: 13049 - clear  0.000000000, sequence: 0
source 0 - assert 1763374302.000005441, sequence: 13050 - clear  0.000000000, sequence: 0
source 0 - assert 1763374303.000010535, sequence: 13051 - clear  0.000000000, sequence: 0
source 0 - assert 1763374304.000008110, sequence: 13052 - clear  0.000000000, sequence: 0
source 0 - assert 1763374305.000008490, sequence: 13053 - clear  0.000000000, sequence: 0
source 0 - assert 1763374306.000004837, sequence: 13054 - clear  0.000000000, sequence: 0
source 0 - assert 1763374307.000007115, sequence: 13055 - clear  0.000000000, sequence: 0
source 0 - assert 1763374308.000007562, sequence: 13056 - clear  0.000000000, sequence: 0
source 0 - assert 1763374309.000005490, sequence: 13057 - clear  0.000000000, sequence: 0
source 0 - assert 1763374310.000013596, sequence: 13058 - clear  0.000000000, sequence: 0
source 0 - assert 1763374311.000007766, sequence: 13059 - clear  0.000000000, sequence: 0
source 0 - assert 1763374312.000007001, sequence: 13060 - clear  0.000000000, sequence: 0
source 0 - assert 1763374313.000007215, sequence: 13061 - clear  0.000000000, sequence: 0
source 0 - assert 1763374314.000006668, sequence: 13062 - clear  0.000000000, sequence: 0
source 0 - assert 1763374315.000008565, sequence: 13063 - clear  0.000000000, sequence: 0
source 0 - assert 1763374316.000008600, sequence: 13064 - clear  0.000000000, sequence: 0
source 0 - assert 1763374317.000008276, sequence: 13065 - clear  0.000000000, sequence: 0
source 0 - assert 1763374318.000011002, sequence: 13066 - clear  0.000000000, sequence: 0
source 0 - assert 1763374319.000007915, sequence: 13067 - clear  0.000000000, sequence: 0
source 0 - assert 1763374320.000007116, sequence: 13068 - clear  0.000000000, sequence: 0
source 0 - assert 1763374321.000009112, sequence: 13069 - clear  0.000000000, sequence: 0
source 0 - assert 1763374322.000012366, sequence: 13070 - clear  0.000000000, sequence: 0
source 0 - assert 1763374323.000009538, sequence: 13071 - clear  0.000000000, sequence: 0
source 0 - assert 1763374324.000009365, sequence: 13072 - clear  0.000000000, sequence: 0
source 0 - assert 1763374325.000005485, sequence: 13073 - clear  0.000000000, sequence: 0
source 0 - assert 1763374326.000005984, sequence: 13074 - clear  0.000000000, sequence: 0
source 0 - assert 1763374327.000006536, sequence: 13075 - clear  0.000000000, sequence: 0
source 0 - assert 1763374328.000007757, sequence: 13076 - clear  0.000000000, sequence: 0
source 0 - assert 1763374329.000008137, sequence: 13077 - clear  0.000000000, sequence: 0
source 0 - assert 1763374330.000006638, sequence: 13078 - clear  0.000000000, sequence: 0
source 0 - assert 1763374331.000006587, sequence: 13079 - clear  0.000000000, sequence: 0
source 0 - assert 1763374332.000009162, sequence: 13080 - clear  0.000000000, sequence: 0
source 0 - assert 1763374333.000012287, sequence: 13081 - clear  0.000000000, sequence: 0
source 0 - assert 1763374334.000006777, sequence: 13082 - clear  0.000000000, sequence: 0
source 0 - assert 1763374335.000006311, sequence: 13083 - clear  0.000000000, sequence: 0
source 0 - assert 1763374336.000007934, sequence: 13084 - clear  0.000000000, sequence: 0
source 0 - assert 1763374337.000005735, sequence: 13085 - clear  0.000000000, sequence: 0
source 0 - assert 1763374338.000009377, sequence: 13086 - clear  0.000000000, sequence: 0
source 0 - assert 1763374339.000006410, sequence: 13087 - clear  0.000000000, sequence: 0
source 0 - assert 1763374340.000008441, sequence: 13088 - clear  0.000000000, sequence: 0
source 0 - assert 1763374341.000006419, sequence: 13089 - clear  0.000000000, sequence: 0
source 0 - assert 1763374342.000008552, sequence: 13090 - clear  0.000000000, sequence: 0
source 0 - assert 1763374343.000010342, sequence: 13091 - clear  0.000000000, sequence: 0
source 0 - assert 1763374344.000010084, sequence: 13092 - clear  0.000000000, sequence: 0
source 0 - assert 1763374345.000008369, sequence: 13093 - clear  0.000000000, sequence: 0
source 0 - assert 1763374346.000008044, sequence: 13094 - clear  0.000000000, sequence: 0
source 0 - assert 1763374347.000003754, sequence: 13095 - clear  0.000000000, sequence: 0
source 0 - assert 1763374348.000006757, sequence: 13096 - clear  0.000000000, sequence: 0
source 0 - assert 1763374349.000007464, sequence: 13097 - clear  0.000000000, sequence: 0
source 0 - assert 1763374350.000008745, sequence: 13098 - clear  0.000000000, sequence: 0
source 0 - assert 1763374351.000005658, sequence: 13099 - clear  0.000000000, sequence: 0
source 0 - assert 1763374352.000012491, sequence: 13100 - clear  0.000000000, sequence: 0
source 0 - assert 1763374353.000007496, sequence: 13101 - clear  0.000000000, sequence: 0
source 0 - assert 1763374354.000008784, sequence: 13102 - clear  0.000000000, sequence: 0
source 0 - assert 1763374355.000009365, sequence: 13103 - clear  0.000000000, sequence: 0
source 0 - assert 1763374356.000006406, sequence: 13104 - clear  0.000000000, sequence: 0
source 0 - assert 1763374357.000005820, sequence: 13105 - clear  0.000000000, sequence: 0
source 0 - assert 1763374358.000010818, sequence: 13106 - clear  0.000000000, sequence: 0
source 0 - assert 1763374359.000007450, sequence: 13107 - clear  0.000000000, sequence: 0
source 0 - assert 1763374360.000009087, sequence: 13108 - clear  0.000000000, sequence: 0
source 0 - assert 1763374361.000006549, sequence: 13109 - clear  0.000000000, sequence: 0
