trying PPS source "/dev/pps0"
found PPS source "/dev/pps0"
ok, found 1 source(s), now start fetching data...
source 0 - assert 1763374878.000008459, sequence: 13626 - clear  0.000000000, sequence: 0
source 0 - assert 1763374879.000007472, sequence: 13627 - clear  0.000000000, sequence: 0
source 0 - assert 1763374880.000007151, sequence: 13628 - clear  0.000000000, sequence: 0
source 0 - assert 1763374881.000004918, sequence: 13629 - clear  0.000000000, sequence: 0
source 0 - assert 1763374882.000008861, sequence: 13630 - clear  0.000000000, sequence: 0
source 0 - assert 1763374883.000008859, sequence: 13631 - clear  0.000000000, sequence: 0
source 0 - assert 1763374884.000004549, sequence: 13632 - clear  0.000000000, sequence: 0
source 0 - assert 1763374885.000007329, sequence: 13633 - clear  0.000000000, sequence: 0
source 0 - assert 1763374886.000007483, sequence: 13634 - clear  0.000000000, sequence: 0
source 0 - assert 1763374887.000006857, sequence: 13635 - clear  0.000000000, sequence: 0
source 0 - assert 1763374888.000006032, sequence: 13636 - clear  0.000000000, sequence: 0
source 0 - assert 1763374889.000007444, sequence: 13637 - clear  0.000000000, sequence: 0
source 0 - assert 1763374890.000007645, sequence: 13638 - clear  0.000000000, sequence: 0
source 0 - assert 1763374891.000007326, sequence: 13639 - clear  0.000000000, sequence: 0
source 0 - assert 1763374892.000002750, sequence: 13640 - clear  0.000000000, sequence: 0
source 0 - assert 1763374893.000003414, sequence: 13641 - clear  0.000000000, sequence: 0
source 0 - assert 1763374894.000009002, sequence: 13642 - clear  0.000000000, sequence: 0
source 0 - assert 1763374895.000007148, sequence: 13643 - clear  0.000000000, sequence: 0
source 0 - assert 1763374896.000008960, sequence: 13644 - clear  0.000000000, sequence: 0
source 0 - assert 1763374897.000009672, sequence: 13645 - clear  0.000000000, sequence: 0
source 0 - assert 1763374898.000005559, sequence: 13646 - clear  0.000000000, sequence: 0
source 0 - assert 1763374899.000008563, sequence: 13647 - clear  0.000000000, sequence: 0
source 0 - assert 1763374900.000009314, sequence: 13648 - clear  0.000000000, sequence: 0
source 0 - assert 1763374901.000006530, sequence: 13649 - clear  0.000000000, sequence: 0
source 0 - assert 1763374902.000007498, sequence: 13650 - clear  0.000000000, sequence: 0
source 0 - assert 1763374903.000005670, sequence: 13651 - clear  0.000000000, sequence: 0
source 0 - assert 1763374904.000005719, sequence: 13652 - clear  0.000000000, sequence: 0
source 0 - assert 1763374905.000009042, sequence: 13653 - clear  0.000000000, sequence: 0
