trying PPS source "/dev/pps0"
found PPS source "/dev/pps0"
ok, found 1 source(s), now start fetching data...
source 0 - assert 1763380553.000010352, sequence: 19301 - clear  0.000000000, sequence: 0
source 0 - assert 1763380554.000009715, sequence: 19302 - clear  0.000000000, sequence: 0
source 0 - assert 1763380555.000005341, sequence: 19303 - clear  0.000000000, sequence: 0
source 0 - assert 1763380556.000011785, sequence: 19304 - clear  0.000000000, sequence: 0
source 0 - assert 1763380557.000008166, sequence: 19305 - clear  0.000000000, sequence: 0
source 0 - assert 1763380558.000010148, sequence: 19306 - clear  0.000000000, sequence: 0
source 0 - assert 1763380559.000007081, sequence: 19307 - clear  0.000000000, sequence: 0
source 0 - assert 1763380560.000009874, sequence: 19308 - clear  0.000000000, sequence: 0
source 0 - assert 1763380561.000006862, sequence: 19309 - clear  0.000000000, sequence: 0
source 0 - assert 1763380562.000007610, sequence: 19310 - clear  0.000000000, sequence: 0
source 0 - assert 1763380563.000009586, sequence: 19311 - clear  0.000000000, sequence: 0
source 0 - assert 1763380564.000008090, sequence: 19312 - clear  0.000000000, sequence: 0
source 0 - assert 1763380565.000006762, sequence: 19313 - clear  0.000000000, sequence: 0
source 0 - assert 1763380566.000008685, sequence: 19314 - clear  0.000000000, sequence: 0
source 0 - assert 1763380567.000006875, sequence: 19315 - clear  0.000000000, sequence: 0
source 0 - assert 1763380568.000008656, sequence: 19316 - clear  0.000000000, sequence: 0
source 0 - assert 1763380569.000011753, sequence: 19317 - clear  0.000000000, sequence: 0
source 0 - assert 1763380570.000007472, sequence: 19318 - clear  0.000000000, sequence: 0
source 0 - assert 1763380571.000009779, sequence: 19319 - clear  0.000000000, sequence: 0
source 0 - assert 1763380572.000008101, sequence: 19320 - clear  0.000000000, sequence: 0
source 0 - assert 1763380573.000008271, sequence: 19321 - clear  0.000000000, sequence: 0
source 0 - assert 1763380574.000008636, sequence: 19322 - clear  0.000000000, sequence: 0
source 0 - assert 1763380575.000010198, sequence: 19323 - clear  0.000000000, sequence: 0
source 0 - assert 1763380576.000010092, sequence: 19324 - clear  0.000000000, sequence: 0
source 0 - assert 1763380577.000004370, sequence: 19325 - clear  0.000000000, sequence: 0
source 0 - assert 1763380578.000008915, sequence: 19326 - clear  0.000000000, sequence: 0
source 0 - assert 1763380579.000006942, sequence: 19327 - clear  0.000000000, sequence: 0
source 0 - assert 1763380580.000011157, sequence: 19328 - clear  0.000000000, sequence: 0
source 0 - assert 1763380581.000008961, sequence: 19329 - clear  0.000000000, sequence: 0
source 0 - assert 1763380582.000003199, sequence: 19330 - clear  0.000000000, sequence: 0
source 0 - assert 1763380583.000007124, sequence: 19331 - clear  0.000000000, sequence: 0
source 0 - assert 1763380584.000010398, sequence: 19332 - clear  0.000000000, sequence: 0
source 0 - assert 1763380585.000007733, sequence: 19333 - clear  0.000000000, sequence: 0
source 0 - assert 1763380586.000008779, sequence: 19334 - clear  0.000000000, sequence: 0
source 0 - assert 1763380587.000005981, sequence: 19335 - clear  0.000000000, sequence: 0
source 0 - assert 1763380588.000010943, sequence: 19336 - clear  0.000000000, sequence: 0
source 0 - assert 1763380589.000006442, sequence: 19337 - clear  0.000000000, sequence: 0
source 0 - assert 1763380590.000008139, sequence: 19338 - clear  0.000000000, sequence: 0
source 0 - assert 1763380591.000011664, sequence: 19339 - clear  0.000000000, sequence: 0
source 0 - assert 1763380592.000009782, sequence: 19340 - clear  0.000000000, sequence: 0
source 0 - assert 1763380593.000008958, sequence: 19341 - clear  0.000000000, sequence: 0
source 0 - assert 1763380594.000007375, sequence: 19342 - clear  0.000000000, sequence: 0
source 0 - assert 1763380595.000005442, sequence: 19343 - clear  0.000000000, sequence: 0
source 0 - assert 1763380596.000008287, sequence: 19344 - clear  0.000000000, sequence: 0
source 0 - assert 1763380597.000010891, sequence: 19345 - clear  0.000000000, sequence: 0
source 0 - assert 1763380598.000009036, sequence: 19346 - clear  0.000000000, sequence: 0
source 0 - assert 1763380599.000008539, sequence: 19347 - clear  0.000000000, sequence: 0
source 0 - assert 1763380600.000007857, sequence: 19348 - clear  0.000000000, sequence: 0
source 0 - assert 1763380601.000011664, sequence: 19349 - clear  0.000000000, sequence: 0
source 0 - assert 1763380602.000010944, sequence: 19350 - clear  0.000000000, sequence: 0
source 0 - assert 1763380603.000007273, sequence: 19351 - clear  0.000000000, sequence: 0
source 0 - assert 1763380604.000007857, sequence: 19352 - clear  0.000000000, sequence: 0
source 0 - assert 1763380605.000005986, sequence: 19353 - clear  0.000000000, sequence: 0
