trying PPS source "/dev/pps0"
found PPS source "/dev/pps0"
ok, found 1 source(s), now start fetching data...
source 0 - assert 1763381168.000008745, sequence: 19916 - clear  0.000000000, sequence: 0
source 0 - assert 1763381169.000006153, sequence: 19917 - clear  0.000000000, sequence: 0
source 0 - assert 1763381170.000004539, sequence: 19918 - clear  0.000000000, sequence: 0
source 0 - assert 1763381171.000007508, sequence: 19919 - clear  0.000000000, sequence: 0
source 0 - assert 1763381172.000006485, sequence: 19920 - clear  0.000000000, sequence: 0
source 0 - assert 1763381173.000007563, sequence: 19921 - clear  0.000000000, sequence: 0
source 0 - assert 1763381174.000004245, sequence: 19922 - clear  0.000000000, sequence: 0
source 0 - assert 1763381175.000004692, sequence: 19923 - clear  0.000000000, sequence: 0
source 0 - assert 1763381176.000005810, sequence: 19924 - clear  0.000000000, sequence: 0
source 0 - assert 1763381177.000008336, sequence: 19925 - clear  0.000000000, sequence: 0
source 0 - assert 1763381178.000002998, sequence: 19926 - clear  0.000000000, sequence: 0
source 0 - assert 1763381179.000009016, sequence: 19927 - clear  0.000000000, sequence: 0
source 0 - assert 1763381180.000008948, sequence: 19928 - clear  0.000000000, sequence: 0
source 0 - assert 1763381181.000004547, sequence: 19929 - clear  0.000000000, sequence: 0
source 0 - assert 1763381182.000006787, sequence: 19930 - clear  0.000000000, sequence: 0
source 0 - assert 1763381183.000005200, sequence: 19931 - clear  0.000000000, sequence: 0
source 0 - assert 1763381184.000007647, sequence: 19932 - clear  0.000000000, sequence: 0
source 0 - assert 1763381185.000011837, sequence: 19933 - clear  0.000000000, sequence: 0
source 0 - assert 1763381186.000006577, sequence: 19934 - clear  0.000000000, sequence: 0
source 0 - assert 1763381187.000009117, sequence: 19935 - clear  0.000000000, sequence: 0
source 0 - assert 1763381188.000005341, sequence: 19936 - clear  0.000000000, sequence: 0
source 0 - assert 1763381189.000010535, sequence: 19937 - clear  0.000000000, sequence: 0
source 0 - assert 1763381190.000009578, sequence: 19938 - clear  0.000000000, sequence: 0
source 0 - assert 1763381191.000006177, sequence: 19939 - clear  0.000000000, sequence: 0
source 0 - assert 1763381192.000004434, sequence: 19940 - clear  0.000000000, sequence: 0
source 0 - assert 1763381193.000004244, sequence: 19941 - clear  0.000000000, sequence: 0
source 0 - assert 1763381194.000011823, sequence: 19942 - clear  0.000000000, sequence: 0
source 0 - assert 1763381195.000008152, sequence: 19943 - clear  0.000000000, sequence: 0
source 0 - assert 1763381196.000005764, sequence: 19944 - clear  0.000000000, sequence: 0
source 0 - assert 1763381197.000009584, sequence: 19945 - clear  0.000000000, sequence: 0
source 0 - assert 1763381198.000004640, sequence: 19946 - clear  0.000000000, sequence: 0
source 0 - assert 1763381199.000005801, sequence: 19947 - clear  0.000000000, sequence: 0
source 0 - assert 1763381200.000007608, sequence: 19948 - clear  0.000000000, sequence: 0
source 0 - assert 1763381201.000006819, sequence: 19949 - clear  0.000000000, sequence: 0
source 0 - assert 1763381202.000008935, sequence: 19950 - clear  0.000000000, sequence: 0
source 0 - assert 1763381203.000006004, sequence: 19951 - clear  0.000000000, sequence: 0
source 0 - assert 1763381204.000009544, sequence: 19952 - clear  0.000000000, sequence: 0
source 0 - assert 1763381205.000004275, sequence: 19953 - clear  0.000000000, sequence: 0
source 0 - assert 1763381206.000008647, sequence: 19954 - clear  0.000000000, sequence: 0
source 0 - assert 1763381207.000006032, sequence: 19955 - clear  0.000000000, sequence: 0
