ptp4l[617609.972]: selected /dev/ptp0 as PTP clock
ptp4l[617609.984]: port 1 (eth0): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[617609.987]: port 0 (/var/run/ptp4l): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[617609.991]: port 0 (/var/run/ptp4lro): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[617610.036]: timeguard: registered, proxy_id=0xb7773cd9fca89d04

ptp4l[617610.038]: TG_CMD_SET_TIME InvokeCommand result: 0x0

ptp4l[617616.677]: port 1 (eth0): new foreign master 641c10.fffe.f12579-1
ptp4l[617616.741]: selected local clock 000000.fffe.049f06 as best master
ptp4l[617616.742]: TEE: InvokeCommand returned 0x0

ptp4l[617616.744]: TEE: InvokeCommand returned 0x0

ptp4l[617616.744]: TEE: DECIDE OK -> decided_state=4 (ps_out=4)

ptp4l[617620.519]: selected best master clock 641c10.fffe.f12579
ptp4l[617620.519]: TEE: InvokeCommand returned 0x0

ptp4l[617620.520]: TEE: InvokeCommand returned 0x0

ptp4l[617620.521]: TEE: DECIDE OK -> decided_state=9 (ps_out=9)

ptp4l[617620.521]: port 1 (eth0): LISTENING to UNCALIBRATED on RS_SLAVE
ptp4l[617622.426]: master offset -550545368 s0 freq  -81270 path delay  14592275
ptp4l[617623.389]: master offset -589232896 s1 freq -32767999 path delay  11528712
ptp4l[617624.402]: master offset   48160981 s2 freq +15392982 path delay  11528712
ptp4l[617624.404]: port 1 (eth0): UNCALIBRATED to SLAVE on MASTER_CLOCK_SELECTED
ptp4l[617625.505]: master offset   34849221 s2 freq +16529516 path delay   8929110
ptp4l[617626.603]: master offset   27942966 s2 freq +20078028 path delay   6113364
ptp4l[617627.704]: master offset    6861577 s2 freq +7379528 path delay   6113364
ptp4l[617628.805]: master offset  -12020108 s2 freq -9443684 path delay   3297618
ptp4l[617629.903]: master offset   -3033959 s2 freq -4063567 path delay    672623
ptp4l[617630.925]: master offset     687946 s2 freq -1251850 path delay    672623
ptp4l[617631.947]: master offset  -20494326 s2 freq -22227738 path delay    107469
ptp4l[617632.938]: master offset    7120246 s2 freq -761464 path delay  -1483242
ptp4l[617633.965]: master offset    7474868 s2 freq +1729232 path delay  -1483242
ptp4l[617634.975]: master offset  -27563068 s2 freq -31066243 path delay  -1487458
ptp4l[617635.943]: master offset  -25309415 s2 freq -32767999 path delay  -3843899
ptp4l[617636.936]: master offset   15635347 s2 freq +3863251 path delay  -3843899
ptp4l[617637.981]: master offset    -436117 s2 freq -7517609 path delay  -4183856
ptp4l[617638.974]: master offset  -19891834 s2 freq -27104161 path delay  -3463933
ptp4l[617639.950]: master offset  -29272870 s2 freq -32767999 path delay  -3463933
ptp4l[617640.936]: master offset   11245422 s2 freq -1934455 path delay  -3056520
ptp4l[617641.978]: master offset   12110554 s2 freq +2304304 path delay  -3957412
