ptp4l[618238.799]: selected /dev/ptp0 as PTP clock
ptp4l[618238.805]: port 1 (eth0): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[618238.808]: port 0 (/var/run/ptp4l): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[618238.810]: port 0 (/var/run/ptp4lro): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[618238.853]: timeguard: registered, proxy_id=0x96f5611ace1d5f34

ptp4l[618238.855]: TG_CMD_SET_TIME InvokeCommand result: 0x0

ptp4l[618244.717]: port 1 (eth0): new foreign master 641c10.fffe.f12579-1
ptp4l[618246.134]: selected local clock 000000.fffe.049f06 as best master
ptp4l[618246.136]: TEE: InvokeCommand returned 0x0

ptp4l[618246.138]: TEE: InvokeCommand returned 0x0

ptp4l[618246.139]: TEE: DECIDE OK -> decided_state=4 (ps_out=4)

ptp4l[618248.563]: selected best master clock 641c10.fffe.f12579
ptp4l[618248.564]: TEE: InvokeCommand returned 0x0

ptp4l[618248.566]: TEE: InvokeCommand returned 0x0

ptp4l[618248.567]: TEE: DECIDE OK -> decided_state=9 (ps_out=9)

ptp4l[618248.569]: port 1 (eth0): LISTENING to UNCALIBRATED on RS_SLAVE
ptp4l[618251.432]: master offset -547146334 s0 freq  -81235 path delay   3228805
ptp4l[618252.389]: master offset -595436146 s1 freq -32767999 path delay   9793538
ptp4l[618253.431]: master offset   40878429 s2 freq +8110430 path delay   9793538
ptp4l[618253.434]: port 1 (eth0): UNCALIBRATED to SLAVE on MASTER_CLOCK_SELECTED
ptp4l[618254.529]: master offset   50787432 s2 freq +30282962 path delay     -7420
ptp4l[618255.632]: master offset   19372880 s2 freq +14104639 path delay     -7420
ptp4l[618256.729]: master offset    7012456 s2 freq +7556079 path delay    518726
ptp4l[618257.832]: master offset   -1131259 s2 freq +1516101 path delay    518726
ptp4l[618258.919]: master offset  -21081851 s2 freq -18773869 path delay   -271985
ptp4l[618259.924]: master offset    2726426 s2 freq -1290147 path delay   -271985
ptp4l[618260.948]: master offset  -22538710 s2 freq -25737355 path delay  -1079934
ptp4l[618261.945]: master offset  -46071488 s2 freq -32767999 path delay  -2565764
ptp4l[618262.928]: master offset  -27702320 s2 freq -32767999 path delay  -3477668
ptp4l[618263.948]: master offset   23082815 s2 freq +13122557 path delay  -3477668
ptp4l[618264.986]: master offset   -6334547 s2 freq -9369961 path delay  -3202387
ptp4l[618265.983]: master offset  -12590093 s2 freq -17525871 path delay  -2290484
ptp4l[618266.975]: master offset   -3143581 s2 freq -11856387 path delay  -3660098
ptp4l[618267.979]: master offset   -1180479 s2 freq -10836359 path delay  -4047641
ptp4l[618268.980]: master offset  -41086335 s2 freq -32767999 path delay  -4047641
