ptp4l[618804.397]: selected /dev/ptp0 as PTP clock
ptp4l[618804.411]: port 1 (eth0): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[618804.414]: port 0 (/var/run/ptp4l): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[618804.416]: port 0 (/var/run/ptp4lro): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[618804.457]: timeguard: registered, proxy_id=0xc2630ca801a249e6

ptp4l[618804.458]: TG_CMD_SET_TIME InvokeCommand result: 0x0

ptp4l[618810.806]: port 1 (eth0): new foreign master 641c10.fffe.f12579-1
ptp4l[618811.987]: selected local clock 000000.fffe.049f06 as best master
ptp4l[618811.989]: TEE: InvokeCommand returned 0x0

ptp4l[618811.991]: TEE: InvokeCommand returned 0x0

ptp4l[618811.991]: TEE: DECIDE OK -> decided_state=4 (ps_out=4)

ptp4l[618814.651]: selected best master clock 641c10.fffe.f12579
ptp4l[618814.652]: TEE: InvokeCommand returned 0x0

ptp4l[618814.654]: TEE: InvokeCommand returned 0x0

ptp4l[618814.654]: TEE: DECIDE OK -> decided_state=9 (ps_out=9)

ptp4l[618814.656]: port 1 (eth0): LISTENING to UNCALIBRATED on RS_SLAVE
ptp4l[618816.563]: master offset -541475236 s0 freq  -81217 path delay  18185353
ptp4l[618817.520]: master offset -583229541 s1 freq -32767999 path delay  18185353
ptp4l[618818.491]: master offset   40777546 s2 freq +8009547 path delay  18185353
ptp4l[618818.493]: port 1 (eth0): UNCALIBRATED to SLAVE on MASTER_CLOCK_SELECTED
ptp4l[618819.591]: master offset   42617087 s2 freq +22082352 path delay  18185353
ptp4l[618820.691]: master offset   36091104 s2 freq +28341495 path delay   9695889
ptp4l[618821.786]: master offset   24522784 s2 freq +27600506 path delay   5705774
ptp4l[618822.891]: master offset   -6872147 s2 freq +3562410 path delay   5705774
ptp4l[618823.991]: master offset  -32043491 s2 freq -23670578 path delay   4257950
ptp4l[618825.020]: master offset  -58198632 s2 freq -32767999 path delay   2732188
ptp4l[618826.021]: master offset   -7467714 s2 freq -8707848 path delay   2732188
ptp4l[618827.049]: master offset   21928796 s2 freq +18448348 path delay  -1655283
ptp4l[618828.089]: master offset   -4800076 s2 freq -1701886 path delay   -129521
ptp4l[618829.092]: master offset   -5913290 s2 freq -4255122 path delay  -2549764
ptp4l[618830.084]: master offset   -9926073 s2 freq -10041892 path delay  -2893572
