ptp4l[619448.871]: selected /dev/ptp0 as PTP clock
ptp4l[619448.877]: port 1 (eth0): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[619448.880]: port 0 (/var/run/ptp4l): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[619448.883]: port 0 (/var/run/ptp4lro): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[619448.933]: timeguard: registered, proxy_id=0x17482c43ec365262

ptp4l[619448.935]: TG_CMD_SET_TIME InvokeCommand result: 0x0

ptp4l[619455.667]: port 1 (eth0): new foreign master 641c10.fffe.f12579-1
ptp4l[619456.172]: selected local clock 000000.fffe.049f06 as best master
ptp4l[619456.173]: TEE: InvokeCommand returned 0x0

ptp4l[619456.175]: TEE: InvokeCommand returned 0x0

ptp4l[619456.175]: TEE: DECIDE OK -> decided_state=4 (ps_out=4)

ptp4l[619459.513]: selected best master clock 641c10.fffe.f12579
ptp4l[619459.514]: TEE: InvokeCommand returned 0x0

ptp4l[619459.516]: TEE: InvokeCommand returned 0x0

ptp4l[619459.516]: TEE: DECIDE OK -> decided_state=9 (ps_out=9)

ptp4l[619459.519]: port 1 (eth0): LISTENING to UNCALIBRATED on RS_SLAVE
ptp4l[619461.416]: master offset -553423796 s0 freq  -81191 path delay  13342365
ptp4l[619462.379]: master offset -596797145 s1 freq -32767999 path delay  14966746
ptp4l[619463.411]: master offset   40950341 s2 freq +8182342 path delay  14966746
ptp4l[619463.412]: port 1 (eth0): UNCALIBRATED to SLAVE on MASTER_CLOCK_SELECTED
ptp4l[619464.509]: master offset   42806803 s2 freq +22323906 path delay  14966746
ptp4l[619465.609]: master offset   29387550 s2 freq +21746694 path delay  13342365
ptp4l[619466.703]: master offset   10457717 s2 freq +11633126 path delay  10773495
ptp4l[619467.812]: master offset  -13070149 s2 freq -8757425 path delay   8204626
ptp4l[619468.906]: master offset   14186945 s2 freq +14578625 path delay   5817047
ptp4l[619469.942]: master offset   -1725148 s2 freq +2922615 path delay   5817047
ptp4l[619470.949]: master offset  -17071964 s2 freq -12941745 path delay   3429468
ptp4l[619471.943]: master offset   -9014273 s2 freq -10005644 path delay   2758307
ptp4l[619472.952]: master offset     895544 s2 freq -2800108 path delay   2758307
ptp4l[619473.965]: master offset    4226640 s2 freq +799651 path delay   2087147
ptp4l[619474.969]: master offset   -7364156 s2 freq -9523153 path delay   1567176
ptp4l[619475.961]: master offset  -37159020 s2 freq -32767999 path delay     86701
ptp4l[619476.930]: master offset  -14840290 s2 freq -19208534 path delay     22805
ptp4l[619477.942]: master offset   -3626055 s2 freq -12446386 path delay   -704230
ptp4l[619478.960]: master offset    8393450 s2 freq -1514698 path delay   -704230
ptp4l[619479.969]: master offset  -33487826 s2 freq -32767999 path delay     22805
ptp4l[619480.940]: master offset  -28890506 s2 freq -32767999 path delay     22805
ptp4l[619481.938]: master offset   12020020 s2 freq +4629907 path delay     22805
ptp4l[619482.967]: master offset   -6194099 s2 freq -9978206 path delay   -704230
ptp4l[619483.970]: master offset  -10054054 s2 freq -15696390 path delay  -2549291
ptp4l[619484.962]: master offset    5543609 s2 freq -3114943 path delay  -2549291
ptp4l[619485.965]: master offset  -19703782 s2 freq -26699252 path delay  -2549291
ptp4l[619486.950]: master offset    1205025 s2 freq -11701579 path delay  -3983016
ptp4l[619487.963]: master offset   13192771 s2 freq +647674 path delay  -3983016
ptp4l[619488.975]: master offset  -16240994 s2 freq -24828259 path delay  -3983016
ptp4l[619489.952]: master offset  -33770126 s2 freq -32767999 path delay  -2550043
ptp4l[619490.931]: master offset      49304 s2 freq -13410260 path delay  -3983016
