ptp4l[620027.093]: selected /dev/ptp0 as PTP clock
ptp4l[620027.100]: port 1 (eth0): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[620027.103]: port 0 (/var/run/ptp4l): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[620027.107]: port 0 (/var/run/ptp4lro): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[620027.153]: timeguard: registered, proxy_id=0xb602f62673d68916

ptp4l[620027.155]: TG_CMD_SET_TIME InvokeCommand result: 0x0

ptp4l[620034.109]: port 1 (eth0): new foreign master 641c10.fffe.f12579-1
ptp4l[620034.212]: selected local clock 000000.fffe.049f06 as best master
ptp4l[620034.213]: TEE: InvokeCommand returned 0x0

ptp4l[620034.215]: TEE: InvokeCommand returned 0x0

ptp4l[620034.215]: TEE: DECIDE OK -> decided_state=4 (ps_out=4)

ptp4l[620037.954]: selected best master clock 641c10.fffe.f12579
ptp4l[620037.954]: TEE: InvokeCommand returned 0x0

ptp4l[620037.955]: TEE: InvokeCommand returned 0x0

ptp4l[620037.955]: TEE: DECIDE OK -> decided_state=9 (ps_out=9)

ptp4l[620037.956]: port 1 (eth0): LISTENING to UNCALIBRATED on RS_SLAVE
ptp4l[620039.862]: master offset -562021083 s0 freq  -81202 path delay  12318117
ptp4l[620040.821]: master offset -595029542 s1 freq -32767999 path delay   4047314
ptp4l[620041.878]: master offset   33677194 s2 freq +909195 path delay   4047314
ptp4l[620041.880]: port 1 (eth0): UNCALIBRATED to SLAVE on MASTER_CLOCK_SELECTED
ptp4l[620042.981]: master offset   32379565 s2 freq +9714724 path delay   4047314
ptp4l[620044.078]: master offset   16581950 s2 freq +3630979 path delay   4047314
ptp4l[620045.179]: master offset   20147086 s2 freq +12170700 path delay   1784482
ptp4l[620046.279]: master offset    6859034 s2 freq +4926773 path delay   2262969
ptp4l[620047.359]: master offset    2136558 s2 freq +2262008 path delay   1761067
ptp4l[620048.381]: master offset   -4267143 s2 freq -3500726 path delay   1761067
ptp4l[620049.396]: master offset   -1121238 s2 freq -1634964 path delay   1761067
ptp4l[620050.406]: master offset    2178034 s2 freq +1327937 path delay   1428955
ptp4l[620051.413]: master offset    1127158 s2 freq +930471 path delay    968752
ptp4l[620052.416]: master offset    -218313 s2 freq  -76853 path delay    968752
ptp4l[620053.418]: master offset    -542346 s2 freq -466380 path delay    968752
ptp4l[620054.416]: master offset  -17170800 s2 freq -17257537 path delay    691083
ptp4l[620055.408]: master offset  -20646476 s2 freq -25884453 path delay    444227
ptp4l[620056.407]: master offset    9998034 s2 freq -1433886 path delay    444227
ptp4l[620057.417]: master offset    6779239 s2 freq -1653271 path delay    -66869
ptp4l[620058.426]: master offset    3502861 s2 freq -2895877 path delay   -190563
ptp4l[620059.421]: master offset    5995593 s2 freq +647713 path delay   -190563
ptp4l[620060.421]: master offset  -11311956 s2 freq -14861158 path delay   -190563
ptp4l[620061.418]: master offset    3884805 s2 freq -3057984 path delay   -291704
ptp4l[620062.416]: master offset   10199890 s2 freq +4422543 path delay   -439472
ptp4l[620063.422]: master offset    5590321 s2 freq +2872941 path delay   -439472
ptp4l[620064.422]: master offset   -8933435 s2 freq -9973719 path delay   -439472
ptp4l[620065.418]: master offset    1153503 s2 freq -2566812 path delay   -573797
ptp4l[620066.415]: master offset    7298257 s2 freq +3923993 path delay   -573797
