ptp4l[625503.407]: selected /dev/ptp0 as PTP clock
ptp4l[625503.414]: port 1 (eth0): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[625503.417]: port 0 (/var/run/ptp4l): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[625503.421]: port 0 (/var/run/ptp4lro): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[625503.467]: timeguard: registered, proxy_id=0x6204d12c19d4cdea

ptp4l[625503.469]: TG_CMD_SET_TIME InvokeCommand result: 0x0

ptp4l[625509.080]: port 1 (eth0): new foreign master 641c10.fffe.f12579-1
ptp4l[625509.440]: selected local clock 000000.fffe.049f06 as best master
ptp4l[625509.441]: TEE: InvokeCommand returned 0x0

ptp4l[625509.443]: TEE: InvokeCommand returned 0x0

ptp4l[625509.444]: TEE: DECIDE OK -> decided_state=4 (ps_out=4)

ptp4l[625512.928]: selected best master clock 641c10.fffe.f12579
ptp4l[625512.929]: TEE: InvokeCommand returned 0x0

ptp4l[625512.931]: TEE: InvokeCommand returned 0x0

ptp4l[625512.932]: TEE: DECIDE OK -> decided_state=9 (ps_out=9)

ptp4l[625512.935]: port 1 (eth0): LISTENING to UNCALIBRATED on RS_SLAVE
ptp4l[625514.837]: master offset -496799722 s0 freq  -81208 path delay   5497323
ptp4l[625515.795]: master offset -541271819 s1 freq -32767999 path delay   7019996
ptp4l[625516.804]: master offset  -12015227 s2 freq -32767999 path delay   7019996
ptp4l[625516.806]: port 1 (eth0): UNCALIBRATED to SLAVE on MASTER_CLOCK_SELECTED
ptp4l[625517.904]: master offset    -589057 s2 freq -32767999 path delay  -8808200
ptp4l[625519.005]: master offset   50151282 s2 freq +17383283 path delay  -8808200
ptp4l[625520.104]: master offset   28032731 s2 freq +10310117 path delay  -3877158
ptp4l[625521.205]: master offset   36537779 s2 freq +27224984 path delay  -3020510
ptp4l[625522.306]: master offset   14567254 s2 freq +16215793 path delay  -2260324
ptp4l[625523.309]: master offset    6383118 s2 freq +12401833 path delay  -2260324
ptp4l[625524.314]: master offset    7917407 s2 freq +15851057 path delay  -3020510
ptp4l[625525.316]: master offset   -8021393 s2 freq +2287479 path delay  -3020510
ptp4l[625526.308]: master offset   -8087763 s2 freq -185309 path delay  -3020510
ptp4l[625527.306]: master offset  -19540482 s2 freq -14064356 path delay   -604442
ptp4l[625528.302]: master offset    5568288 s2 freq +5182269 path delay   -604442
ptp4l[625529.326]: master offset      46489 s2 freq +1330956 path delay   -376623
ptp4l[625530.334]: master offset    -950389 s2 freq +348025 path delay   -376623
ptp4l[625531.334]: master offset   -2433597 s2 freq -1420300 path delay   -376623
ptp4l[625532.331]: master offset  -13576352 s2 freq -13293134 path delay   -205732
ptp4l[625533.319]: master offset   -1657023 s2 freq -5446710 path delay   -205732
ptp4l[625534.336]: master offset   14024000 s2 freq +9737206 path delay   -357691
ptp4l[625535.356]: master offset   13204411 s2 freq +13124817 path delay   -357691
ptp4l[625536.342]: master offset  -20893923 s2 freq -17012194 path delay   -284865
ptp4l[625537.316]: master offset   -3461164 s2 freq -5847612 path delay   -284865
ptp4l[625538.329]: master offset   14906990 s2 freq +11482193 path delay   -284865
ptp4l[625539.344]: master offset  -16395483 s2 freq -15348183 path delay   -284865
ptp4l[625540.321]: master offset   -1384009 s2 freq -5255354 path delay   -196391
ptp4l[625541.333]: master offset   14195842 s2 freq +9909294 path delay   -377140
ptp4l[625542.344]: master offset  -10826721 s2 freq -10854516 path delay    524525
ptp4l[625543.330]: master offset      45612 s2 freq -3230199 path delay    524525
ptp4l[625544.333]: master offset    4026856 s2 freq +764728 path delay     25711
ptp4l[625545.338]: master offset    2868115 s2 freq +814044 path delay     25711
ptp4l[625546.333]: master offset  -19289233 s2 freq -20482870 path delay   3088678
ptp4l[625547.321]: master offset    1017128 s2 freq -5963278 path delay   3088678
ptp4l[625548.335]: master offset   18527023 s2 freq +11851755 path delay   2085676
ptp4l[625549.357]: master offset    5821541 s2 freq +4704380 path delay   2085676
ptp4l[625550.339]: master offset  -11354133 s2 freq -10724832 path delay   2085676
ptp4l[625551.322]: master offset  -11507649 s2 freq -14284588 path delay   2085676
ptp4l[625552.321]: master offset   -2255535 s2 freq -8484768 path delay   2085676
ptp4l[625553.336]: master offset   10448878 s2 freq +3542984 path delay   -165419
ptp4l[625554.347]: master offset    7712629 s2 freq +3941398 path delay  -1363076
ptp4l[625555.339]: master offset   -2838654 s2 freq -4296096 path delay  -1363076
ptp4l[625556.322]: master offset  -17969799 s2 freq -20278837 path delay  -1363076
ptp4l[625557.312]: master offset   17333083 s2 freq +9633105 path delay  -4374147
ptp4l[625558.338]: master offset    3748090 s2 freq +1248037 path delay  -1526007
ptp4l[625559.339]: master offset  -14196552 s2 freq -15572178 path delay    462988
ptp4l[625560.328]: master offset   -8667407 s2 freq -14301998 path delay     36072
ptp4l[625561.326]: master offset    5574363 s2 freq -2660451 path delay     36072
ptp4l[625562.340]: master offset    9705776 s2 freq +3143271 path delay     36072
ptp4l[625563.353]: master offset   12042962 s2 freq +8392190 path delay   -522994
ptp4l[625564.346]: master offset  -13211673 s2 freq -13249556 path delay   -522994
ptp4l[625565.326]: master offset    -664382 s2 freq -4665767 path delay  -1145469
ptp4l[625566.329]: master offset    3697449 s2 freq -503251 path delay  -1145469
ptp4l[625567.338]: master offset    4388885 s2 freq +1297420 path delay   -619945
ptp4l[625568.344]: master offset    7673098 s2 freq +5898298 path delay  -1226392
ptp4l[625569.342]: master offset   -6179579 s2 freq -5652449 path delay  -1226392
ptp4l[625570.331]: master offset  -13481279 s2 freq -14808023 path delay  -1226392
ptp4l[625571.322]: master offset    1631463 s2 freq -3739665 path delay  -1226392
ptp4l[625572.341]: master offset   15655096 s2 freq +10773407 path delay  -1598792
ptp4l[625573.354]: master offset    4330627 s2 freq +4145467 path delay   -700868
ptp4l[625574.338]: master offset  -12218476 s2 freq -11104448 path delay   -700868
ptp4l[625575.324]: master offset  -13344683 s2 freq -15896198 path delay      1158
ptp4l[625576.322]: master offset   -4630924 s2 freq -11185843 path delay      1158
ptp4l[625577.339]: master offset   17364022 s2 freq +9419825 path delay  -1224974
