ptp4l[626634.285]: selected /dev/ptp0 as PTP clock
ptp4l[626634.291]: port 1 (eth0): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[626634.294]: port 0 (/var/run/ptp4l): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[626634.298]: port 0 (/var/run/ptp4lro): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[626634.351]: timeguard: registered, proxy_id=0x3f0d58ab2ba24fef

ptp4l[626634.354]: TG_CMD_SET_TIME InvokeCommand result: 0x0

ptp4l[626640.551]: port 1 (eth0): new foreign master 641c10.fffe.f12579-1
ptp4l[626642.076]: selected local clock 000000.fffe.049f06 as best master
ptp4l[626642.077]: TEE: InvokeCommand returned 0x0

ptp4l[626642.079]: TEE: InvokeCommand returned 0x0

ptp4l[626642.080]: TEE: DECIDE OK -> decided_state=4 (ps_out=4)

ptp4l[626644.395]: selected best master clock 641c10.fffe.f12579
ptp4l[626644.396]: TEE: InvokeCommand returned 0x0

ptp4l[626644.398]: TEE: InvokeCommand returned 0x0

ptp4l[626644.399]: TEE: DECIDE OK -> decided_state=9 (ps_out=9)

ptp4l[626644.400]: port 1 (eth0): LISTENING to UNCALIBRATED on RS_SLAVE
ptp4l[626646.304]: master offset -527118966 s0 freq  -81181 path delay  10372913
ptp4l[626647.265]: master offset -568872309 s1 freq -32767999 path delay  10372913
ptp4l[626648.362]: master offset   50700104 s2 freq +17932105 path delay  10372913
ptp4l[626648.364]: port 1 (eth0): UNCALIBRATED to SLAVE on MASTER_CLOCK_SELECTED
ptp4l[626649.462]: master offset   40017350 s2 freq +22459382 path delay  10372913
ptp4l[626650.565]: master offset   61634513 s2 freq +32767999 path delay  -6318948
ptp4l[626651.661]: master offset   33230855 s2 freq +27678092 path delay    458897
ptp4l[626652.755]: master offset    1813655 s2 freq +6230149 path delay    458897
ptp4l[626653.811]: master offset   10229083 s2 freq +15189673 path delay  -4577944
ptp4l[626654.830]: master offset   -5647744 s2 freq +2381571 path delay  -2535420
ptp4l[626655.820]: master offset  -40288750 s2 freq -32767999 path delay   -492896
ptp4l[626656.790]: master offset  -78230975 s2 freq -32767999 path delay   -492896
ptp4l[626657.765]: master offset  -37270693 s2 freq -30935701 path delay   -492896
ptp4l[626658.773]: master offset  -19725241 s2 freq -24571457 path delay  -3418215
ptp4l[626659.810]: master offset  -22224757 s2 freq -32767999 path delay  -3418215
ptp4l[626660.821]: master offset  -29950587 s2 freq -32767999 path delay  -3418215
ptp4l[626661.810]: master offset  -11648585 s2 freq -22412373 path delay  -3756375
ptp4l[626662.807]: master offset  -35897633 s2 freq -32767999 path delay  -4459716
ptp4l[626663.787]: master offset  -82281809 s2 freq -32767999 path delay  -2561346
ptp4l[626664.763]: master offset  -41751858 s2 freq -32767999 path delay  -2138568
ptp4l[626665.775]: master offset    9562119 s2 freq -4696245 path delay  -2138568
ptp4l[626666.827]: master offset   17832803 s2 freq +6443075 path delay  -3242390
ptp4l[626667.855]: master offset   12127012 s2 freq +6087125 path delay  -3242390
ptp4l[626668.848]: master offset  -16878545 s2 freq -19280329 path delay  -2138568
ptp4l[626669.815]: master offset  -53052907 s2 freq -32767999 path delay  -2138568
ptp4l[626670.789]: master offset   -5715785 s2 freq -13181132 path delay  -2138568
ptp4l[626671.797]: master offset    7762445 s2 freq -1417638 path delay  -1744319
ptp4l[626672.826]: master offset    8773713 s2 freq +1922364 path delay  -1744319
ptp4l[626673.836]: master offset    4929790 s2 freq +710555 path delay  -2885205
ptp4l[626674.843]: master offset    4011384 s2 freq +1271086 path delay  -2885205
ptp4l[626675.835]: master offset  -21903562 s2 freq -23440445 path delay  -2885205
ptp4l[626676.817]: master offset  -38006578 s2 freq -32767999 path delay  -4060318
ptp4l[626677.802]: master offset  -67537814 s2 freq -32767999 path delay  -1809911
ptp4l[626678.778]: master offset  -79371837 s2 freq -32767999 path delay  -4060318
ptp4l[626679.741]: master offset -105665888 s2 freq -32767999 path delay  -2264427
ptp4l[626680.714]: master offset  -70877692 s2 freq -32767999 path delay  -4060318
ptp4l[626681.731]: master offset  -29934797 s2 freq -32767999 path delay  -4060318
ptp4l[626682.788]: master offset     901733 s2 freq -7206219 path delay  -4060318
ptp4l[626683.835]: master offset  -15700878 s2 freq -23538310 path delay  -3436047
ptp4l[626684.847]: master offset    6928437 s2 freq -5619258 path delay  -1640156
ptp4l[626685.836]: master offset  -35523355 s2 freq -32767999 path delay   -823951
ptp4l[626686.826]: master offset    5472498 s2 freq -4996666 path delay   -823951
ptp4l[626687.826]: master offset    7976519 s2 freq -850896 path delay   -886050
ptp4l[626688.844]: master offset    8598828 s2 freq +2164369 path delay   -886050
ptp4l[626689.837]: master offset   -5961354 s2 freq -9816164 path delay     17289
ptp4l[626690.832]: master offset    3966315 s2 freq -1676902 path delay     17289
ptp4l[626691.832]: master offset   -4638328 s2 freq -9091650 path delay     17289
ptp4l[626692.828]: master offset   -3798294 s2 freq -9643115 path delay     17289
ptp4l[626693.822]: master offset  -11004021 s2 freq -17988330 path delay   -751286
ptp4l[626694.826]: master offset    9248404 s2 freq -1037111 path delay   -751286
ptp4l[626695.837]: master offset   -4370394 s2 freq -11881388 path delay   -751286
ptp4l[626696.840]: master offset  -19665586 s2 freq -28487698 path delay  -1438799
ptp4l[626697.828]: master offset    7664408 s2 freq -7057380 path delay  -1438799
ptp4l[626698.827]: master offset  -14235991 s2 freq -26658456 path delay  -1666232
ptp4l[626699.824]: master offset  -26942518 s2 freq -32767999 path delay  -2065527
ptp4l[626700.822]: master offset   -9080119 s2 freq -25773382 path delay  -2643676
ptp4l[626701.824]: master offset   19757370 s2 freq +340072 path delay  -4099857
ptp4l[626702.840]: master offset    -551181 s2 freq -14041268 path delay  -4099857
ptp4l[626703.838]: master offset    4423183 s2 freq -9232259 path delay  -4099857
ptp4l[626704.825]: master offset  -23087535 s2 freq -32767999 path delay  -4099857
ptp4l[626705.816]: master offset   11779952 s2 freq -548535 path delay  -4099857
ptp4l[626706.830]: master offset    7709734 s2 freq -1084767 path delay  -4099857
ptp4l[626707.844]: master offset   -8916790 s2 freq -15398371 path delay   -592038
ptp4l[626708.832]: master offset  -27958386 s2 freq -32767999 path delay   -592038
ptp4l[626709.822]: master offset    9927279 s2 freq +770661 path delay   -592038
ptp4l[626710.817]: master offset  -29107495 s2 freq -32767999 path delay   -592038
ptp4l[626711.817]: master offset  -16749052 s2 freq -22927486 path delay   -592038
ptp4l[626712.823]: master offset    7666447 s2 freq -3536703 path delay   -592038
ptp4l[626713.833]: master offset  -13408712 s2 freq -22311928 path delay  -1954176
ptp4l[626714.836]: master offset    9287158 s2 freq -3638671 path delay  -1954176
ptp4l[626715.840]: master offset   18815146 s2 freq +8675464 path delay  -2812729
ptp4l[626716.854]: master offset    -142580 s2 freq -4637718 path delay  -2812729
ptp4l[626717.843]: master offset   -5894197 s2 freq -10432109 path delay  -2812729
ptp4l[626718.825]: master offset   -8190285 s2 freq -14496456 path delay  -3269120
ptp4l[626719.824]: master offset    9906905 s2 freq +1143648 path delay  -3642159
ptp4l[626720.832]: master offset    8361823 s2 freq +2570638 path delay  -3642159
ptp4l[626721.839]: master offset  -12686877 s2 freq -15969515 path delay  -3277768
ptp4l[626722.833]: master offset  -32117400 s2 freq -32767999 path delay  -2821378
ptp4l[626723.812]: master offset   12625635 s2 freq +5536933 path delay  -2821378
ptp4l[626724.820]: master offset    6589905 s2 freq +3288894 path delay  -2821378
ptp4l[626725.835]: master offset    7514944 s2 freq +6190904 path delay  -3277768
ptp4l[626726.846]: master offset    -610121 s2 freq +320323 path delay  -3277768
ptp4l[626727.834]: master offset   -4811691 s2 freq -4064284 path delay  -2777087
ptp4l[626728.831]: master offset    -847667 s2 freq -1543767 path delay  -2777087
ptp4l[626729.828]: master offset   -7054937 s2 freq -8005337 path delay  -2516284
ptp4l[626730.828]: master offset   -4374378 s2 freq -7441259 path delay  -2516284
ptp4l[626731.818]: master offset  -36600533 s2 freq -32767999 path delay  -1698179
ptp4l[626732.811]: master offset   -5711148 s2 freq -10090343 path delay  -1698179
ptp4l[626733.821]: master offset   14665980 s2 freq +8573441 path delay  -1698179
ptp4l[626734.843]: master offset    1864232 s2 freq +171487 path delay   -324067
ptp4l[626735.844]: master offset  -34000375 s2 freq -32767999 path delay    479795
ptp4l[626736.826]: master offset  -39116426 s2 freq -32767999 path delay    155147
ptp4l[626737.811]: master offset   -8344644 s2 freq -9478119 path delay    155147
ptp4l[626738.819]: master offset   14596991 s2 freq +10960122 path delay  -3184649
ptp4l[626739.843]: master offset    6026343 s2 freq +6768572 path delay  -3184649
ptp4l[626740.845]: master offset   -5945023 s2 freq -3394891 path delay  -2741506
ptp4l[626741.833]: master offset  -14691374 s2 freq -13924749 path delay   -293997
ptp4l[626742.827]: master offset    9546301 s2 freq +5905514 path delay  -3154579
ptp4l[626743.834]: master offset    3253610 s2 freq +2476713 path delay  -3154579
ptp4l[626744.838]: master offset   -5356469 s2 freq -5157283 path delay  -3154579
ptp4l[626745.835]: master offset  -15739615 s2 freq -17147370 path delay  -3725900
ptp4l[626746.820]: master offset  -48858168 s2 freq -32767999 path delay  -1278391
ptp4l[626747.797]: master offset  -18116749 s2 freq -24246388 path delay  -1278391
ptp4l[626748.793]: master offset  -49730424 s2 freq -32767999 path delay   -408264
ptp4l[626749.797]: master offset  -15115791 s2 freq -26680455 path delay   -408264
ptp4l[626750.819]: master offset   25571912 s2 freq +9472511 path delay  -1278391
ptp4l[626751.849]: master offset   -8300847 s2 freq -16728675 path delay    199926
ptp4l[626752.852]: master offset  -26021732 s2 freq -32767999 path delay   -224152
ptp4l[626753.839]: master offset     526305 s2 freq -10391777 path delay  -1641795
ptp4l[626754.835]: master offset    -565987 s2 freq -11326177 path delay  -2013782
ptp4l[626755.840]: master offset    6602761 s2 freq -4327225 path delay  -4215424
ptp4l[626756.846]: master offset   10662318 s2 freq +1713160 path delay  -4215424
ptp4l[626757.847]: master offset   -3300745 s2 freq -9051208 path delay  -4215424
ptp4l[626758.835]: master offset  -30603923 s2 freq -32767999 path delay    164429
ptp4l[626759.826]: master offset   10347396 s2 freq +3606710 path delay    164429
ptp4l[626760.840]: master offset    4210294 s2 freq +573827 path delay  -2063559
ptp4l[626761.853]: master offset    3246301 s2 freq +872922 path delay  -2063559
ptp4l[626762.841]: master offset  -30721736 s2 freq -32121225 path delay    114653
ptp4l[626763.815]: master offset  -62031070 s2 freq -32767999 path delay    733038
ptp4l[626764.788]: master offset  -31269058 s2 freq -32767999 path delay    733038
ptp4l[626765.798]: master offset  -21946764 s2 freq -32562774 path delay  -1061579
ptp4l[626766.825]: master offset  -29984106 s2 freq -32767999 path delay  -4819391
ptp4l[626767.825]: master offset  -37318052 s2 freq -32767999 path delay  -5345790
ptp4l[626768.814]: master offset   -6527139 s2 freq -23727178 path delay  -5345790
ptp4l[626769.808]: master offset  -45634282 s2 freq -32767999 path delay  -5345790
ptp4l[626770.807]: master offset   -6797090 s2 freq -25955271 path delay  -5345790
ptp4l[626771.829]: master offset    4950821 s2 freq -16246487 path delay  -5695994
ptp4l[626772.854]: master offset  -13285922 s2 freq -32767999 path delay  -5695994
ptp4l[626773.852]: master offset  -13716562 s2 freq -32767999 path delay  -6039720
ptp4l[626774.842]: master offset  -23441201 s2 freq -32767999 path delay  -5695994
ptp4l[626775.807]: master offset  -77180184 s2 freq -32767999 path delay  -5503405
ptp4l[626776.758]: master offset -103139256 s2 freq -32767999 path delay  -4485699
ptp4l[626777.727]: master offset  -77797488 s2 freq -32767999 path delay  -4485699
ptp4l[626778.741]: master offset  -36794086 s2 freq -32767999 path delay  -4485699
ptp4l[626779.795]: master offset   15450536 s2 freq -4261525 path delay  -5370110
ptp4l[626780.854]: master offset   45030553 s2 freq +29953652 path delay  -5288173
ptp4l[626781.891]: master offset   13619080 s2 freq +12051345 path delay  -5288173
ptp4l[626782.876]: master offset  -29655892 s2 freq -27137903 path delay  -3340756
ptp4l[626783.845]: master offset     958130 s2 freq -5420648 path delay  -3340756
ptp4l[626784.833]: master offset  -22078963 s2 freq -28170302 path delay   -220543
ptp4l[626785.829]: master offset  -37002325 s2 freq -32767999 path delay  -3134461
ptp4l[626786.814]: master offset  -27553363 s2 freq -32767999 path delay  -5047454
ptp4l[626787.816]: master offset   13413883 s2 freq +698855 path delay  -5047454
ptp4l[626788.843]: master offset   16681663 s2 freq +7990800 path delay  -5050540
ptp4l[626789.864]: master offset    5424518 s2 freq +1738154 path delay  -4844245
ptp4l[626790.863]: master offset    3283840 s2 freq +1224831 path delay  -4844245
ptp4l[626791.848]: master offset  -20992540 s2 freq -22066397 path delay    -66613
ptp4l[626792.834]: master offset     663182 s2 freq -6708437 path delay    -66613
ptp4l[626793.837]: master offset    7928595 s2 freq +755931 path delay    394057
ptp4l[626794.849]: master offset    2091523 s2 freq -2702563 path delay     37318
ptp4l[626795.850]: master offset     627707 s2 freq -3538922 path delay     37318
ptp4l[626796.844]: master offset  -22060464 s2 freq -26038781 path delay     37318
ptp4l[626797.838]: master offset    8189440 s2 freq -2407016 path delay     37318
ptp4l[626798.835]: master offset  -30680322 s2 freq -32767999 path delay    504672
ptp4l[626799.830]: master offset    7962643 s2 freq -176981 path delay    504672
ptp4l[626800.844]: master offset   12683820 s2 freq +6932989 path delay    504672
ptp4l[626801.857]: master offset   -2552243 s2 freq -4497928 path delay    985892
ptp4l[626802.855]: master offset   -6692534 s2 freq -9403892 path delay    985892
ptp4l[626803.842]: master offset  -18100065 s2 freq -22819183 path delay    504672
ptp4l[626804.842]: master offset    6609376 s2 freq -3539762 path delay    504672
ptp4l[626805.850]: master offset   -5550001 s2 freq -13716326 path delay     37318
ptp4l[626806.850]: master offset   -1563638 s2 freq -11394963 path delay     37318
ptp4l[626807.832]: master offset  -40322251 s2 freq -32767999 path delay    985892
ptp4l[626808.822]: master offset   -8498126 s2 freq -18798543 path delay  -2383022
ptp4l[626809.828]: master offset   -3946433 s2 freq -16796287 path delay  -4389244
ptp4l[626810.845]: master offset   13407888 s2 freq -625896 path delay  -4389244
ptp4l[626811.855]: master offset   15062004 s2 freq +5050586 path delay  -4389244
ptp4l[626812.862]: master offset   11577794 s2 freq +6084977 path delay  -4389244
ptp4l[626813.853]: master offset  -25716810 s2 freq -27736289 path delay  -3275529
ptp4l[626814.837]: master offset   12802898 s2 freq +3068376 path delay  -3785150
