trying PPS source "/dev/pps0"
found PPS source "/dev/pps0"
ok, found 1 source(s), now start fetching data...
source 0 - assert 1763372446.000009829, sequence: 161070 - clear  0.000000000, sequence: 0
source 0 - assert 1763372447.000006974, sequence: 161071 - clear  0.000000000, sequence: 0
source 0 - assert 1763372448.000006805, sequence: 161072 - clear  0.000000000, sequence: 0
source 0 - assert 1763372449.000010769, sequence: 161073 - clear  0.000000000, sequence: 0
source 0 - assert 1763372450.000007132, sequence: 161074 - clear  0.000000000, sequence: 0
source 0 - assert 1763372450.984223177, sequence: 161075 - clear  0.000000000, sequence: 0
source 0 - assert 1763372451.993993394, sequence: 161076 - clear  0.000000000, sequence: 0
source 0 - assert 1763372453.111975461, sequence: 161077 - clear  0.000000000, sequence: 0
source 0 - assert 1763372454.246017894, sequence: 161078 - clear  0.000000000, sequence: 0
source 0 - assert 1763372455.366166594, sequence: 161079 - clear  0.000000000, sequence: 0
source 0 - assert 1763372456.496562528, sequence: 161080 - clear  0.000000000, sequence: 0
source 0 - assert 1763372457.586899942, sequence: 161081 - clear  0.000000000, sequence: 0
source 0 - assert 1763372458.600079447, sequence: 161082 - clear  0.000000000, sequence: 0
source 0 - assert 1763372459.637606310, sequence: 161083 - clear  0.000000000, sequence: 0
source 0 - assert 1763372460.626295864, sequence: 161084 - clear  0.000000000, sequence: 0
source 0 - assert 1763372461.655563860, sequence: 161085 - clear  0.000000000, sequence: 0
source 0 - assert 1763372462.676424864, sequence: 161086 - clear  0.000000000, sequence: 0
source 0 - assert 1763372463.647377729, sequence: 161087 - clear  0.000000000, sequence: 0
source 0 - assert 1763372464.629204665, sequence: 161088 - clear  0.000000000, sequence: 0
source 0 - assert 1763372465.691030288, sequence: 161089 - clear  0.000000000, sequence: 0
source 0 - assert 1763372466.689104206, sequence: 161090 - clear  0.000000000, sequence: 0
source 0 - assert 1763372467.671229558, sequence: 161091 - clear  0.000000000, sequence: 0
source 0 - assert 1763372468.641415478, sequence: 161092 - clear  0.000000000, sequence: 0
source 0 - assert 1763372469.709487904, sequence: 161093 - clear  0.000000000, sequence: 0
source 0 - assert 1763372470.716142020, sequence: 161094 - clear  0.000000000, sequence: 0
source 0 - assert 1763372471.678153419, sequence: 161095 - clear  0.000000000, sequence: 0
source 0 - assert 1763372472.710696903, sequence: 161096 - clear  0.000000000, sequence: 0
source 0 - assert 1763372473.708294149, sequence: 161097 - clear  0.000000000, sequence: 0
source 0 - assert 1763372474.184934168, sequence: 161098 - clear  0.000000000, sequence: 0
source 0 - assert 1763372475.682966991, sequence: 161099 - clear  0.000000000, sequence: 0
source 0 - assert 1763372476.718247669, sequence: 161100 - clear  0.000000000, sequence: 0
source 0 - assert 1763372477.706185318, sequence: 161101 - clear  0.000000000, sequence: 0
source 0 - assert 1763372478.733469705, sequence: 161102 - clear  0.000000000, sequence: 0
source 0 - assert 1763372479.726368765, sequence: 161103 - clear  0.000000000, sequence: 0
source 0 - assert 1763372480.713411651, sequence: 161104 - clear  0.000000000, sequence: 0
source 0 - assert 1763372481.675648482, sequence: 161105 - clear  0.000000000, sequence: 0
source 0 - assert 1763372482.686341140, sequence: 161106 - clear  0.000000000, sequence: 0
source 0 - assert 1763372483.756437160, sequence: 161107 - clear  0.000000000, sequence: 0
source 0 - assert 1763372484.758559752, sequence: 161108 - clear  0.000000000, sequence: 0
source 0 - assert 1763372485.758317757, sequence: 161109 - clear  0.000000000, sequence: 0
source 0 - assert 1763372486.734534380, sequence: 161110 - clear  0.000000000, sequence: 0
source 0 - assert 1763372487.689839438, sequence: 161111 - clear  0.000000000, sequence: 0
source 0 - assert 1763372488.727173796, sequence: 161112 - clear  0.000000000, sequence: 0
source 0 - assert 1763372489.752373348, sequence: 161113 - clear  0.000000000, sequence: 0
source 0 - assert 1763372490.741689677, sequence: 161114 - clear  0.000000000, sequence: 0
source 0 - assert 1763372491.796179748, sequence: 161115 - clear  0.000000000, sequence: 0
source 0 - assert 1763372492.783973848, sequence: 161116 - clear  0.000000000, sequence: 0
source 0 - assert 1763372493.741507586, sequence: 161117 - clear  0.000000000, sequence: 0
source 0 - assert 1763372494.716917344, sequence: 161118 - clear  0.000000000, sequence: 0
source 0 - assert 1763372495.687554016, sequence: 161119 - clear  0.000000000, sequence: 0
source 0 - assert 1763372496.741035956, sequence: 161120 - clear  0.000000000, sequence: 0
source 0 - assert 1763372497.753050115, sequence: 161121 - clear  0.000000000, sequence: 0
source 0 - assert 1763372498.781352884, sequence: 161122 - clear  0.000000000, sequence: 0
source 0 - assert 1763372499.800719507, sequence: 161123 - clear  0.000000000, sequence: 0
source 0 - assert 1763372500.824519367, sequence: 161124 - clear  0.000000000, sequence: 0
source 0 - assert 1763372501.809848347, sequence: 161125 - clear  0.000000000, sequence: 0
source 0 - assert 1763372502.757484548, sequence: 161126 - clear  0.000000000, sequence: 0
source 0 - assert 1763372503.791778648, sequence: 161127 - clear  0.000000000, sequence: 0
source 0 - assert 1763372504.814373509, sequence: 161128 - clear  0.000000000, sequence: 0
source 0 - assert 1763372505.814419682, sequence: 161129 - clear  0.000000000, sequence: 0
source 0 - assert 1763372506.799238642, sequence: 161130 - clear  0.000000000, sequence: 0
source 0 - assert 1763372507.761105231, sequence: 161131 - clear  0.000000000, sequence: 0
source 0 - assert 1763372508.721441019, sequence: 161132 - clear  0.000000000, sequence: 0
source 0 - assert 1763372509.769173457, sequence: 161133 - clear  0.000000000, sequence: 0
source 0 - assert 1763372510.785280573, sequence: 161134 - clear  0.000000000, sequence: 0
source 0 - assert 1763372511.765295468, sequence: 161135 - clear  0.000000000, sequence: 0
source 0 - assert 1763372512.813707706, sequence: 161136 - clear  0.000000000, sequence: 0
source 0 - assert 1763372513.859921034, sequence: 161137 - clear  0.000000000, sequence: 0
source 0 - assert 1763372514.864631006, sequence: 161138 - clear  0.000000000, sequence: 0
source 0 - assert 1763372515.884245206, sequence: 161139 - clear  0.000000000, sequence: 0
source 0 - assert 1763372516.836592907, sequence: 161140 - clear  0.000000000, sequence: 0
source 0 - assert 1763372517.781325360, sequence: 161141 - clear  0.000000000, sequence: 0
source 0 - assert 1763372518.740668058, sequence: 161142 - clear  0.000000000, sequence: 0
source 0 - assert 1763372519.785160995, sequence: 161143 - clear  0.000000000, sequence: 0
source 0 - assert 1763372520.801551548, sequence: 161144 - clear  0.000000000, sequence: 0
source 0 - assert 1763372521.824658665, sequence: 161145 - clear  0.000000000, sequence: 0
source 0 - assert 1763372522.894988104, sequence: 161146 - clear  0.000000000, sequence: 0
source 0 - assert 1763372523.862073315, sequence: 161147 - clear  0.000000000, sequence: 0
source 0 - assert 1763372524.809063126, sequence: 161148 - clear  0.000000000, sequence: 0
source 0 - assert 1763372525.835313416, sequence: 161149 - clear  0.000000000, sequence: 0
source 0 - assert 1763372526.857857283, sequence: 161150 - clear  0.000000000, sequence: 0
source 0 - assert 1763372527.889180606, sequence: 161151 - clear  0.000000000, sequence: 0
source 0 - assert 1763372528.877383325, sequence: 161152 - clear  0.000000000, sequence: 0
source 0 - assert 1763372529.854003581, sequence: 161153 - clear  0.000000000, sequence: 0
source 0 - assert 1763372530.819753550, sequence: 161154 - clear  0.000000000, sequence: 0
source 0 - assert 1763372531.865383820, sequence: 161155 - clear  0.000000000, sequence: 0
source 0 - assert 1763372532.861069743, sequence: 161156 - clear  0.000000000, sequence: 0
source 0 - assert 1763372533.876315196, sequence: 161157 - clear  0.000000000, sequence: 0
source 0 - assert 1763372534.886698811, sequence: 161158 - clear  0.000000000, sequence: 0
source 0 - assert 1763372535.863057232, sequence: 161159 - clear  0.000000000, sequence: 0
source 0 - assert 1763372536.836098037, sequence: 161160 - clear  0.000000000, sequence: 0
source 0 - assert 1763372537.878800665, sequence: 161161 - clear  0.000000000, sequence: 0
source 0 - assert 1763372538.931511906, sequence: 161162 - clear  0.000000000, sequence: 0
source 0 - assert 1763372539.923536361, sequence: 161163 - clear  0.000000000, sequence: 0
source 0 - assert 1763372540.875409142, sequence: 161164 - clear  0.000000000, sequence: 0
source 0 - assert 1763372541.858997876, sequence: 161165 - clear  0.000000000, sequence: 0
source 0 - assert 1763372542.883142329, sequence: 161166 - clear  0.000000000, sequence: 0
source 0 - assert 1763372543.891773492, sequence: 161167 - clear  0.000000000, sequence: 0
source 0 - assert 1763372544.919423708, sequence: 161168 - clear  0.000000000, sequence: 0
source 0 - assert 1763372545.965583267, sequence: 161169 - clear  0.000000000, sequence: 0
source 0 - assert 1763372546.924348878, sequence: 161170 - clear  0.000000000, sequence: 0
source 0 - assert 1763372547.881377798, sequence: 161171 - clear  0.000000000, sequence: 0
source 0 - assert 1763372548.938410931, sequence: 161172 - clear  0.000000000, sequence: 0
source 0 - assert 1763372549.943547270, sequence: 161173 - clear  0.000000000, sequence: 0
source 0 - assert 1763372550.950404577, sequence: 161174 - clear  0.000000000, sequence: 0
