trying PPS source "/dev/pps0"
found PPS source "/dev/pps0"
ok, found 1 source(s), now start fetching data...
source 0 - assert 1763373654.000007677, sequence: 162245 - clear  0.000000000, sequence: 0
source 0 - assert 1763373655.000008133, sequence: 162246 - clear  0.000000000, sequence: 0
source 0 - assert 1763373656.000009842, sequence: 162247 - clear  0.000000000, sequence: 0
source 0 - assert 1763373657.000009700, sequence: 162248 - clear  0.000000000, sequence: 0
source 0 - assert 1763373658.000009557, sequence: 162249 - clear  0.000000000, sequence: 0
source 0 - assert 1763373659.000010331, sequence: 162250 - clear  0.000000000, sequence: 0
source 0 - assert 1763373659.957654339, sequence: 162251 - clear  0.000000000, sequence: 0
source 0 - assert 1763373660.982013677, sequence: 162252 - clear  0.000000000, sequence: 0
source 0 - assert 1763373662.100770877, sequence: 162253 - clear  0.000000000, sequence: 0
source 0 - assert 1763373663.232826343, sequence: 162254 - clear  0.000000000, sequence: 0
source 0 - assert 1763373664.373191210, sequence: 162255 - clear  0.000000000, sequence: 0
source 0 - assert 1763373665.510157077, sequence: 162256 - clear  0.000000000, sequence: 0
source 0 - assert 1763373666.619026279, sequence: 162257 - clear  0.000000000, sequence: 0
source 0 - assert 1763373667.600120279, sequence: 162258 - clear  0.000000000, sequence: 0
source 0 - assert 1763373668.598093881, sequence: 162259 - clear  0.000000000, sequence: 0
source 0 - assert 1763373669.652984770, sequence: 162260 - clear  0.000000000, sequence: 0
source 0 - assert 1763373670.677080110, sequence: 162261 - clear  0.000000000, sequence: 0
source 0 - assert 1763373671.669108323, sequence: 162262 - clear  0.000000000, sequence: 0
source 0 - assert 1763373672.653952481, sequence: 162263 - clear  0.000000000, sequence: 0
source 0 - assert 1763373673.647468370, sequence: 162264 - clear  0.000000000, sequence: 0
source 0 - assert 1763373674.657745597, sequence: 162265 - clear  0.000000000, sequence: 0
source 0 - assert 1763373675.664271980, sequence: 162266 - clear  0.000000000, sequence: 0
source 0 - assert 1763373676.658725032, sequence: 162267 - clear  0.000000000, sequence: 0
source 0 - assert 1763373677.650396399, sequence: 162268 - clear  0.000000000, sequence: 0
source 0 - assert 1763373678.649135806, sequence: 162269 - clear  0.000000000, sequence: 0
source 0 - assert 1763373679.653122556, sequence: 162270 - clear  0.000000000, sequence: 0
source 0 - assert 1763373680.659195026, sequence: 162271 - clear  0.000000000, sequence: 0
source 0 - assert 1763373681.660488868, sequence: 162272 - clear  0.000000000, sequence: 0
source 0 - assert 1763373682.653743348, sequence: 162273 - clear  0.000000000, sequence: 0
source 0 - assert 1763373683.650949684, sequence: 162274 - clear  0.000000000, sequence: 0
source 0 - assert 1763373684.655870985, sequence: 162275 - clear  0.000000000, sequence: 0
source 0 - assert 1763373685.662420048, sequence: 162276 - clear  0.000000000, sequence: 0
source 0 - assert 1763373686.660039178, sequence: 162277 - clear  0.000000000, sequence: 0
source 0 - assert 1763373687.653792485, sequence: 162278 - clear  0.000000000, sequence: 0
source 0 - assert 1763373688.674388378, sequence: 162279 - clear  0.000000000, sequence: 0
source 0 - assert 1763373689.648331314, sequence: 162280 - clear  0.000000000, sequence: 0
source 0 - assert 1763373690.623787952, sequence: 162281 - clear  0.000000000, sequence: 0
source 0 - assert 1763373691.644874530, sequence: 162282 - clear  0.000000000, sequence: 0
source 0 - assert 1763373692.681840674, sequence: 162283 - clear  0.000000000, sequence: 0
source 0 - assert 1763373693.660281987, sequence: 162284 - clear  0.000000000, sequence: 0
source 0 - assert 1763373694.637709089, sequence: 162285 - clear  0.000000000, sequence: 0
source 0 - assert 1763373695.671262259, sequence: 162286 - clear  0.000000000, sequence: 0
source 0 - assert 1763373696.679922653, sequence: 162287 - clear  0.000000000, sequence: 0
source 0 - assert 1763373697.670464961, sequence: 162288 - clear  0.000000000, sequence: 0
source 0 - assert 1763373698.660832457, sequence: 162289 - clear  0.000000000, sequence: 0
source 0 - assert 1763373699.653228283, sequence: 162290 - clear  0.000000000, sequence: 0
source 0 - assert 1763373700.663353408, sequence: 162291 - clear  0.000000000, sequence: 0
source 0 - assert 1763373701.675505133, sequence: 162292 - clear  0.000000000, sequence: 0
source 0 - assert 1763373702.663973847, sequence: 162293 - clear  0.000000000, sequence: 0
source 0 - assert 1763373703.654051670, sequence: 162294 - clear  0.000000000, sequence: 0
source 0 - assert 1763373704.660969799, sequence: 162295 - clear  0.000000000, sequence: 0
source 0 - assert 1763373705.665526399, sequence: 162296 - clear  0.000000000, sequence: 0
source 0 - assert 1763373706.659415433, sequence: 162297 - clear  0.000000000, sequence: 0
source 0 - assert 1763373707.653651885, sequence: 162298 - clear  0.000000000, sequence: 0
source 0 - assert 1763373708.658934555, sequence: 162299 - clear  0.000000000, sequence: 0
source 0 - assert 1763373709.663589609, sequence: 162300 - clear  0.000000000, sequence: 0
source 0 - assert 1763373710.656504139, sequence: 162301 - clear  0.000000000, sequence: 0
source 0 - assert 1763373711.650222737, sequence: 162302 - clear  0.000000000, sequence: 0
source 0 - assert 1763373712.676384130, sequence: 162303 - clear  0.000000000, sequence: 0
source 0 - assert 1763373713.652630776, sequence: 162304 - clear  0.000000000, sequence: 0
