trying PPS source "/dev/pps0"
found PPS source "/dev/pps0"
ok, found 1 source(s), now start fetching data...
source 0 - assert 1763374299.000010814, sequence: 162835 - clear  0.000000000, sequence: 0
source 0 - assert 1763374300.000011718, sequence: 162836 - clear  0.000000000, sequence: 0
source 0 - assert 1763374301.000009790, sequence: 162837 - clear  0.000000000, sequence: 0
source 0 - assert 1763374302.000009709, sequence: 162838 - clear  0.000000000, sequence: 0
source 0 - assert 1763374303.000009544, sequence: 162839 - clear  0.000000000, sequence: 0
source 0 - assert 1763374304.000009912, sequence: 162840 - clear  0.000000000, sequence: 0
source 0 - assert 1763374304.970958124, sequence: 162841 - clear  0.000000000, sequence: 0
source 0 - assert 1763374306.064674924, sequence: 162842 - clear  0.000000000, sequence: 0
source 0 - assert 1763374307.187564091, sequence: 162843 - clear  0.000000000, sequence: 0
source 0 - assert 1763374308.330139591, sequence: 162844 - clear  0.000000000, sequence: 0
source 0 - assert 1763374309.459993591, sequence: 162845 - clear  0.000000000, sequence: 0
source 0 - assert 1763374310.561522958, sequence: 162846 - clear  0.000000000, sequence: 0
source 0 - assert 1763374311.624319241, sequence: 162847 - clear  0.000000000, sequence: 0
source 0 - assert 1763374312.650037703, sequence: 162848 - clear  0.000000000, sequence: 0
source 0 - assert 1763374313.646718694, sequence: 162849 - clear  0.000000000, sequence: 0
source 0 - assert 1763374314.651741377, sequence: 162850 - clear  0.000000000, sequence: 0
source 0 - assert 1763374315.658760883, sequence: 162851 - clear  0.000000000, sequence: 0
source 0 - assert 1763374316.672573527, sequence: 162852 - clear  0.000000000, sequence: 0
source 0 - assert 1763374317.693413486, sequence: 162853 - clear  0.000000000, sequence: 0
source 0 - assert 1763374318.648348018, sequence: 162854 - clear  0.000000000, sequence: 0
source 0 - assert 1763374319.655348011, sequence: 162855 - clear  0.000000000, sequence: 0
source 0 - assert 1763374320.668561384, sequence: 162856 - clear  0.000000000, sequence: 0
source 0 - assert 1763374321.718180628, sequence: 162857 - clear  0.000000000, sequence: 0
source 0 - assert 1763374322.683340674, sequence: 162858 - clear  0.000000000, sequence: 0
source 0 - assert 1763374323.645502750, sequence: 162859 - clear  0.000000000, sequence: 0
source 0 - assert 1763374324.694026814, sequence: 162860 - clear  0.000000000, sequence: 0
source 0 - assert 1763374325.699305602, sequence: 162861 - clear  0.000000000, sequence: 0
source 0 - assert 1763374326.683329462, sequence: 162862 - clear  0.000000000, sequence: 0
source 0 - assert 1763374327.713148703, sequence: 162863 - clear  0.000000000, sequence: 0
source 0 - assert 1763374328.685924955, sequence: 162864 - clear  0.000000000, sequence: 0
source 0 - assert 1763374329.691975736, sequence: 162865 - clear  0.000000000, sequence: 0
source 0 - assert 1763374330.728249439, sequence: 162866 - clear  0.000000000, sequence: 0
source 0 - assert 1763374331.714276388, sequence: 162867 - clear  0.000000000, sequence: 0
source 0 - assert 1763374332.667401413, sequence: 162868 - clear  0.000000000, sequence: 0
source 0 - assert 1763374333.696470615, sequence: 162869 - clear  0.000000000, sequence: 0
source 0 - assert 1763374334.726411953, sequence: 162870 - clear  0.000000000, sequence: 0
source 0 - assert 1763374335.675618541, sequence: 162871 - clear  0.000000000, sequence: 0
source 0 - assert 1763374336.684825257, sequence: 162872 - clear  0.000000000, sequence: 0
source 0 - assert 1763374337.721690570, sequence: 162873 - clear  0.000000000, sequence: 0
source 0 - assert 1763374338.711706573, sequence: 162874 - clear  0.000000000, sequence: 0
source 0 - assert 1763374339.724955973, sequence: 162875 - clear  0.000000000, sequence: 0
source 0 - assert 1763374340.703262867, sequence: 162876 - clear  0.000000000, sequence: 0
source 0 - assert 1763374341.656707710, sequence: 162877 - clear  0.000000000, sequence: 0
