trying PPS source "/dev/pps0"
found PPS source "/dev/pps0"
ok, found 1 source(s), now start fetching data...
source 0 - assert 1763379974.000010222, sequence: 168274 - clear  0.000000000, sequence: 0
source 0 - assert 1763379975.000008923, sequence: 168275 - clear  0.000000000, sequence: 0
source 0 - assert 1763379976.000010689, sequence: 168276 - clear  0.000000000, sequence: 0
source 0 - assert 1763379977.000009489, sequence: 168277 - clear  0.000000000, sequence: 0
source 0 - assert 1763379978.000009652, sequence: 168278 - clear  0.000000000, sequence: 0
source 0 - assert 1763379978.980634734, sequence: 168279 - clear  0.000000000, sequence: 0
source 0 - assert 1763379980.019805391, sequence: 168280 - clear  0.000000000, sequence: 0
source 0 - assert 1763379981.126410891, sequence: 168281 - clear  0.000000000, sequence: 0
source 0 - assert 1763379982.255886858, sequence: 168282 - clear  0.000000000, sequence: 0
source 0 - assert 1763379983.381323258, sequence: 168283 - clear  0.000000000, sequence: 0
source 0 - assert 1763379984.508723892, sequence: 168284 - clear  0.000000000, sequence: 0
source 0 - assert 1763379985.597893037, sequence: 168285 - clear  0.000000000, sequence: 0
source 0 - assert 1763379986.603053675, sequence: 168286 - clear  0.000000000, sequence: 0
source 0 - assert 1763379987.618510465, sequence: 168287 - clear  0.000000000, sequence: 0
source 0 - assert 1763379988.643445808, sequence: 168288 - clear  0.000000000, sequence: 0
source 0 - assert 1763379989.634281112, sequence: 168289 - clear  0.000000000, sequence: 0
source 0 - assert 1763379990.631378911, sequence: 168290 - clear  0.000000000, sequence: 0
source 0 - assert 1763379991.656260381, sequence: 168291 - clear  0.000000000, sequence: 0
source 0 - assert 1763379992.670630681, sequence: 168292 - clear  0.000000000, sequence: 0
source 0 - assert 1763379993.653001095, sequence: 168293 - clear  0.000000000, sequence: 0
source 0 - assert 1763379994.632143910, sequence: 168294 - clear  0.000000000, sequence: 0
source 0 - assert 1763379995.638811089, sequence: 168295 - clear  0.000000000, sequence: 0
source 0 - assert 1763379996.639493796, sequence: 168296 - clear  0.000000000, sequence: 0
source 0 - assert 1763379997.618703962, sequence: 168297 - clear  0.000000000, sequence: 0
source 0 - assert 1763379998.652366689, sequence: 168298 - clear  0.000000000, sequence: 0
source 0 - assert 1763379999.641215353, sequence: 168299 - clear  0.000000000, sequence: 0
source 0 - assert 1763380000.619769250, sequence: 168300 - clear  0.000000000, sequence: 0
source 0 - assert 1763380001.647513796, sequence: 168301 - clear  0.000000000, sequence: 0
source 0 - assert 1763380002.662603199, sequence: 168302 - clear  0.000000000, sequence: 0
source 0 - assert 1763380003.642388824, sequence: 168303 - clear  0.000000000, sequence: 0
source 0 - assert 1763380004.651482968, sequence: 168304 - clear  0.000000000, sequence: 0
source 0 - assert 1763380005.632515106, sequence: 168305 - clear  0.000000000, sequence: 0
source 0 - assert 1763380006.647163652, sequence: 168306 - clear  0.000000000, sequence: 0
source 0 - assert 1763380007.622879033, sequence: 168307 - clear  0.000000000, sequence: 0
source 0 - assert 1763380008.665117990, sequence: 168308 - clear  0.000000000, sequence: 0
source 0 - assert 1763380009.649666136, sequence: 168309 - clear  0.000000000, sequence: 0
source 0 - assert 1763380010.616588999, sequence: 168310 - clear  0.000000000, sequence: 0
source 0 - assert 1763380011.579804005, sequence: 168311 - clear  0.000000000, sequence: 0
source 0 - assert 1763380012.623683555, sequence: 168312 - clear  0.000000000, sequence: 0
source 0 - assert 1763380013.641308492, sequence: 168313 - clear  0.000000000, sequence: 0
source 0 - assert 1763380014.644695788, sequence: 168314 - clear  0.000000000, sequence: 0
source 0 - assert 1763380015.630315587, sequence: 168315 - clear  0.000000000, sequence: 0
source 0 - assert 1763380016.655910138, sequence: 168316 - clear  0.000000000, sequence: 0
source 0 - assert 1763380017.673780544, sequence: 168317 - clear  0.000000000, sequence: 0
source 0 - assert 1763380018.656857424, sequence: 168318 - clear  0.000000000, sequence: 0
source 0 - assert 1763380019.646764753, sequence: 168319 - clear  0.000000000, sequence: 0
source 0 - assert 1763380020.648446027, sequence: 168320 - clear  0.000000000, sequence: 0
source 0 - assert 1763380021.672363373, sequence: 168321 - clear  0.000000000, sequence: 0
source 0 - assert 1763380022.672867919, sequence: 168322 - clear  0.000000000, sequence: 0
source 0 - assert 1763380023.679579724, sequence: 168323 - clear  0.000000000, sequence: 0
source 0 - assert 1763380024.654850406, sequence: 168324 - clear  0.000000000, sequence: 0
source 0 - assert 1763380025.668902289, sequence: 168325 - clear  0.000000000, sequence: 0
source 0 - assert 1763380026.642452354, sequence: 168326 - clear  0.000000000, sequence: 0
source 0 - assert 1763380027.666764607, sequence: 168327 - clear  0.000000000, sequence: 0
source 0 - assert 1763380028.675795559, sequence: 168328 - clear  0.000000000, sequence: 0
source 0 - assert 1763380029.672741323, sequence: 168329 - clear  0.000000000, sequence: 0
source 0 - assert 1763380030.677370723, sequence: 168330 - clear  0.000000000, sequence: 0
source 0 - assert 1763380031.667783243, sequence: 168331 - clear  0.000000000, sequence: 0
source 0 - assert 1763380032.641214773, sequence: 168332 - clear  0.000000000, sequence: 0
source 0 - assert 1763380033.656338869, sequence: 168333 - clear  0.000000000, sequence: 0
source 0 - assert 1763380034.679812572, sequence: 168334 - clear  0.000000000, sequence: 0
source 0 - assert 1763380035.661564823, sequence: 168335 - clear  0.000000000, sequence: 0
source 0 - assert 1763380036.677922208, sequence: 168336 - clear  0.000000000, sequence: 0
source 0 - assert 1763380037.652775411, sequence: 168337 - clear  0.000000000, sequence: 0
source 0 - assert 1763380038.679013187, sequence: 168338 - clear  0.000000000, sequence: 0
source 0 - assert 1763380039.686964378, sequence: 168339 - clear  0.000000000, sequence: 0
source 0 - assert 1763380040.651617681, sequence: 168340 - clear  0.000000000, sequence: 0
source 0 - assert 1763380041.660044527, sequence: 168341 - clear  0.000000000, sequence: 0
source 0 - assert 1763380042.674449912, sequence: 168342 - clear  0.000000000, sequence: 0
source 0 - assert 1763380043.673536253, sequence: 168343 - clear  0.000000000, sequence: 0
source 0 - assert 1763380044.674915414, sequence: 168344 - clear  0.000000000, sequence: 0
source 0 - assert 1763380045.666953385, sequence: 168345 - clear  0.000000000, sequence: 0
source 0 - assert 1763380046.658230539, sequence: 168346 - clear  0.000000000, sequence: 0
source 0 - assert 1763380047.665017448, sequence: 168347 - clear  0.000000000, sequence: 0
source 0 - assert 1763380048.676825241, sequence: 168348 - clear  0.000000000, sequence: 0
source 0 - assert 1763380049.658354956, sequence: 168349 - clear  0.000000000, sequence: 0
source 0 - assert 1763380050.670478346, sequence: 168350 - clear  0.000000000, sequence: 0
source 0 - assert 1763380051.645032632, sequence: 168351 - clear  0.000000000, sequence: 0
source 0 - assert 1763380052.676089039, sequence: 168352 - clear  0.000000000, sequence: 0
source 0 - assert 1763380053.666881356, sequence: 168353 - clear  0.000000000, sequence: 0
source 0 - assert 1763380054.683360420, sequence: 168354 - clear  0.000000000, sequence: 0
source 0 - assert 1763380055.683992332, sequence: 168355 - clear  0.000000000, sequence: 0
source 0 - assert 1763380056.679745164, sequence: 168356 - clear  0.000000000, sequence: 0
