trying PPS source "/dev/pps0"
found PPS source "/dev/pps0"
ok, found 1 source(s), now start fetching data...
source 0 - assert 1763380552.000002130, sequence: 168826 - clear  0.000000000, sequence: 0
source 0 - assert 1763380553.000005478, sequence: 168827 - clear  0.000000000, sequence: 0
source 0 - assert 1763380554.000007136, sequence: 168828 - clear  0.000000000, sequence: 0
source 0 - assert 1763380555.000009051, sequence: 168829 - clear  0.000000000, sequence: 0
source 0 - assert 1763380556.000005897, sequence: 168830 - clear  0.000000000, sequence: 0
source 0 - assert 1763380557.000010069, sequence: 168831 - clear  0.000000000, sequence: 0
source 0 - assert 1763380557.968275000, sequence: 168832 - clear  0.000000000, sequence: 0
source 0 - assert 1763380559.052879082, sequence: 168833 - clear  0.000000000, sequence: 0
source 0 - assert 1763380560.159048982, sequence: 168834 - clear  0.000000000, sequence: 0
source 0 - assert 1763380561.241652116, sequence: 168835 - clear  0.000000000, sequence: 0
source 0 - assert 1763380562.358106282, sequence: 168836 - clear  0.000000000, sequence: 0
source 0 - assert 1763380563.480315282, sequence: 168837 - clear  0.000000000, sequence: 0
source 0 - assert 1763380564.567797669, sequence: 168838 - clear  0.000000000, sequence: 0
source 0 - assert 1763380565.582559028, sequence: 168839 - clear  0.000000000, sequence: 0
source 0 - assert 1763380566.602409904, sequence: 168840 - clear  0.000000000, sequence: 0
source 0 - assert 1763380567.609327421, sequence: 168841 - clear  0.000000000, sequence: 0
source 0 - assert 1763380568.606170939, sequence: 168842 - clear  0.000000000, sequence: 0
source 0 - assert 1763380569.607750138, sequence: 168843 - clear  0.000000000, sequence: 0
source 0 - assert 1763380570.610533413, sequence: 168844 - clear  0.000000000, sequence: 0
source 0 - assert 1763380571.631643997, sequence: 168845 - clear  0.000000000, sequence: 0
source 0 - assert 1763380572.640257704, sequence: 168846 - clear  0.000000000, sequence: 0
source 0 - assert 1763380573.636338758, sequence: 168847 - clear  0.000000000, sequence: 0
source 0 - assert 1763380574.632350146, sequence: 168848 - clear  0.000000000, sequence: 0
source 0 - assert 1763380575.624216605, sequence: 168849 - clear  0.000000000, sequence: 0
source 0 - assert 1763380576.647388549, sequence: 168850 - clear  0.000000000, sequence: 0
