trying PPS source "/dev/pps0"
found PPS source "/dev/pps0"
ok, found 1 source(s), now start fetching data...
source 0 - assert 1763381688.000009907, sequence: 169893 - clear  0.000000000, sequence: 0
source 0 - assert 1763381689.000014789, sequence: 169894 - clear  0.000000000, sequence: 0
source 0 - assert 1763381690.000011808, sequence: 169895 - clear  0.000000000, sequence: 0
source 0 - assert 1763381691.000009106, sequence: 169896 - clear  0.000000000, sequence: 0
source 0 - assert 1763381692.000008546, sequence: 169897 - clear  0.000000000, sequence: 0
source 0 - assert 1763381693.015276860, sequence: 169898 - clear  0.000000000, sequence: 0
source 0 - assert 1763381694.088793260, sequence: 169899 - clear  0.000000000, sequence: 0
source 0 - assert 1763381695.213556827, sequence: 169900 - clear  0.000000000, sequence: 0
source 0 - assert 1763381696.347687994, sequence: 169901 - clear  0.000000000, sequence: 0
source 0 - assert 1763381697.491278427, sequence: 169902 - clear  0.000000000, sequence: 0
source 0 - assert 1763381698.599118233, sequence: 169903 - clear  0.000000000, sequence: 0
source 0 - assert 1763381699.649370451, sequence: 169904 - clear  0.000000000, sequence: 0
source 0 - assert 1763381700.666914731, sequence: 169905 - clear  0.000000000, sequence: 0
source 0 - assert 1763381701.666330642, sequence: 169906 - clear  0.000000000, sequence: 0
source 0 - assert 1763381702.638822909, sequence: 169907 - clear  0.000000000, sequence: 0
source 0 - assert 1763381703.582613570, sequence: 169908 - clear  0.000000000, sequence: 0
source 0 - assert 1763381704.624810399, sequence: 169909 - clear  0.000000000, sequence: 0
source 0 - assert 1763381705.660004156, sequence: 169910 - clear  0.000000000, sequence: 0
source 0 - assert 1763381706.655277044, sequence: 169911 - clear  0.000000000, sequence: 0
source 0 - assert 1763381707.634024531, sequence: 169912 - clear  0.000000000, sequence: 0
source 0 - assert 1763381708.659224687, sequence: 169913 - clear  0.000000000, sequence: 0
source 0 - assert 1763381709.633681278, sequence: 169914 - clear  0.000000000, sequence: 0
source 0 - assert 1763381710.573485422, sequence: 169915 - clear  0.000000000, sequence: 0
source 0 - assert 1763381711.584044243, sequence: 169916 - clear  0.000000000, sequence: 0
source 0 - assert 1763381712.644184702, sequence: 169917 - clear  0.000000000, sequence: 0
source 0 - assert 1763381713.663547227, sequence: 169918 - clear  0.000000000, sequence: 0
source 0 - assert 1763381714.653552770, sequence: 169919 - clear  0.000000000, sequence: 0
source 0 - assert 1763381715.623620412, sequence: 169920 - clear  0.000000000, sequence: 0
source 0 - assert 1763381716.580332146, sequence: 169921 - clear  0.000000000, sequence: 0
source 0 - assert 1763381717.599411049, sequence: 169922 - clear  0.000000000, sequence: 0
source 0 - assert 1763381718.621818308, sequence: 169923 - clear  0.000000000, sequence: 0
source 0 - assert 1763381719.653791888, sequence: 169924 - clear  0.000000000, sequence: 0
source 0 - assert 1763381720.646359567, sequence: 169925 - clear  0.000000000, sequence: 0
source 0 - assert 1763381721.651033498, sequence: 169926 - clear  0.000000000, sequence: 0
